순위,관광지명,주소,분류,외지인 검색 수
1,제주국제공항,제주 제주시 공항로 2-0,교통시설,25576
2,동문재래시장,제주 제주시 관덕로14길 20-0,시장,14611
3,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,시장,13038
4,성산일출봉,제주 서귀포시 일출로 284-12,자연경관(산),10642
5,협재해수욕장,제주 제주시,자연경관(하천/해양),10202
6,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0,전시시설,8999
7,에코랜드테마파크,제주 제주시 번영로 1278-169,테마공원,7930
8,함덕해수욕장,제주 제주시 조함해안로 525-0,자연경관(하천/해양),7053
9,천지연폭포,제주 서귀포시 서문서로 1-1,자연경관(산),6875
10,한라산둘레길사려니숲길,제주 제주시,기타레저스포츠,6592
11,용두암,제주 제주시 용두암길 15-0,기타관광,6372
12,섭지코지,제주 서귀포시 섭지코지로 107-0,기타관광,5917
13,월정리해변,제주 제주시,자연경관(하천/해양),5835
14,비자림,제주 제주시 비자숲길 55-0,자연공원,5799
15,아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15,테마공원,5798
16,이호테우해변,제주 제주시,자연경관(하천/해양),5458
17,카멜리아힐,제주 서귀포시 병악로 166-0,테마공원,5450
18,주상절리대,제주 서귀포시 이어도로 36-30,기타관광,5305
19,쇠소깍,제주 서귀포시 쇠소깍로 128-0,기타관광,5209
20,이마트서귀포점,제주 서귀포시 일주동로 9209-0,대형마트,4494
21,성산항,제주 서귀포시,자연경관(하천/해양),4470
22,곽지해수욕장,제주 제주시,자연경관(하천/해양),4320
23,휴애리자연생활공원,제주 서귀포시 신례동로 256-0,도시공원,3831
24,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0,호텔,3552
25,이마트신제주점,제주 제주시 1100로 3348-0,대형마트,3409
26,정방폭포,제주 서귀포시,자연경관(산),3390
27,동문공설시장,제주 제주시 동문로 16-0,시장,3387
28,소노벨제주,제주 제주시 신북로 577-0,콘도미니엄,3381
29,한화리조트제주,제주 제주시 명림로 575-107,콘도미니엄,3170
30,동문수산시장,제주 제주시 관덕로14길 20-0,시장,3092
31,제주신화월드,제주 서귀포시 신화역사로304번길 139-0,복합관광시설,3020
32,만장굴,제주 제주시 만장굴길 182-0,자연생태,3013
33,용머리해안,제주 서귀포시 사계남로216번길 24-32,기타관광,2994
34,롯데호텔제주점,제주 서귀포시 중문관광로72번길 35-0,호텔,2914
35,제주절물자연휴양림,제주 제주시 명림로 584-0,자연공원,2911
36,우도도항선선착장,제주 서귀포시 성산등용로 130-21,교통시설,2819
37,휘닉스제주,제주 서귀포시 섭지코지로 107-0,콘도미니엄,2739
38,금호리조트제주,제주 서귀포시 태위로 522-12,콘도미니엄,2669
39,산방산탄산온천,제주 서귀포시 사계북로41번길 192-0,웰니스관광,2630
40,소노캄제주,제주 서귀포시 일주동로 6347-17,콘도미니엄,2546
41,헬로키티아일랜드,제주 서귀포시 한창로 340-0,기타관광,2523
42,한림공원,제주 제주시 한림로 300-0,도시공원,2497
43,히든클리프호텔앤네이쳐,제주 서귀포시 예래해안로 542-0,호텔,2481
44,퍼시픽리솜,제주 서귀포시 중문관광로 154-17,복합관광시설,2440
45,신양섭지해수욕장,제주 서귀포시 섭지코지로 88-0,자연경관(하천/해양),2369
46,새별오름,제주 제주시,자연경관(산),2288
47,산방산,제주 서귀포시 산방로 218-10,자연경관(산),2216
48,김녕해수욕장,제주 제주시 해맞이해안로 7-6,자연경관(하천/해양),2191
49,제주부영호텔&리조트,제주 서귀포시 중문관광로 222-0,호텔,2190
50,이마트제주점,제주 제주시 탑동로 38-0,대형마트,2178
51,천제연폭포,제주 서귀포시 천제연로 132-0,자연경관(산),2126
52,중문관광단지,제주 서귀포시,복합관광시설,2095
53,해비치호텔,제주 서귀포시 민속해안로 537-0,호텔,2086
54,모슬포항,제주 서귀포시 하모항구로 30-0,자연경관(하천/해양),2070
55,하귀애월해안도로,제주 제주시,데이트코스,2059
56,금능해수욕장,제주 제주시 금능길 119-10,자연경관(하천/해양),1998
57,용눈이오름,제주 제주시,자연경관(산),1984
58,오라동메밀밭,제주 제주시,기타관광,1969
59,한담해안산책로,제주 제주시 애월로 0-0,기타레저스포츠,1961
60,제주항공우주박물관,제주 서귀포시 녹차분재로 218-0,전시시설,1934
61,제주공룡랜드,제주 제주시 광령평화2길 1-0,테마공원,1924
62,메종글래드제주호텔,제주 제주시 노연로 80-0,호텔,1893
63,롯데마트제주점,제주 제주시 연북로 1-0,대형마트,1867
64,성산포종합여객터미널,제주 서귀포시 성산등용로 130-21,교통시설,1860
65,브릭캠퍼스제주,제주 제주시 1100로 3047-0,전시시설,1830
66,세화해수욕장,제주 제주시 충렬로 141-1,자연경관(하천/해양),1799
67,제주관광공사면세점,제주 서귀포시 중문관광로 224-0,면세점,1796
68,신비의도로,제주 제주시 1100로 2894-63,기타관광,1790
69,켄싱턴제주호텔,제주 서귀포시 중문관광로72번길 60-0,호텔,1770
70,박물관은살아있다제주중문점,제주 서귀포시 중문관광로 42-0,전시시설,1749
71,세계자동차&피아노박물관,제주 서귀포시 중산간서로 1610-0,전시시설,1724
72,중문색달해변,제주 서귀포시 중문관광로72번길 0-0,자연경관(하천/해양),1720
73,백약이오름,제주 서귀포시,자연경관(산),1708
74,제주민속촌,제주 서귀포시 민속해안로 631-34,역사유적지,1700
75,표선해수욕장,제주 서귀포시,자연경관(하천/해양),1679
76,피규어뮤지엄제주,제주 서귀포시 한창로 243-0,전시시설,1662
76,제주신화월드서머셋,제주 서귀포시 신화역사로304번길 89-0,콘도미니엄,1662
78,제주여미지식물원,제주 서귀포시 중문관광로 93-0,테마공원,1614
