순위,관광지명,주소,분류,외지인 검색 수
1,제주국제공항,제주 제주시 공항로 2-0,교통시설,25116
2,동문재래시장,제주 제주시 관덕로14길 20-0,시장,14173
3,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,시장,13492
4,성산일출봉,제주 서귀포시 일출로 284-12,자연경관(산),10392
5,협재해수욕장,제주 제주시,자연경관(하천/해양),8906
6,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0,전시시설,8223
7,에코랜드테마파크,제주 제주시 번영로 1278-169,테마공원,6993
8,섭지코지,제주 서귀포시 섭지코지로 107-0,기타관광,6687
9,천지연폭포,제주 서귀포시 서문서로 1-1,자연경관(산),6423
10,함덕해수욕장,제주 제주시 조함해안로 525-0,자연경관(하천/해양),6210
11,용두암,제주 제주시 용두암길 15-0,기타관광,6121
12,한라산둘레길사려니숲길,제주 제주시,기타레저스포츠,5725
13,월정리해변,제주 제주시,자연경관(하천/해양),5276
14,아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15,테마공원,5116
15,이호테우해변,제주 제주시,자연경관(하천/해양),5077
16,카멜리아힐,제주 서귀포시 병악로 166-0,테마공원,5060
17,주상절리대,제주 서귀포시 이어도로 36-30,기타관광,4961
18,비자림,제주 제주시 비자숲길 55-0,자연공원,4807
19,쇠소깍,제주 서귀포시 쇠소깍로 128-0,기타관광,4588
20,성산항,제주 서귀포시,자연경관(하천/해양),4528
21,이마트서귀포점,제주 서귀포시 일주동로 9209-0,대형마트,4426
22,녹산로유채꽃도로,제주 서귀포시,데이트코스,4177
23,산방산,제주 서귀포시 산방로 218-10,자연경관(산),3609
24,곽지해수욕장,제주 제주시,자연경관(하천/해양),3521
25,동문공설시장,제주 제주시 동문로 16-0,시장,3493
26,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0,호텔,3298
27,한화리조트제주,제주 제주시 명림로 575-107,콘도미니엄,3169
28,이마트신제주점,제주 제주시 1100로 3348-0,대형마트,3167
29,소노벨제주,제주 제주시 신북로 577-0,콘도미니엄,3140
30,정방폭포,제주 서귀포시,자연경관(산),3081
31,용머리해안,제주 서귀포시 사계남로216번길 24-32,기타관광,3055
32,동문수산시장,제주 제주시 관덕로14길 20-0,시장,2980
