순위,관광지명,주소,분류,외지인 검색 수
1,제주국제공항,제주 제주시 공항로 2-0,교통시설,35755
2,동문재래시장,제주 제주시 관덕로14길 20-0,시장,18894
3,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,시장,16992
4,성산일출봉,제주 서귀포시 일출로 284-12,자연경관(산),13306
5,협재해수욕장,제주 제주시,자연경관(하천/해양),9833
6,함덕해수욕장,제주 제주시 조함해안로 525-0,자연경관(하천/해양),9499
7,섭지코지,제주 서귀포시 섭지코지로 107-0,기타관광,9386
8,아르떼뮤지엄제주,제주 제주시 어림비로 478-0,전시시설,7317
9,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0,전시시설,6950
10,그랜드하얏트제주,제주 제주시 노연로 12-0,호텔,6616
11,용머리해안,제주 서귀포시 사계남로216번길 24-32,기타관광,6361
12,이호테우해변,제주 제주시,자연경관(하천/해양),6296
13,녹산로유채꽃도로,제주 서귀포시,데이트코스,6155
14,산방산유채꽃밭,제주 서귀포시,기타관광,5955
15,산방산,제주 서귀포시 산방로 218-10,자연경관(산),5878
16,한라산둘레길사려니숲길,제주 제주시,기타레저스포츠,5836
17,엉덩물계곡,제주 서귀포시,자연경관(산),5579
18,비자림,제주 제주시 비자숲길 55-0,자연공원,5483
19,신창풍차해안도로,제주 제주시,데이트코스,5266
20,주상절리대,제주 서귀포시 이어도로 36-30,기타관광,5219
21,곽지해수욕장,제주 제주시,자연경관(하천/해양),5072
22,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0,호텔,4961
23,아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15,테마공원,4719
24,광치기해변,제주 서귀포시,자연경관(하천/해양),4520
25,이마트서귀포점,제주 서귀포시 일주동로 9209-0,대형마트,4360
26,쇠소깍,제주 서귀포시 쇠소깍로 128-0,기타관광,4347
27,용두암,제주 제주시 용두암길 15-0,기타관광,4339
28,카멜리아힐,제주 서귀포시 병악로 166-0,테마공원,4156
29,금오름,제주 제주시,자연경관(산),4144
30,천지연폭포,제주 서귀포시 서문서로 1-1,자연경관(산),4106
31,성산포종합여객터미널,제주 서귀포시 성산등용로 130-21,교통시설,4033
32,휘닉스제주,제주 서귀포시 섭지코지로 107-0,콘도미니엄,4010
33,제주관광공사면세점,제주 서귀포시 중문관광로 224-0,면세점,3957
34,하귀애월해안도로,제주 제주시,데이트코스,3838
35,스누피가든,제주 제주시 금백조로 930-0,기타관광,3825
36,정방폭포,제주 서귀포시,자연경관(산),3585
37,제주신화월드랜딩리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,3526
38,김녕해수욕장,제주 제주시 해맞이해안로 7-6,자연경관(하천/해양),3505
39,소노캄제주,제주 서귀포시 일주동로 6347-17,콘도미니엄,3499
40,사계해수욕장,제주 서귀포시,자연경관(하천/해양),3394
41,성산항,제주 서귀포시,자연경관(하천/해양),3227
42,도두동무지개해안도로,제주 제주시,데이트코스,3218
43,우도도항선선착장,제주 서귀포시 성산등용로 130-21,교통시설,3211
44,해비치호텔,제주 서귀포시 민속해안로 537-0,호텔,3206
45,새별오름,제주 제주시,자연경관(산),3203
46,월정리해변,제주 제주시,자연경관(하천/해양),3139
47,중문색달해변,제주 서귀포시 중문관광로72번길 0-0,자연경관(하천/해양),3073
48,롯데호텔제주점,제주 서귀포시 중문관광로72번길 35-0,호텔,2994
49,제주항연안여객터미널,제주 제주시 임항로 111-0,교통시설,2910
50,한담해안산책로,제주 제주시 애월로 0-0,기타레저스포츠,2906
51,그랜드조선제주,제주 서귀포시 중문관광로72번길 60-0,호텔,2880
52,표선해수욕장,제주 서귀포시,자연경관(하천/해양),2772
53,소노벨제주,제주 제주시 신북로 577-0,콘도미니엄,2771
54,이마트신제주점,제주 제주시 1100로 3348-0,대형마트,2749
55,금능해수욕장,제주 제주시 금능길 119-10,자연경관(하천/해양),2674
56,에코랜드테마파크,제주 제주시 번영로 1278-169,테마공원,2588
57,빛의벙커,제주 서귀포시,전시시설,2514
58,노형수퍼마?,제주 제주시 노형로 89-0,기타문화관광지,2497
59,9.81파크,제주 제주시 천덕로 880-24,테마공원,2470
60,산방산탄산온천,제주 서귀포시 사계북로41번길 192-0,웰니스관광,2367
61,천제연폭포,제주 서귀포시 천제연로 132-0,자연경관(산),2350
62,호텔더본제주,제주 서귀포시 색달로 18-0,호텔,2244
63,만장굴,제주 제주시 만장굴길 182-0,자연생태,2206
64,뽀로로&타요테마파크제주,제주 서귀포시 병악로 269-0,테마공원,2172
65,휴애리자연생활공원,제주 서귀포시 신례동로 256-0,도시공원,2153
66,한화리조트제주,제주 제주시 명림로 575-107,콘도미니엄,2152
67,운진항,제주 서귀포시 최남단해안로 0-0,자연경관(하천/해양),2135
68,제주신화월드메리어트리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,2131
69,히든클리프호텔앤네이쳐,제주 서귀포시 예래해안로 542-0,호텔,2121
70,롯데시티호텔제주,제주 제주시 도령로 83-0,호텔,2046
71,비밀의숲,제주 제주시,기타레저스포츠,2010
72,한림공원,제주 제주시 한림로 300-0,도시공원,2009
73,호텔리젠트마린,제주 제주시 서부두2길 20-0,호텔,1999
74,메종글래드제주호텔,제주 제주시 노연로 80-0,호텔,1979
75,송악산둘레길,제주 서귀포시,기타레저스포츠,1961
76,신라스테이제주,제주 제주시 노연로 100-0,호텔,1924
77,금호리조트제주,제주 서귀포시 태위로 522-12,콘도미니엄,1917
78,보롬왓,제주 서귀포시 번영로 2350-104,기타관광,1901
79,호텔휘슬락,제주 제주시 서부두2길 26-0,호텔,1889
80,세화해수욕장,제주 제주시 충렬로 141-1,자연경관(하천/해양),1846
81,서우봉,제주 제주시,자연경관(산),1840
82,모슬포항,제주 서귀포시 하모항구로 30-0,자연경관(하천/해양),1837
83,이마트제주점,제주 제주시 탑동로 38-0,대형마트,1822
84,성읍민속마을,제주 서귀포시 성읍정의현로 19-0,역사유적지,1791
85,남원큰엉,제주 서귀포시,기타관광,1786
86,제주부영호텔&리조트,제주 서귀포시 중문관광로 222-0,호텔,1772
87,베스트웨스턴제주호텔,제주 제주시 도령로 27-0,호텔,1755
88,라마다프라자제주호텔,제주 제주시 탑동로 66-0,호텔,1708
89,제주민속촌,제주 서귀포시 민속해안로 631-34,역사유적지,1701
90,제주절물자연휴양림,제주 제주시 명림로 584-0,자연공원,1637
91,제주신화월드신화리조트관,제주 서귀포시 서광동로34번길 14-19,콘도미니엄,1631
92,제주신화월드,제주 서귀포시 신화역사로304번길 139-0,복합관광시설,1628
93,약천사,제주 서귀포시 이어도로 293-28,종교성지,1614
94,제주민속오일시장,제주 제주시 오일장서길 26-0,시장,1503
95,마라도가파도정기여객선,제주 서귀포시 최남단해안로 120-0,교통시설,1481
96,호텔난타,제주 제주시 선돌목동길 56-26,호텔,1455
97,중문관광단지,제주 서귀포시,복합관광시설,1441
98,라마다제주시티홀호텔,제주 제주시 중앙로 304-0,호텔,1427
99,더베스트제주성산,제주 서귀포시 동류암로 26-0,호텔,1424
100,서귀포칼호텔,제주 서귀포시 칠십리로 242-0,호텔,1412
