순위,관광지명,주소,분류,외지인 검색 수
1,제주국제공항,제주 제주시 공항로 2-0,교통시설,16338
2,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,시장,9164
3,동문재래시장,제주 제주시 관덕로14길 20-0,시장,9010
4,성산일출봉,제주 서귀포시 일출로 284-12,자연경관(산),6926
5,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0,전시시설,5800
6,카멜리아힐,제주 서귀포시 병악로 166-0,테마공원,4811
7,협재해수욕장,제주 제주시,자연경관(하천/해양),4752
8,아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15,테마공원,4321
9,용두암,제주 제주시 용두암길 15-0,기타관광,3626
10,위미동백나무군락,제주 서귀포시,역사유적지,3523
11,이마트서귀포점,제주 서귀포시 일주동로 9209-0,대형마트,3449
12,섭지코지,제주 서귀포시 섭지코지로 107-0,기타관광,3442
13,월정리해변,제주 제주시,자연경관(하천/해양),3373
14,한라산둘레길사려니숲길,제주 제주시,기타레저스포츠,3321
15,천지연폭포,제주 서귀포시 서문서로 1-1,자연경관(산),3270
16,함덕해수욕장,제주 제주시 조함해안로 525-0,자연경관(하천/해양),3158
17,이호테우해변,제주 제주시,자연경관(하천/해양),2970
18,에코랜드테마파크,제주 제주시 번영로 1278-169,테마공원,2875
19,주상절리대,제주 서귀포시 이어도로 36-30,기타관광,2745
20,제주신화월드,제주 서귀포시 신화역사로304번길 139-0,복합관광시설,2740
21,산방산탄산온천,제주 서귀포시 사계북로41번길 192-0,웰니스관광,2701
22,쇠소깍,제주 서귀포시 쇠소깍로 128-0,기타관광,2512
23,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0,호텔,2467
24,이마트신제주점,제주 제주시 1100로 3348-0,대형마트,2460
25,소노벨제주,제주 제주시 신북로 577-0,콘도미니엄,2098
26,비자림,제주 제주시 비자숲길 55-0,자연공원,2020
27,동문공설시장,제주 제주시 동문로 16-0,시장,1975
28,동문수산시장,제주 제주시 관덕로14길 20-0,시장,1973
29,용머리해안,제주 서귀포시 사계남로216번길 24-32,기타관광,1846
30,새별오름,제주 제주시,자연경관(산),1817
31,히든클리프호텔앤네이쳐,제주 서귀포시 예래해안로 542-0,호텔,1786
32,성산항,제주 서귀포시,자연경관(하천/해양),1775
33,광치기해변,제주 서귀포시,자연경관(하천/해양),1726
34,산방산,제주 서귀포시 산방로 218-10,자연경관(산),1713
35,롯데호텔제주점,제주 서귀포시 중문관광로72번길 35-0,호텔,1669
36,이마트제주점,제주 제주시 탑동로 38-0,대형마트,1667
37,금호리조트제주,제주 서귀포시 태위로 522-12,콘도미니엄,1539
38,헬로키티아일랜드,제주 서귀포시 한창로 340-0,기타관광,1522
39,중문관광단지,제주 서귀포시,복합관광시설,1487
40,하귀애월해안도로,제주 제주시,데이트코스,1481
41,모슬포항,제주 서귀포시 하모항구로 30-0,자연경관(하천/해양),1473
42,정방폭포,제주 서귀포시,자연경관(산),1471
43,곽지해수욕장,제주 제주시,자연경관(하천/해양),1466
44,휘닉스제주,제주 서귀포시 섭지코지로 107-0,콘도미니엄,1455
45,제주항공우주박물관,제주 서귀포시 녹차분재로 218-0,전시시설,1435
46,소노캄제주,제주 서귀포시 일주동로 6347-17,콘도미니엄,1416
47,롯데마트제주점,제주 제주시 연북로 1-0,대형마트,1413
48,만장굴,제주 제주시 만장굴길 182-0,자연생태,1412
49,한화리조트제주,제주 제주시 명림로 575-107,콘도미니엄,1390
50,제주신화월드서머셋,제주 서귀포시 신화역사로304번길 89-0,콘도미니엄,1337
51,해비치호텔,제주 서귀포시 민속해안로 537-0,호텔,1295
52,박물관은살아있다제주중문점,제주 서귀포시 중문관광로 42-0,전시시설,1291
53,신양섭지해수욕장,제주 서귀포시 섭지코지로 88-0,자연경관(하천/해양),1289
54,켄싱턴제주호텔,제주 서귀포시 중문관광로72번길 60-0,호텔,1272
55,우도도항선선착장,제주 서귀포시 성산등용로 130-21,교통시설,1264
56,제주절물자연휴양림,제주 제주시 명림로 584-0,자연공원,1259
57,용눈이오름,제주 제주시,자연경관(산),1221
58,이랜드파크켄싱턴리조트서귀포점,제주 서귀포시 이어도로 684-0,콘도미니엄,1220
59,제주관광공사면세점,제주 서귀포시 중문관광로 224-0,면세점,1197
60,넥슨컴퓨터박물관,제주 제주시 1100로 3198-8,전시시설,1195
61,신비의도로,제주 제주시 1100로 2894-63,기타관광,1176
62,피규어뮤지엄제주,제주 서귀포시 한창로 243-0,전시시설,1172
63,제주신화월드랜딩리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,1146
64,제주러브랜드휴업중,제주 제주시 1100로 2894-72,기타관광,1124
65,한림공원,제주 제주시 한림로 300-0,도시공원,1108
66,신라스테이제주,제주 제주시 노연로 100-0,호텔,1088
67,서귀포칼호텔,제주 서귀포시 칠십리로 242-0,호텔,1084
68,한담해안산책로,제주 제주시 애월로 0-0,기타레저스포츠,1083
69,해비치리조트,제주 서귀포시 민속해안로 537-0,콘도미니엄,1081
70,호텔더본제주,제주 서귀포시 색달로 18-0,호텔,1080
71,라마다프라자제주호텔,제주 제주시 탑동로 66-0,호텔,1059
72,산굼부리,제주 제주시,복합관광시설,1052
73,휴애리자연생활공원,제주 서귀포시 신례동로 256-0,도시공원,1040
74,세계자동차&피아노박물관,제주 서귀포시 중산간서로 1610-0,전시시설,1032
75,메종글래드제주호텔,제주 제주시 노연로 80-0,호텔,1030
76,더쇼어호텔제주,제주 서귀포시 중문관광로72번길 114-0,호텔,1024
77,선녀와나무꾼테마공원,제주 제주시 선교로 267-0,도시공원,997
78,제주항연안여객터미널,제주 제주시 임항로 111-0,교통시설,989
79,세화해수욕장,제주 제주시 충렬로 141-1,자연경관(하천/해양),982
80,신화테마파크,제주 서귀포시 신화역사로304번길 98-0,테마공원,974
81,김녕해수욕장,제주 제주시 해맞이해안로 7-6,자연경관(하천/해양),966
82,퍼시픽리솜,제주 서귀포시 중문관광로 154-17,복합관광시설,960
83,홈플러스서귀포점,제주 서귀포시 중앙로 180-0,대형마트,955
84,애월항,제주 제주시 애월해안로 0-0,자연경관(하천/해양),947
85,메이즈랜드,제주 제주시 비자림로 2134-47,도시공원,944
86,신창풍차해안도로,제주 제주시,데이트코스,905
87,제주여미지식물원,제주 서귀포시 중문관광로 93-0,테마공원,897
88,라마다제주시티홀호텔,제주 제주시 중앙로 304-0,호텔,884
89,호텔리젠트마린,제주 제주시 서부두2길 20-0,호텔,882
90,제주민속촌,제주 서귀포시 민속해안로 631-34,역사유적지,879
91,베스트웨스턴제주호텔,제주 제주시 도령로 27-0,호텔,871
92,천제연폭포,제주 서귀포시 천제연로 132-0,자연경관(산),846
93,김녕미로공원,제주 제주시 만장굴길 122-0,도시공원,841
94,코델리아S호텔,제주 서귀포시 일주동로 4186-0,호텔,835
95,라마다앙코르이스트서귀포호텔,제주 서귀포시 서호중로 65-0,호텔,828
96,제주부영호텔&리조트,제주 서귀포시 중문관광로 222-0,호텔,825
97,소인국테마파크,제주 서귀포시 중산간서로 1878-0,기타관광,823
98,송악산,제주 서귀포시,자연경관(산),804
99,제주공룡랜드,제주 제주시 광령평화2길 1-0,테마공원,800
100,신신호텔제주월드컵점,제주 서귀포시 서호중로 55-0,호텔,790
