순위,관광지명,주소,분류,외지인 검색 수
1,제주국제공항,제주 제주시 공항로 2-0,교통시설,31266
2,동문재래시장,제주 제주시 관덕로14길 20-0,시장,17310
3,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,시장,16561
4,협재해수욕장,제주 제주시,자연경관(하천/해양),14375
5,성산일출봉,제주 서귀포시 일출로 284-12,자연경관(산),12173
6,함덕해수욕장,제주 제주시 조함해안로 525-0,자연경관(하천/해양),11743
7,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0,전시시설,8770
8,섭지코지,제주 서귀포시 섭지코지로 107-0,기타관광,8226
9,카멜리아힐,제주 서귀포시 병악로 166-0,테마공원,8107
10,에코랜드테마파크,제주 제주시 번영로 1278-169,테마공원,7535
11,천지연폭포,제주 서귀포시 서문서로 1-1,자연경관(산),7459
12,용두암,제주 제주시 용두암길 15-0,기타관광,7413
13,쇠소깍,제주 서귀포시 쇠소깍로 128-0,기타관광,6970
14,이호테우해변,제주 제주시,자연경관(하천/해양),6372
15,비자림,제주 제주시 비자숲길 55-0,자연공원,6129
16,월정리해변,제주 제주시,자연경관(하천/해양),5967
17,한라산둘레길사려니숲길,제주 제주시,기타레저스포츠,5903
18,아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15,테마공원,5560
19,곽지해수욕장,제주 제주시,자연경관(하천/해양),5478
20,이마트서귀포점,제주 서귀포시 일주동로 9209-0,대형마트,5301
21,주상절리대,제주 서귀포시 이어도로 36-30,기타관광,4774
22,동문수산시장,제주 제주시 관덕로14길 20-0,시장,4606
23,성산항,제주 서귀포시,자연경관(하천/해양),4386
24,빛의벙커,제주 서귀포시,전시시설,4324
25,보롬왓,제주 서귀포시 번영로 2350-104,기타관광,4251
26,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0,호텔,4237
27,정방폭포,제주 서귀포시,자연경관(산),4216
28,소노캄제주,제주 서귀포시 일주동로 6347-17,콘도미니엄,4117
29,소노벨제주,제주 제주시 신북로 577-0,콘도미니엄,4011
30,휴애리자연생활공원,제주 서귀포시 신례동로 256-0,도시공원,3907
31,금능해수욕장,제주 제주시 금능길 119-10,자연경관(하천/해양),3888
32,우도도항선선착장,제주 서귀포시 성산등용로 130-21,교통시설,3856
33,이마트신제주점,제주 제주시 1100로 3348-0,대형마트,3841
34,김녕해수욕장,제주 제주시 해맞이해안로 7-6,자연경관(하천/해양),3704
35,롯데호텔제주점,제주 서귀포시 중문관광로72번길 35-0,호텔,3594
36,용머리해안,제주 서귀포시 사계남로216번길 24-32,기타관광,3536
37,해비치호텔,제주 서귀포시 민속해안로 537-0,호텔,3403
38,금호리조트제주,제주 서귀포시 태위로 522-12,콘도미니엄,3295
39,만장굴,제주 제주시 만장굴길 182-0,자연생태,3291
40,한화리조트제주,제주 제주시 명림로 575-107,콘도미니엄,3251
41,휘닉스제주,제주 서귀포시 섭지코지로 107-0,콘도미니엄,3222
42,중문색달해변,제주 서귀포시 중문관광로72번길 0-0,자연경관(하천/해양),3162
