순위,관광지명,주소,분류,외지인 검색 수
1,제주국제공항,제주 제주시 공항로 2-0,교통시설,30593
2,동문재래시장,제주 제주시 관덕로14길 20-0,시장,16662
3,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,시장,15938
4,성산일출봉,제주 서귀포시 일출로 284-12,자연경관(산),9336
5,협재해수욕장,제주 제주시,자연경관(하천/해양),7527
6,함덕해수욕장,제주 제주시 조함해안로 525-0,자연경관(하천/해양),7397
7,섭지코지,제주 서귀포시 섭지코지로 107-0,기타관광,6479
8,카멜리아힐,제주 서귀포시 병악로 166-0,테마공원,6163
9,이마트서귀포점,제주 서귀포시 일주동로 9209-0,대형마트,6059
10,아르떼뮤지엄제주,제주 제주시 어림비로 478-0,전시시설,5997
11,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0,전시시설,5993
12,새별오름,제주 제주시,자연경관(산),5937
13,이호테우해변,제주 제주시,자연경관(하천/해양),5459
14,동백포레스트,제주 서귀포시 생기악로 53-38,농/산/어촌체험,5068
15,용머리해안,제주 서귀포시 사계남로216번길 24-32,기타관광,4650
16,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0,호텔,4639
17,제주동백수목원,제주 서귀포시,기타관광,4620
18,제주신화월드랜딩리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,4557
19,한라산둘레길사려니숲길,제주 제주시,기타레저스포츠,4522
20,용두암,제주 제주시 용두암길 15-0,기타관광,4283
21,이마트신제주점,제주 제주시 1100로 3348-0,대형마트,4163
22,주상절리대,제주 서귀포시 이어도로 36-30,기타관광,4158
23,쇠소깍,제주 서귀포시 쇠소깍로 128-0,기타관광,3981
24,천지연폭포,제주 서귀포시 서문서로 1-1,자연경관(산),3763
25,신창풍차해안도로,제주 제주시,데이트코스,3719
26,제주신화월드메리어트리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,3695
27,곽지해수욕장,제주 제주시,자연경관(하천/해양),3538
28,해비치호텔,제주 서귀포시 민속해안로 537-0,호텔,3502
29,비자림,제주 제주시 비자숲길 55-0,자연공원,3297
30,롯데호텔제주점,제주 서귀포시 중문관광로72번길 35-0,호텔,3150
31,금오름,제주 제주시,자연경관(산),3024
32,하귀애월해안도로,제주 제주시,데이트코스,3010
33,정방폭포,제주 서귀포시,자연경관(산),2999
34,아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15,테마공원,2914
35,빛의벙커,제주 서귀포시,전시시설,2770
36,월정리해변,제주 제주시,자연경관(하천/해양),2767
37,제주신화월드신화리조트관,제주 서귀포시 서광동로34번길 14-19,콘도미니엄,2742
38,호텔더본제주,제주 서귀포시 색달로 18-0,호텔,2720
39,이마트제주점,제주 제주시 탑동로 38-0,대형마트,2627
40,김녕해수욕장,제주 제주시 해맞이해안로 7-6,자연경관(하천/해양),2596
41,광치기해변,제주 서귀포시,자연경관(하천/해양),2521
42,용눈이오름,제주 제주시,자연경관(산),2411
43,히든클리프호텔앤네이쳐,제주 서귀포시 예래해안로 542-0,호텔,2390
44,휘닉스제주,제주 서귀포시 섭지코지로 107-0,콘도미니엄,2373
45,성산포종합여객터미널,제주 서귀포시 성산등용로 130-21,교통시설,2366
46,우도도항선선착장,제주 서귀포시 성산등용로 130-21,교통시설,2343
47,소노캄제주,제주 서귀포시 일주동로 6347-17,콘도미니엄,2300
48,산굼부리,제주 제주시,복합관광시설,2289
49,모슬포항,제주 서귀포시 하모항구로 30-0,자연경관(하천/해양),2271
50,제주관광공사면세점,제주 서귀포시 중문관광로 224-0,면세점,2211
51,바이나흐튼크리스마스박물관,제주 서귀포시 평화로 654-0,전시시설,2195
52,성산항,제주 서귀포시,자연경관(하천/해양),2191
53,표선해수욕장,제주 서귀포시,자연경관(하천/해양),2163
54,제주신화월드서머셋,제주 서귀포시 신화역사로304번길 89-0,콘도미니엄,2095
55,제주항연안여객터미널,제주 제주시 임항로 111-0,교통시설,2080
56,소노벨제주,제주 제주시 신북로 577-0,콘도미니엄,2025
57,도두동무지개해안도로,제주 제주시,데이트코스,2017
58,제주신화월드,제주 서귀포시 신화역사로304번길 139-0,복합관광시설,2005
59,메종글래드제주호텔,제주 제주시 노연로 80-0,호텔,1995
60,라마다제주시티홀호텔,제주 제주시 중앙로 304-0,호텔,1993
61,금능해수욕장,제주 제주시 금능길 119-10,자연경관(하천/해양),1992
62,산방산,제주 서귀포시 산방로 218-10,자연경관(산),1882
63,서귀포칼호텔,제주 서귀포시 칠십리로 242-0,호텔,1848
