순위,관광지명,주소,분류,외지인 검색 수
1,제주국제공항,제주 제주시 공항로 2-0,교통시설,40188
2,동문재래시장,제주 제주시 관덕로14길 20-0,시장,29023
3,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,시장,22930
4,협재해수욕장,제주 제주시,자연경관(하천/해양),18241
5,함덕해수욕장,제주 제주시 조함해안로 525-0,자연경관(하천/해양),15597
6,성산일출봉,제주 서귀포시 일출로 284-12,자연경관(산),13224
7,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0,전시시설,10346
8,이호테우해변,제주 제주시,자연경관(하천/해양),9834
9,섭지코지,제주 서귀포시 섭지코지로 107-0,기타관광,9403
10,곽지해수욕장,제주 제주시,자연경관(하천/해양),8037
11,쇠소깍,제주 서귀포시 쇠소깍로 128-0,기타관광,8013
12,한라산둘레길사려니숲길,제주 제주시,기타레저스포츠,7816
13,제주신화월드메리어트리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,7631
14,비자림,제주 제주시 비자숲길 55-0,자연공원,7567
15,이마트서귀포점,제주 서귀포시 일주동로 9209-0,대형마트,7356
16,금능해수욕장,제주 제주시 금능길 119-10,자연경관(하천/해양),7221
17,아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15,테마공원,7117
18,천지연폭포,제주 서귀포시 서문서로 1-1,자연경관(산),7080
19,제주신화월드랜딩리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,6925
20,월정리해변,제주 제주시,자연경관(하천/해양),6556
21,김녕해수욕장,제주 제주시 해맞이해안로 7-6,자연경관(하천/해양),6416
22,용두암,제주 제주시 용두암길 15-0,기타관광,6392
23,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0,호텔,6158
24,용머리해안,제주 서귀포시 사계남로216번길 24-32,기타관광,5747
25,신창풍차해안도로,제주 제주시,데이트코스,5742
26,카멜리아힐,제주 서귀포시 병악로 166-0,테마공원,5670
27,해비치호텔,제주 서귀포시 민속해안로 537-0,호텔,5491
28,주상절리대,제주 서귀포시 이어도로 36-30,기타관광,5438
29,우도도항선선착장,제주 서귀포시 성산등용로 130-21,교통시설,5272
30,롯데호텔제주점,제주 서귀포시 중문관광로72번길 35-0,호텔,5263
31,빛의벙커,제주 서귀포시,전시시설,5140
32,안돌오름,제주 제주시,자연경관(산),4979
33,중문색달해변,제주 서귀포시 중문관광로72번길 0-0,자연경관(하천/해양),4870
34,하귀애월해안도로,제주 제주시,데이트코스,4765
35,표선해수욕장,제주 서귀포시,자연경관(하천/해양),4738
36,이마트신제주점,제주 제주시 1100로 3348-0,대형마트,4701
37,정방폭포,제주 서귀포시,자연경관(산),4648
38,소노캄제주,제주 서귀포시 일주동로 6347-17,콘도미니엄,4620
39,소노벨제주,제주 제주시 신북로 577-0,콘도미니엄,4544
40,휘닉스제주,제주 서귀포시 섭지코지로 107-0,콘도미니엄,4413
41,제주신화월드서머셋,제주 서귀포시 신화역사로304번길 89-0,콘도미니엄,4223
42,제주신화월드,제주 서귀포시 신화역사로304번길 139-0,복합관광시설,4167
43,9.81파크,제주 제주시 천덕로 880-24,테마공원,4152
44,성산항,제주 서귀포시,자연경관(하천/해양),4132
45,에코랜드테마파크,제주 제주시 번영로 1278-169,테마공원,3951
46,새별오름,제주 제주시,자연경관(산),3871
47,엉또폭포,제주 서귀포시,자연경관(산),3767
48,성산포종합여객터미널,제주 서귀포시 성산등용로 130-21,교통시설,3755
49,만장굴,제주 제주시 만장굴길 182-0,자연생태,3586
50,히든클리프호텔앤네이쳐,제주 서귀포시 예래해안로 542-0,호텔,3584
51,이마트제주점,제주 제주시 탑동로 38-0,대형마트,3459
52,금호리조트제주,제주 서귀포시 태위로 522-12,콘도미니엄,3451
53,제주신화월드신화리조트관,제주 서귀포시 서광동로34번길 14-19,콘도미니엄,3420
54,광치기해변,제주 서귀포시,자연경관(하천/해양),3407
55,천제연폭포,제주 서귀포시 천제연로 132-0,자연경관(산),3290
56,세화해수욕장,제주 제주시 충렬로 141-1,자연경관(하천/해양),3236
57,제주절물자연휴양림,제주 제주시 명림로 584-0,자연공원,3219
58,메종글래드제주호텔,제주 제주시 노연로 80-0,호텔,3148
59,호텔더본제주,제주 서귀포시 색달로 18-0,호텔,3100
60,금오름,제주 제주시,자연경관(산),3065
61,신라스테이제주,제주 제주시 노연로 100-0,호텔,3049
62,황우지해안,제주 서귀포시,자연경관(하천/해양),2991
63,한화리조트제주,제주 제주시 명림로 575-107,콘도미니엄,2827
64,제주관광공사면세점,제주 서귀포시 중문관광로 224-0,면세점,2706
65,롯데시티호텔제주,제주 제주시 도령로 83-0,호텔,2691
66,호텔휘슬락,제주 제주시 서부두2길 26-0,호텔,2574
67,선녀탕,제주 서귀포시,기타관광,2565
68,뽀로로&타요테마파크제주,제주 서귀포시 병악로 269-0,테마공원,2554
69,제주오션팰리스호텔,제주 서귀포시 중앙로 14-0,호텔,2489
70,용눈이오름,제주 제주시,자연경관(산),2467
71,한담해안산책로,제주 제주시 애월로 0-0,기타레저스포츠,2448
72,이랜드파크켄싱턴리조트서귀포점,제주 서귀포시 이어도로 684-0,콘도미니엄,2436
73,서귀포칼호텔,제주 서귀포시 칠십리로 242-0,호텔,2397
74,산방산탄산온천,제주 서귀포시 사계북로41번길 192-0,웰니스관광,2390
75,제주부영호텔&리조트,제주 서귀포시 중문관광로 222-0,호텔,2386
76,코업시티호텔하버뷰,제주 서귀포시 태위로 108-0,호텔,2385
77,판포포구,제주 제주시,자연경관(하천/해양),2364
78,라마다제주시티홀호텔,제주 제주시 중앙로 304-0,호텔,2351
79,호텔리젠트마린,제주 제주시 서부두2길 20-0,호텔,2315
80,보롬왓,제주 서귀포시 번영로 2350-104,기타관광,2302
81,중문관광단지,제주 서귀포시,복합관광시설,2240
82,수목원길야시장,제주 제주시,시장,2225
83,도두봉,제주 제주시 서해안로 0-0,자연경관(산),2224
84,용담이호해안도로,제주 제주시,데이트코스,2178
85,베스트웨스턴제주호텔,제주 제주시 도령로 27-0,호텔,2149
86,제주항연안여객터미널,제주 제주시 임항로 111-0,교통시설,2052
87,제주민속오일시장,제주 제주시 오일장서길 26-0,시장,2051
88,라마다프라자제주호텔,제주 제주시 탑동로 66-0,호텔,2040
89,모슬포항,제주 서귀포시 하모항구로 30-0,자연경관(하천/해양),1991
90,제주항공우주박물관,제주 서귀포시 녹차분재로 218-0,전시시설,1959
91,산방산,제주 서귀포시 산방로 218-10,자연경관(산),1935
92,롯데마트제주점,제주 제주시 연북로 1-0,대형마트,1932
93,홈플러스서귀포점,제주 서귀포시 중앙로 180-0,대형마트,1895
