순위,관광지명,주소,분류,외지인 검색 수
1,제주국제공항,제주 제주시 공항로 2-0,교통시설,37202
2,동문재래시장,제주 제주시 관덕로14길 20-0,시장,13746
3,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,시장,12580
4,성산일출봉,제주 서귀포시 일출로 284-12,자연경관(산),10448
5,새별오름,제주 제주시,자연관광(산),7557
6,함덕해수욕장,제주 제주시 조함해안로 525-0,자연경관(하천/해양),7268
7,협재해수욕장,제주 제주시,자연경관(하천/해양),6948
8,이호테우해변,제주 제주시,자연경관(하천/해양),6425
9,섭지코지,제주 서귀포시 섭지코지로 107-0,기타관광,5574
10,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0,전시시설,5204
11,산굼부리,제주 제주시,복합관광시설,5189
12,카멜리아힐,제주 서귀포시 병악로 166-0,테마공원,4998
13,비자림,제주 제주시 비자숲길 55-0,자연공원,4507
14,주상절리대,제주 서귀포시 이어도로 36-30,기타관광,4501
15,스누피가든,제주 제주시 금백조로 930-0,기타관광,4457
16,한라산둘레길사려니숲길,제주 제주시,기타레저스포츠,4433
17,아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15,테마공원,4399
18,그랜드하얏트제주,제주 제주시 노연로 12-0,호텔,4328
19,아르떼뮤지엄제주,제주 제주시 어림비로 478-0,전시시설,4306
20,제주신화월드랜딩리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,4238
21,성산포종합여객터미널,제주 서귀포시 성산등용로 130-21,교통시설,3993
22,용머리해안,제주 서귀포시 사계남로216번길 24-32,기타관광,3845
23,곽지해수욕장,제주 제주시,자연경관(하천/해양),3671
24,신창풍차해안도로,제주 제주시,데이트코스,3657
25,휘닉스제주,제주 서귀포시 섭지코지로 107-0,콘도미니엄,3549
26,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0,호텔,3392
27,천지연폭포,제주 서귀포시 서문서로 1-1,자연경관(산),3385
28,이마트서귀포점,제주 서귀포시 일주동로 9209-0,대형마트,3317
29,쇠소깍,제주 서귀포시 쇠소깍로 128-0,기타관광,3136
30,용두암,제주 제주시 용두암길 15-0,기타관광,3057
31,제주항연안여객터미널,제주 제주시 임항로 111-0,교통시설,2992
32,에코랜드테마파크,제주 제주시 번영로 1278-169,테마공원,2970
33,소노벨제주,제주 제주시 신북로 577-0,콘도미니엄,2907
34,정방폭포,제주 서귀포시,자연경관(산),2880
35,소노캄제주,제주 서귀포시 일주동로 6347-17,콘도미니엄,2796
36,한화리조트제주,제주 제주시 명림로 575-107,콘도미니엄,2770
37,우도도항선선착장,제주 서귀포시 성산등용로 130-21,교통시설,2755
38,롯데호텔제주점,제주 서귀포시 중문관광로72번길 35-0,호텔,2750
39,해비치호텔,제주 서귀포시 민속해안로 537-0,호텔,2730
40,김녕해수욕장,제주 제주시 해맞이해안로 7-6,자연경관(하천/해양),2714
41,금호리조트제주,제주 서귀포시 태위로 522-12,콘도미니엄,2645
42,금오름,제주 제주시,자연관광(산),2637
43,제주신화월드신화리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,2570
44,하귀애월해안도로,제주 제주시,데이트코스,2567
45,산방산탄산온천,제주 서귀포시 사계북로41번길 192-0,웰니스관광,2446
46,이마트신제주점,제주 제주시 1100로 3348-0,대형마트,2381
47,제주관광공사면세점,제주 서귀포시 중문관광로 224-0,면세점,2357
48,노형수퍼마?,제주 제주시 노형로 89-0,기타문화관광지,2240
49,도두동무지개해안도로,제주 제주시,데이트코스,2233
50,9.81파크,제주 제주시 천덕로 880-24,테마공원,2227
51,성산항,제주 서귀포시,자연경관(하천/해양),2207
52,만장굴,제주 제주시 만장굴길 182-0,자연생태,2192
53,메종글래드제주호텔,제주 제주시 노연로 80-0,호텔,2122
54,파르나스호텔제주,제주 서귀포시 중문관광로72번길 100-0,호텔,2098
55,모슬포항,제주 서귀포시 하모항구로 30-0,자연경관(하천/해양),2076
56,월정리해변,제주 제주시,자연경관(하천/해양),2071
57,제주신화월드,제주 서귀포시 신화역사로304번길 139-0,복합관광시설,2066
58,제주신화월드메리어트리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,2021
59,중문색달해변,제주 서귀포시 중문관광로72번길 0-0,자연경관(하천/해양),1996
60,뽀로로&타요테마파크제주,제주 서귀포시 병악로 269-0,테마공원,1967
61,산방산,제주 서귀포시 산방로 218-10,자연경관(산),1959
62,제주신화월드서머셋,제주 서귀포시 신화역사로304번길 89-0,콘도미니엄,1938
63,금능해수욕장,제주 제주시 금능길 119-10,자연경관(하천/해양),1899
64,표선해수욕장,제주 서귀포시,자연경관(하천/해양),1893
65,사계해수욕장,제주 서귀포시,자연경관(하천/해양),1878
66,라마다프라자제주호텔,제주 제주시 탑동로 66-0,호텔,1859
67,빛의벙커,제주 서귀포시,전시시설,1833
68,송악산둘레길,제주 서귀포시,기타레저스포츠,1788
69,그랜드조선제주,제주 서귀포시 중문관광로72번길 60-0,호텔,1706
70,광치기해변,제주 서귀포시,자연경관(하천/해양),1687
71,제주부영호텔&리조트,제주 서귀포시 중문관광로 222-0,호텔,1679
72,호텔더본제주,제주 서귀포시 색달로 18-0,호텔,1664
73,한담해안산책로,제주 제주시 애월로 0-0,기타레저스포츠,1624
74,약천사,제주 서귀포시 이어도로 293-28,종교성지,1571
75,이마트제주점,제주 제주시 탑동로 38-0,대형마트,1548
76,천제연폭포,제주 서귀포시 천제연로 132-0,자연경관(산),1536
77,제주절물자연휴양림,제주 제주시 명림로 584-0,자연공원,1516
78,서귀포칼호텔,제주 서귀포시 칠십리로 242-0,호텔,1514
79,수목원길야시장,제주 제주시,시장,1509
80,휴애리자연생활공원,제주 서귀포시 신례동로 256-0,도시공원,1490
81,비밀의숲,제주 제주시,기타레저스포츠,1484
82,제주항공우주박물관,제주 서귀포시 녹차분재로 218-0,전시시설,1462
83,헬로키티아일랜드,제주 서귀포시 한창로 340-0,기타관광,1454
84,운진항,제주 서귀포시 최남단해안로 0-0,자연경관(하천/해양),1424
85,신라스테이제주,제주 제주시 노연로 100-0,호텔,1348
86,제주항제6부두,제주 제주시 임항로 191-0,자연경관(하천/해양),1330
87,제주곶자왈도립공원,제주 서귀포시 에듀시티로 178-0,자연공원,1276
88,하우목동항,제주 제주시,자연경관(하천/해양),1229
89,중문관광단지,제주 서귀포시,복합관광시설,1228
90,한림공원,제주 제주시 한림로 300-0,도시공원,1200
91,제주민속오일시장,제주 제주시 오일장서길 26-0,시장,1193
92,해비치CC제주,제주 서귀포시 원님로399번길 319-0,육상레저스포츠,1192
93,제주서커스월드,제주 서귀포시 동광로 214-0,공연시설,1166
94,세화해수욕장,제주 제주시 충렬로 141-1,자연경관(하천/해양),1155
95,제주항국제여객선터미널,제주 제주시 임항로 191-0,교통시설,1125
96,캐슬렉스제주GC,제주 서귀포시 평화로 1241-0,육상레저스포츠,1122
97,한라수목원,제주 제주시 수목원길 72-0,자연공원,1117
98,동백포레스트,제주 서귀포시 생기악로 53-38,농/산/어촌체험,1107
