순위,관광지명,주소,분류,외지인 검색 수
1,제주국제공항,제주 제주시 공항로 2-0,교통시설,52865
2,동문재래시장,제주 제주시 관덕로14길 20-0,시장,30509
3,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,시장,26014
4,성산일출봉,제주 서귀포시 일출로 284-12,자연경관(산),18473
5,협재해수욕장,제주 제주시,자연경관(하천/해양),17433
6,함덕해수욕장,제주 제주시 조함해안로 525-0,자연경관(하천/해양),16670
7,섭지코지,제주 서귀포시 섭지코지로 107-0,기타관광,14522
8,한라산둘레길사려니숲길,제주 제주시,기타레저스포츠,12118
9,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0,전시시설,11780
10,비자림,제주 제주시 비자숲길 55-0,자연공원,10817
11,아르떼뮤지엄제주,제주 제주시 어림비로 478-0,전시시설,10237
12,이호테우해변,제주 제주시,자연경관(하천/해양),9988
13,쇠소깍,제주 서귀포시 쇠소깍로 128-0,기타관광,9957
14,금오름,제주 제주시,자연경관(산),8884
15,천지연폭포,제주 서귀포시 서문서로 1-1,자연경관(산),8374
16,용두암,제주 제주시 용두암길 15-0,기타관광,7763
17,주상절리대,제주 서귀포시 이어도로 36-30,기타관광,7742
18,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0,호텔,7425
19,곽지해수욕장,제주 제주시,자연경관(하천/해양),7277
20,신창풍차해안도로,제주 제주시,데이트코스,7160
21,이마트서귀포점,제주 서귀포시 일주동로 9209-0,대형마트,6986
22,용머리해안,제주 서귀포시 사계남로216번길 24-32,기타관광,6950
23,성산포종합여객터미널,제주 서귀포시 성산등용로 130-21,교통시설,6890
24,제주신화월드랜딩리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,6806
25,아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15,테마공원,6777
26,그랜드하얏트제주,제주 제주시 노연로 12-0,호텔,6286
27,보롬왓,제주 서귀포시 번영로 2350-104,기타관광,6089
28,정방폭포,제주 서귀포시,자연경관(산),5886
29,카멜리아힐,제주 서귀포시 병악로 166-0,테마공원,5787
30,월정리해변,제주 제주시,자연경관(하천/해양),5785
31,녹산로유채꽃도로,제주 서귀포시,데이트코스,5692
32,소노캄제주,제주 서귀포시 일주동로 6347-17,콘도미니엄,5592
33,도두동무지개해안도로,제주 제주시,데이트코스,5556
34,제주신화월드메리어트리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,5545
35,우도도항선선착장,제주 서귀포시 성산등용로 130-21,교통시설,5520
36,해비치호텔,제주 서귀포시 민속해안로 537-0,호텔,5416
37,엉덩물계곡,제주 서귀포시,자연경관(산),5402
38,금능해수욕장,제주 제주시 금능길 119-10,자연경관(하천/해양),5393
39,김녕해수욕장,제주 제주시 해맞이해안로 7-6,자연경관(하천/해양),5380
40,하귀애월해안도로,제주 제주시,데이트코스,5231
41,새별오름,제주 제주시,자연경관(산),5128
42,광치기해변,제주 서귀포시,자연경관(하천/해양),5123
43,롯데호텔제주점,제주 서귀포시 중문관광로72번길 35-0,호텔,4985
44,소노벨제주,제주 제주시 신북로 577-0,콘도미니엄,4784
45,휘닉스제주,제주 서귀포시 섭지코지로 107-0,콘도미니엄,4748
46,9.81파크,제주 제주시 천덕로 880-24,테마공원,4737
47,산방산,제주 서귀포시 산방로 218-10,자연경관(산),4574
48,에코랜드테마파크,제주 제주시 번영로 1278-169,테마공원,4465
49,중문색달해변,제주 서귀포시 중문관광로72번길 0-0,자연경관(하천/해양),4430
50,이마트신제주점,제주 제주시 1100로 3348-0,대형마트,4422
51,제주신화월드서머셋,제주 서귀포시 신화역사로304번길 89-0,콘도미니엄,4406
52,한담해안산책로,제주 제주시 애월로 0-0,기타레저스포츠,4357
53,제주신화월드신화리조트관,제주 서귀포시 서광동로34번길 14-19,콘도미니엄,4253
54,비밀의숲,제주 제주시,기타레저스포츠,4227
55,제주관광공사면세점,제주 서귀포시 중문관광로 224-0,면세점,4209
56,표선해수욕장,제주 서귀포시,자연경관(하천/해양),4188
57,스누피가든,제주 제주시 금백조로 930-0,기타관광,4083
58,마라도가파도정기여객선,제주 서귀포시 최남단해안로 120-0,교통시설,4040
59,성산항,제주 서귀포시,자연경관(하천/해양),3935
60,운진항,제주 서귀포시 최남단해안로 0-0,자연경관(하천/해양),3831
61,사계해수욕장,제주 서귀포시,자연경관(하천/해양),3621
62,메종글래드제주호텔,제주 제주시 노연로 80-0,호텔,3505
63,금호리조트제주,제주 서귀포시 태위로 522-12,콘도미니엄,3487
64,제주신화월드,제주 서귀포시 신화역사로304번길 139-0,복합관광시설,3454
65,한화리조트제주,제주 제주시 명림로 575-107,콘도미니엄,3428
66,뽀로로&타요테마파크제주,제주 서귀포시 병악로 269-0,테마공원,3366
67,제주절물자연휴양림,제주 제주시 명림로 584-0,자연공원,3346
68,만장굴,제주 제주시 만장굴길 182-0,자연생태,3326
69,산방산유채꽃밭,제주 서귀포시,기타관광,3314
70,한림공원,제주 제주시 한림로 300-0,도시공원,3298
70,천제연폭포,제주 서귀포시 천제연로 132-0,자연경관(산),3298
72,그랜드조선제주,제주 서귀포시 중문관광로72번길 60-0,호텔,3269
73,히든클리프호텔앤네이쳐,제주 서귀포시 예래해안로 542-0,호텔,3228
74,이마트제주점,제주 제주시 탑동로 38-0,대형마트,3121
75,휴애리자연생활공원,제주 서귀포시 신례동로 256-0,도시공원,3068
76,호텔더본제주,제주 서귀포시 색달로 18-0,호텔,2999
77,세화해수욕장,제주 제주시 충렬로 141-1,자연경관(하천/해양),2948
78,라마다프라자제주호텔,제주 제주시 탑동로 66-0,호텔,2907
79,제주항연안여객터미널,제주 제주시 임항로 111-0,교통시설,2891
80,제주부영호텔&리조트,제주 서귀포시 중문관광로 222-0,호텔,2882
81,서귀포칼호텔,제주 서귀포시 칠십리로 242-0,호텔,2875
82,송악산둘레길,제주 서귀포시,기타레저스포츠,2871
83,신라스테이제주,제주 제주시 노연로 100-0,호텔,2846
84,모슬포항,제주 서귀포시 하모항구로 30-0,자연경관(하천/해양),2748
85,안돌오름,제주 제주시,자연경관(산),2683
86,남원큰엉,제주 서귀포시,기타관광,2653
87,제주민속오일시장,제주 제주시 오일장서길 26-0,시장,2629
88,중문관광단지,제주 서귀포시,복합관광시설,2620
89,롯데시티호텔제주,제주 제주시 도령로 83-0,호텔,2606
90,항몽유적지,제주 제주시 항파두리로 50-0,역사유적지,2594
91,라마다제주시티홀호텔,제주 제주시 중앙로 304-0,호텔,2564
92,이랜드파크켄싱턴리조트서귀포점,제주 서귀포시 이어도로 684-0,콘도미니엄,2560
93,제주오션팰리스호텔,제주 서귀포시 중앙로 14-0,호텔,2479
94,산굼부리,제주 제주시,복합관광시설,2426
95,호텔리젠트마린,제주 제주시 서부두2길 20-0,호텔,2326
96,호텔휘슬락,제주 제주시 서부두2길 26-0,호텔,2269
97,한라수목원,제주 제주시 수목원길 72-0,자연공원,2266
98,코업시티호텔하버뷰,제주 서귀포시 태위로 108-0,호텔,2216
99,베스트웨스턴제주호텔,제주 제주시 도령로 27-0,호텔,2181
100,성읍민속마을,제주 서귀포시 성읍정의현로 19-0,역사유적지,2146
