순위,관광지명,주소,분류,외지인 검색 수
1,제주국제공항,제주 제주시 공항로 2-0,교통시설,35976
2,동문재래시장,제주 제주시 관덕로14길 20-0,시장,24750
3,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,시장,19676
4,성산일출봉,제주 서귀포시 일출로 284-12,자연경관(산),13670
5,새별오름,제주 제주시,자연경관(산),13509
6,협재해수욕장,제주 제주시,자연경관(하천/해양),9828
7,산굼부리,제주 제주시,복합관광시설,9586
8,함덕해수욕장,제주 제주시 조함해안로 525-0,자연경관(하천/해양),9235
9,섭지코지,제주 서귀포시 섭지코지로 107-0,기타관광,8644
10,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0,전시시설,7938
11,용두암,제주 제주시 용두암길 15-0,기타관광,7545
12,천지연폭포,제주 서귀포시 서문서로 1-1,자연경관(산),7364
13,카멜리아힐,제주 서귀포시 병악로 166-0,테마공원,7226
14,한라산둘레길사려니숲길,제주 제주시,기타레저스포츠,6727
15,에코랜드테마파크,제주 제주시 번영로 1278-169,테마공원,6621
16,쇠소깍,제주 서귀포시 쇠소깍로 128-0,기타관광,6410
17,이호테우해변,제주 제주시,자연경관(하천/해양),5552
18,비자림,제주 제주시 비자숲길 55-0,자연공원,5532
19,주상절리대,제주 서귀포시 이어도로 36-30,기타관광,5373
20,이마트서귀포점,제주 서귀포시 일주동로 9209-0,대형마트,4994
21,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0,호텔,4791
22,월정리해변,제주 제주시,자연경관(하천/해양),4352
23,아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15,테마공원,4150
24,해비치호텔,제주 서귀포시 민속해안로 537-0,호텔,4137
24,우도도항선선착장,제주 서귀포시 성산등용로 130-21,교통시설,4137
26,용머리해안,제주 서귀포시 사계남로216번길 24-32,기타관광,4104
27,정방폭포,제주 서귀포시,자연경관(산),3959
28,소노캄제주,제주 서귀포시 일주동로 6347-17,콘도미니엄,3907
29,하귀애월해안도로,제주 제주시,데이트코스,3881
30,곽지해수욕장,제주 제주시,자연경관(하천/해양),3875
31,휘닉스제주,제주 서귀포시 섭지코지로 107-0,콘도미니엄,3792
32,롯데호텔제주점,제주 서귀포시 중문관광로72번길 35-0,호텔,3750
33,소노벨제주,제주 제주시 신북로 577-0,콘도미니엄,3704
34,산방산탄산온천,제주 서귀포시 사계북로41번길 192-0,웰니스관광,3650
35,한화리조트제주,제주 제주시 명림로 575-107,콘도미니엄,3580
36,모슬포항,제주 서귀포시 하모항구로 30-0,자연경관(하천/해양),3555
37,이마트신제주점,제주 제주시 1100로 3348-0,대형마트,3458
38,성산항,제주 서귀포시,자연경관(하천/해양),3431
39,뽀로로&타요테마파크제주,제주 서귀포시 병악로 269-0,테마공원,3421
40,용눈이오름,제주 제주시,자연경관(산),3165
41,성산포종합여객터미널,제주 서귀포시 성산등용로 130-21,교통시설,3079
42,신창풍차해안도로,제주 제주시,데이트코스,3002
43,금호리조트제주,제주 서귀포시 태위로 522-12,콘도미니엄,2987
44,제주신화월드서머셋,제주 서귀포시 신화역사로304번길 89-0,콘도미니엄,2715
45,이마트제주점,제주 제주시 탑동로 38-0,대형마트,2699
46,히든클리프호텔앤네이쳐,제주 서귀포시 예래해안로 542-0,호텔,2687
47,휴애리자연생활공원,제주 서귀포시 신례동로 256-0,도시공원,2647
48,광치기해변,제주 서귀포시,자연경관(하천/해양),2541
49,제주절물자연휴양림,제주 제주시 명림로 584-0,자연공원,2515
50,김녕해수욕장,제주 제주시 해맞이해안로 7-6,자연경관(하천/해양),2487
51,제주신화월드,제주 서귀포시 신화역사로304번길 139-0,복합관광시설,2383
52,서귀포칼호텔,제주 서귀포시 칠십리로 242-0,호텔,2357
53,메종글래드제주호텔,제주 제주시 노연로 80-0,호텔,2339
54,제주신화월드랜딩리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,2336
55,한담해안산책로,제주 제주시 애월로 0-0,기타레저스포츠,2307
56,중문관광단지,제주 서귀포시,복합관광시설,2207
57,호텔더본제주,제주 서귀포시 색달로 18-0,호텔,2185
58,동문수산시장,제주 제주시 관덕로14길 20-0,시장,2183
59,천제연폭포,제주 서귀포시 천제연로 132-0,자연경관(산),2156
60,제주항연안여객터미널,제주 제주시 임항로 111-0,교통시설,2142
61,더쇼어호텔제주,제주 서귀포시 중문관광로72번길 114-0,호텔,2127
62,만장굴,제주 제주시 만장굴길 182-0,자연생태,2123
63,라마다프라자제주호텔,제주 제주시 탑동로 66-0,호텔,2096
64,라마다앙코르이스트서귀포호텔,제주 서귀포시 서호중로 65-0,호텔,2082
65,9.81파크,제주 제주시 천덕로 880-24,테마공원,2065
66,금능해수욕장,제주 제주시 금능길 119-10,자연경관(하천/해양),2055
67,제주관광공사면세점,제주 서귀포시 중문관광로 224-0,면세점,2039
68,수목원길야시장,제주 제주시,시장,2033
69,신라스테이제주,제주 제주시 노연로 100-0,호텔,2004
70,제주부영호텔&리조트,제주 서귀포시 중문관광로 222-0,호텔,1946
71,중문색달해변,제주 서귀포시 중문관광로72번길 0-0,자연경관(하천/해양),1851
72,한림공원,제주 제주시 한림로 300-0,도시공원,1838
73,롯데마트제주점,제주 제주시 연북로 1-0,대형마트,1830
74,제주오션팰리스호텔,제주 서귀포시 중앙로 14-0,호텔,1820
75,제주항공우주박물관,제주 서귀포시 녹차분재로 218-0,전시시설,1816
76,표선해수욕장,제주 서귀포시,자연경관(하천/해양),1810
77,이랜드파크켄싱턴리조트서귀포점,제주 서귀포시 이어도로 684-0,콘도미니엄,1795
78,송악산둘레길,제주 서귀포시,기타레저스포츠,1787
79,산방산,제주 서귀포시 산방로 218-10,자연경관(산),1769
79,제주허브동산,제주 서귀포시 돈오름로 170-0,테마공원,1769
81,더베스트제주성산,제주 서귀포시 동류암로 26-0,호텔,1754
82,제주민속촌,제주 서귀포시 민속해안로 631-34,역사유적지,1728
83,유탑유블레스호텔제주,제주 제주시 조함해안로 502-0,호텔,1725
84,세화해수욕장,제주 제주시 충렬로 141-1,자연경관(하천/해양),1722
85,송악산,제주 서귀포시,자연경관(산),1720
86,신비의도로,제주 제주시 1100로 2894-63,기타관광,1715
87,브라운스위트제주호텔앤리조트,제주 서귀포시 고성오조로 94-0,호텔,1704
88,퍼시픽리솜,제주 서귀포시 중문관광로 154-17,복합관광시설,1694
89,베스트웨스턴제주호텔,제주 제주시 도령로 27-0,호텔,1650
90,마라도가는여객선,제주 서귀포시 송악관광로 424-0,교통시설,1562
91,골든튤립제주성산호텔,제주 서귀포시 일출로 31-0,호텔,1540
