순위,관광지명,주소,분류,외지인 검색 수
1,제주국제공항,제주 제주시 공항로 2-0,교통시설,30530
2,동문재래시장,제주 제주시 관덕로14길 20-0,시장,16628
3,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,시장,15603
4,협재해수욕장,제주 제주시,자연경관(하천/해양),12478
5,성산일출봉,제주 서귀포시 일출로 284-12,자연경관(산),12318
6,함덕해수욕장,제주 제주시 조함해안로 525-0,자연경관(하천/해양),10042
7,섭지코지,제주 서귀포시 섭지코지로 107-0,기타관광,9363
8,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0,전시시설,9335
9,에코랜드테마파크,제주 제주시 번영로 1278-169,테마공원,7968
10,천지연폭포,제주 서귀포시 서문서로 1-1,자연경관(산),7665
11,용두암,제주 제주시 용두암길 15-0,기타관광,7382
12,카멜리아힐,제주 서귀포시 병악로 166-0,테마공원,7296
13,쇠소깍,제주 서귀포시 쇠소깍로 128-0,기타관광,6756
14,이호테우해변,제주 제주시,자연경관(하천/해양),6045
15,비자림,제주 제주시 비자숲길 55-0,자연공원,5845
16,월정리해변,제주 제주시,자연경관(하천/해양),5838
17,한라산둘레길사려니숲길,제주 제주시,기타레저스포츠,5524
18,주상절리대,제주 서귀포시 이어도로 36-30,기타관광,5095
19,아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15,테마공원,5069
20,이마트서귀포점,제주 서귀포시 일주동로 9209-0,대형마트,5055
21,성산항,제주 서귀포시,자연경관(하천/해양),4773
22,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0,호텔,4491
23,휴애리자연생활공원,제주 서귀포시 신례동로 256-0,도시공원,4405
24,곽지해수욕장,제주 제주시,자연경관(하천/해양),4342
25,정방폭포,제주 서귀포시,자연경관(산),4266
26,빛의벙커,제주 서귀포시,전시시설,3956
27,동문공설시장,제주 제주시 동문로 16-0,시장,3911
28,용머리해안,제주 서귀포시 사계남로216번길 24-32,기타관광,3842
29,동문수산시장,제주 제주시 관덕로14길 20-0,시장,3836
30,소노벨제주,제주 제주시 신북로 577-0,콘도미니엄,3768
31,우도도항선선착장,제주 서귀포시 성산등용로 130-21,교통시설,3660
32,소노캄제주,제주 서귀포시 일주동로 6347-17,콘도미니엄,3612
33,롯데호텔제주점,제주 서귀포시 중문관광로72번길 35-0,호텔,3511
34,이마트신제주점,제주 제주시 1100로 3348-0,대형마트,3427
35,제주절물자연휴양림,제주 제주시 명림로 584-0,자연공원,3379
36,운진항,제주 서귀포시 최남단해안로 0-0,자연경관(하천/해양),3363
37,한화리조트제주,제주 제주시 명림로 575-107,콘도미니엄,3287
38,보롬왓,제주 서귀포시 번영로 2350-104,기타관광,3097
39,김녕해수욕장,제주 제주시 해맞이해안로 7-6,자연경관(하천/해양),3024
