순위,관광지명,주소,분류,외지인 검색 수
1,제주국제공항,제주 제주시 공항로 2-0,교통시설,26762
2,동문재래시장,제주 제주시 관덕로14길 20-0,시장,14584
3,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,시장,12788
4,성산일출봉,제주 서귀포시 일출로 284-12,자연경관(산),10727
5,새별오름,제주 제주시,자연경관(산),10360
6,협재해수욕장,제주 제주시,자연경관(하천/해양),8103
7,에코랜드테마파크,제주 제주시 번영로 1278-169,테마공원,7858
8,산굼부리,제주 제주시,복합관광시설,7392
9,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0,전시시설,6952
10,천지연폭포,제주 서귀포시 서문서로 1-1,자연경관(산),6754
11,함덕해수욕장,제주 제주시 조함해안로 525-0,자연경관(하천/해양),6394
12,용두암,제주 제주시 용두암길 15-0,기타관광,6128
13,섭지코지,제주 서귀포시 섭지코지로 107-0,기타관광,5672
14,주상절리대,제주 서귀포시 이어도로 36-30,기타관광,5260
15,한라산둘레길사려니숲길,제주 제주시,기타레저스포츠,4968
16,쇠소깍,제주 서귀포시 쇠소깍로 128-0,기타관광,4883
17,이호테우해변,제주 제주시,자연경관(하천/해양),4762
17,비자림,제주 제주시 비자숲길 55-0,자연공원,4762
19,성산항,제주 서귀포시,자연경관(하천/해양),4595
20,아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15,테마공원,4495
21,이마트서귀포점,제주 서귀포시 일주동로 9209-0,대형마트,4370
22,월정리해변,제주 제주시,자연경관(하천/해양),4218
23,휴애리자연생활공원,제주 서귀포시 신례동로 256-0,도시공원,4000
24,소노벨제주,제주 제주시 신북로 577-0,콘도미니엄,3416
25,동문공설시장,제주 제주시 동문로 16-0,시장,3411
26,정방폭포,제주 서귀포시,자연경관(산),3382
27,이마트신제주점,제주 제주시 1100로 3348-0,대형마트,3370
28,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0,호텔,3363
29,오라동메밀밭,제주 제주시,기타관광,3332
30,한화리조트제주,제주 제주시 명림로 575-107,콘도미니엄,3181
31,카멜리아힐,제주 서귀포시 병악로 166-0,테마공원,3135
32,소노캄제주,제주 서귀포시 일주동로 6347-17,콘도미니엄,3056
33,용눈이오름,제주 제주시,자연경관(산),2938
34,용머리해안,제주 서귀포시 사계남로216번길 24-32,기타관광,2907
35,금호리조트제주,제주 서귀포시 태위로 522-12,콘도미니엄,2863
36,곽지해수욕장,제주 제주시,자연경관(하천/해양),2827
37,동문수산시장,제주 제주시 관덕로14길 20-0,시장,2771
38,롯데호텔제주점,제주 서귀포시 중문관광로72번길 35-0,호텔,2758
39,우도도항선선착장,제주 서귀포시 성산등용로 130-21,교통시설,2708
40,제주절물자연휴양림,제주 제주시 명림로 584-0,자연공원,2500
41,산방산탄산온천,제주 서귀포시 사계북로41번길 192-0,웰니스관광,2479
42,제주신화월드,제주 서귀포시 신화역사로304번길 139-0,복합관광시설,2432
43,신양섭지해수욕장,제주 서귀포시 섭지코지로 88-0,자연경관(하천/해양),2397
44,히든클리프호텔앤네이쳐,제주 서귀포시 예래해안로 542-0,호텔,2346
45,만장굴,제주 제주시 만장굴길 182-0,자연생태,2280
46,휘닉스제주,제주 서귀포시 섭지코지로 107-0,콘도미니엄,2270
47,김녕해수욕장,제주 제주시 해맞이해안로 7-6,자연경관(하천/해양),2183
48,해비치호텔,제주 서귀포시 민속해안로 537-0,호텔,2121
49,이마트제주점,제주 제주시 탑동로 38-0,대형마트,2085
50,퍼시픽리솜,제주 서귀포시 중문관광로 154-17,복합관광시설,2070
51,천제연폭포,제주 서귀포시 천제연로 132-0,자연경관(산),2041
52,성산포종합여객터미널,제주 서귀포시 성산등용로 130-21,교통시설,2005
53,중문관광단지,제주 서귀포시,복합관광시설,1991
54,제주부영호텔&리조트,제주 서귀포시 중문관광로 222-0,호텔,1883
55,메종글래드제주호텔,제주 제주시 노연로 80-0,호텔,1882
56,산방산,제주 서귀포시 산방로 218-10,자연경관(산),1858
57,켄싱턴제주호텔,제주 서귀포시 중문관광로72번길 60-0,호텔,1840
58,한담해안산책로,제주 제주시 애월로 0-0,기타레저스포츠,1825
59,신창풍차해안도로,제주 제주시,데이트코스,1812
60,모슬포항,제주 서귀포시 하모항구로 30-0,자연경관(하천/해양),1796
61,한림공원,제주 제주시 한림로 300-0,도시공원,1788
62,롯데마트제주점,제주 제주시 연북로 1-0,대형마트,1760
63,한라수목원,제주 제주시 수목원길 72-0,자연공원,1757
63,송악산,제주 서귀포시,자연경관(산),1757
65,헬로키티아일랜드,제주 서귀포시 한창로 340-0,기타관광,1687
66,제주관광공사면세점,제주 서귀포시 중문관광로 224-0,면세점,1681
67,하귀애월해안도로,제주 제주시,데이트코스,1673
68,김영관센터,제주 서귀포시 이어도로 640-0,복합관광시설,1662
69,제주민속촌,제주 서귀포시 민속해안로 631-34,역사유적지,1625
70,나인브릿지CC,제주 서귀포시 광평로 34-156,육상레저스포츠,1608
71,한라산국립공원,제주 서귀포시,자연공원,1583
72,호텔더본제주,제주 서귀포시 색달로 18-0,호텔,1573
73,따라비오름,제주 서귀포시,기타관광,1569
74,제주신화월드서머셋,제주 서귀포시 신화역사로304번길 89-0,콘도미니엄,1564
75,광치기해변,제주 서귀포시,자연경관(하천/해양),1546
76,마라도가는여객선,제주 서귀포시 송악관광로 424-0,교통시설,1543
77,금능해수욕장,제주 제주시 금능길 119-10,자연경관(하천/해양),1531
