순위,관광지명,주소,분류,외지인 검색 수
1,제주국제공항,제주 제주시 공항로 2-0,교통시설,18348
2,동문재래시장,제주 제주시 관덕로14길 20-0,시장,12481
3,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,시장,10609
4,성산일출봉,제주 서귀포시 일출로 284-12,자연경관(산),9089
5,협재해수욕장,제주 제주시,자연경관(하천/해양),7035
6,함덕해수욕장,제주 제주시 조함해안로 525-0,자연경관(하천/해양),6396
7,섭지코지,제주 서귀포시 섭지코지로 107-0,기타관광,6347
8,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0,전시시설,5034
9,산방산유채꽃밭,제주 서귀포시,기타관광,4769
10,용두암,제주 제주시 용두암길 15-0,기타관광,4027
11,한라산둘레길사려니숲길,제주 제주시,기타레저스포츠,3904
12,이호테우해변,제주 제주시,자연경관(하천/해양),3750
13,이마트서귀포점,제주 서귀포시 일주동로 9209-0,대형마트,3724
14,쇠소깍,제주 서귀포시 쇠소깍로 128-0,기타관광,3633
15,천지연폭포,제주 서귀포시 서문서로 1-1,자연경관(산),3623
16,비자림,제주 제주시 비자숲길 55-0,자연공원,3419
17,용머리해안,제주 서귀포시 사계남로216번길 24-32,기타관광,3411
18,녹산로유채꽃도로,제주 서귀포시,데이트코스,3410
19,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0,호텔,3392
20,새별오름,제주 제주시,자연경관(산),3353
21,월정리해변,제주 제주시,자연경관(하천/해양),2894
22,곽지해수욕장,제주 제주시,자연경관(하천/해양),2821
23,주상절리대,제주 서귀포시 이어도로 36-30,기타관광,2799
24,하귀애월해안도로,제주 제주시,데이트코스,2760
25,이마트신제주점,제주 제주시 1100로 3348-0,대형마트,2636
26,엉덩물계곡,제주 서귀포시,자연경관(산),2404
27,9.81파크,제주 제주시 천덕로 880-24,테마공원,2392
28,우도도항선선착장,제주 서귀포시 성산등용로 130-21,교통시설,2370
29,산방산,제주 서귀포시 산방로 218-10,자연경관(산),2334
30,정방폭포,제주 서귀포시,자연경관(산),2331
31,빛의벙커,제주 서귀포시,전시시설,2326
32,호텔더본제주,제주 서귀포시 색달로 18-0,호텔,2293
33,광치기해변,제주 서귀포시,자연경관(하천/해양),2242
34,산방산탄산온천,제주 서귀포시 사계북로41번길 192-0,웰니스관광,2235
35,롯데호텔제주점,제주 서귀포시 중문관광로72번길 35-0,호텔,2127
36,제주오션팰리스호텔,제주 서귀포시 중앙로 14-0,호텔,2083
37,김녕해수욕장,제주 제주시 해맞이해안로 7-6,자연경관(하천/해양),2004
38,신라스테이제주,제주 제주시 노연로 100-0,호텔,1974
39,신창풍차해안도로,제주 제주시,데이트코스,1962
40,라마다제주시티홀호텔,제주 제주시 중앙로 304-0,호텔,1937
41,이마트제주점,제주 제주시 탑동로 38-0,대형마트,1920
42,카멜리아힐,제주 서귀포시 병악로 166-0,테마공원,1895
43,안돌오름,제주 제주시,자연경관(산),1855
44,금능해수욕장,제주 제주시 금능길 119-10,자연경관(하천/해양),1844
45,성산항,제주 서귀포시,자연경관(하천/해양),1837
46,히든클리프호텔앤네이쳐,제주 서귀포시 예래해안로 542-0,호텔,1719
47,표선해수욕장,제주 서귀포시,자연경관(하천/해양),1674
48,용눈이오름,제주 제주시,자연경관(산),1673
49,에코랜드테마파크,제주 제주시 번영로 1278-169,테마공원,1588
50,라마다앙코르이스트서귀포호텔,제주 서귀포시 서호중로 65-0,호텔,1563
51,모슬포항,제주 서귀포시 하모항구로 30-0,자연경관(하천/해양),1553
52,성산포종합여객터미널,제주 서귀포시 성산등용로 130-21,교통시설,1527
53,한담해안산책로,제주 제주시 애월로 0-0,기타레저스포츠,1513
54,중문관광단지,제주 서귀포시,복합관광시설,1510
55,중문색달해변,제주 서귀포시 중문관광로72번길 0-0,자연경관(하천/해양),1485
56,제주절물자연휴양림,제주 제주시 명림로 584-0,자연공원,1420
57,더쇼어호텔제주,제주 서귀포시 중문관광로72번길 114-0,호텔,1409
58,아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15,테마공원,1396
59,세화해수욕장,제주 제주시 충렬로 141-1,자연경관(하천/해양),1394
60,산굼부리,제주 제주시,복합관광시설,1339
61,천제연폭포,제주 서귀포시 천제연로 132-0,자연경관(산),1317
62,동문수산시장,제주 제주시 관덕로14길 20-0,시장,1304
63,해비치호텔,제주 서귀포시 민속해안로 537-0,호텔,1299
64,제주항연안여객터미널,제주 제주시 임항로 111-0,교통시설,1297
65,휘닉스제주,제주 서귀포시 섭지코지로 107-0,콘도미니엄,1250
66,송악산,제주 서귀포시,자연경관(산),1211
67,만장굴,제주 제주시 만장굴길 182-0,자연생태,1207
68,롯데마트제주점,제주 제주시 연북로 1-0,대형마트,1198
69,한림공원,제주 제주시 한림로 300-0,도시공원,1185
70,서귀포칼호텔,제주 서귀포시 칠십리로 242-0,호텔,1168
71,브라운스위트제주호텔앤리조트,제주 서귀포시 고성오조로 94-0,호텔,1157
72,홈플러스서귀포점,제주 서귀포시 중앙로 180-0,대형마트,1123
73,신비의도로,제주 제주시 1100로 2894-63,기타관광,1121
74,백약이오름,제주 서귀포시,자연경관(산),1106
75,금오름,제주 제주시,자연경관(산),1088
76,송악산둘레길,제주 서귀포시,기타레저스포츠,1080
77,제주신화월드,제주 서귀포시 신화역사로304번길 139-0,복합관광시설,1071
77,더포그레이스호텔앤리조트,제주 서귀포시 해맞이해안로 2670-0,콘도미니엄,1071
79,더베스트제주성산,제주 서귀포시 동류암로 26-0,호텔,1070
80,베스트웨스턴제주호텔,제주 제주시 도령로 27-0,호텔,1065
81,군산오름,제주 서귀포시,자연경관(산),1030
82,소노벨제주,제주 제주시 신북로 577-0,콘도미니엄,1018
83,한라수목원,제주 제주시 수목원길 72-0,자연공원,1013
