순위,관광지명,주소,분류,외지인 검색 수
1,제주국제공항,제주 제주시 공항로 2-0,교통시설,57427
2,동문재래시장,제주 제주시 관덕로14길 20-0,시장,31141
3,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,시장,26259
4,협재해수욕장,제주 제주시,자연경관(하천/해양),19495
5,함덕해수욕장,제주 제주시 조함해안로 525-0,자연경관(하천/해양),18281
6,성산일출봉,제주 서귀포시 일출로 284-12,자연경관(산),17743
7,섭지코지,제주 서귀포시 섭지코지로 107-0,기타관광,13990
8,한라산둘레길사려니숲길,제주 제주시,기타레저스포츠,12301
9,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0,전시시설,11987
10,이호테우해변,제주 제주시,자연경관(하천/해양),11350
11,금오름,제주 제주시,자연경관(산),10728
12,아르떼뮤지엄제주,제주 제주시 어림비로 478-0,전시시설,10590
13,비자림,제주 제주시 비자숲길 55-0,자연공원,10403
14,카멜리아힐,제주 서귀포시 병악로 166-0,테마공원,10285
15,쇠소깍,제주 서귀포시 쇠소깍로 128-0,기타관광,9800
16,곽지해수욕장,제주 제주시,자연경관(하천/해양),9579
17,천지연폭포,제주 서귀포시 서문서로 1-1,자연경관(산),8687
18,주상절리대,제주 서귀포시 이어도로 36-30,기타관광,8224
19,용머리해안,제주 서귀포시 사계남로216번길 24-32,기타관광,8027
20,금능해수욕장,제주 제주시 금능길 119-10,자연경관(하천/해양),7945
21,이마트서귀포점,제주 서귀포시 일주동로 9209-0,대형마트,7890
22,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0,호텔,7724
23,아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15,테마공원,7689
24,용두암,제주 제주시 용두암길 15-0,기타관광,7551
25,성산포종합여객터미널,제주 서귀포시 성산등용로 130-21,교통시설,7495
26,제주신화월드랜딩리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,7412
27,신창풍차해안도로,제주 제주시,데이트코스,7193
28,그랜드하얏트제주,제주 제주시 노연로 12-0,호텔,6933
29,김녕해수욕장,제주 제주시 해맞이해안로 7-6,자연경관(하천/해양),6785
30,정방폭포,제주 서귀포시,자연경관(산),6303
31,월정리해변,제주 제주시,자연경관(하천/해양),6240
32,소노캄제주,제주 서귀포시 일주동로 6347-17,콘도미니엄,6133
33,휴애리자연생활공원,제주 서귀포시 신례동로 256-0,도시공원,6131
34,제주신화월드메리어트리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,6099
35,롯데호텔제주점,제주 서귀포시 중문관광로72번길 35-0,호텔,5924
36,우도도항선선착장,제주 서귀포시 성산등용로 130-21,교통시설,5841
37,도두동무지개해안도로,제주 제주시,데이트코스,5722
38,스누피가든,제주 제주시 금백조로 930-0,기타관광,5671
39,9.81파크,제주 제주시 천덕로 880-24,테마공원,5666
40,중문색달해변,제주 서귀포시 중문관광로72번길 0-0,자연경관(하천/해양),5549
41,에코랜드테마파크,제주 제주시 번영로 1278-169,테마공원,5405
42,휘닉스제주,제주 서귀포시 섭지코지로 107-0,콘도미니엄,5349
43,새별오름,제주 제주시,자연경관(산),5345
44,소노벨제주,제주 제주시 신북로 577-0,콘도미니엄,5259
45,광치기해변,제주 서귀포시,자연경관(하천/해양),5237
46,표선해수욕장,제주 서귀포시,자연경관(하천/해양),5194
47,해비치호텔,제주 서귀포시 민속해안로 537-0,호텔,5113
48,하귀애월해안도로,제주 제주시,데이트코스,5080
49,빛의벙커,제주 서귀포시,전시시설,5013
50,이마트신제주점,제주 제주시 1100로 3348-0,대형마트,4996
51,제주신화월드신화리조트관,제주 서귀포시 서광동로34번길 14-19,콘도미니엄,4992
52,제주신화월드서머셋,제주 서귀포시 신화역사로304번길 89-0,콘도미니엄,4834
53,성산항,제주 서귀포시,자연경관(하천/해양),4593
54,제주부영호텔&리조트,제주 서귀포시 중문관광로 222-0,호텔,4526
55,제주신화월드,제주 서귀포시 신화역사로304번길 139-0,복합관광시설,4379
56,금호리조트제주,제주 서귀포시 태위로 522-12,콘도미니엄,4335
57,제주관광공사면세점,제주 서귀포시 중문관광로 224-0,면세점,4245
58,보롬왓,제주 서귀포시 번영로 2350-104,기타관광,4229
59,만장굴,제주 제주시 만장굴길 182-0,자연생태,4123
60,비밀의숲,제주 제주시,기타레저스포츠,4099
61,한화리조트제주,제주 제주시 명림로 575-107,콘도미니엄,4043
62,메종글래드제주호텔,제주 제주시 노연로 80-0,호텔,4032
63,그랜드조선제주,제주 서귀포시 중문관광로72번길 60-0,호텔,4020
64,한담해안산책로,제주 제주시 애월로 0-0,기타레저스포츠,4007
65,사계해수욕장,제주 서귀포시,자연경관(하천/해양),3960
66,천제연폭포,제주 서귀포시 천제연로 132-0,자연경관(산),3776
67,산방산,제주 서귀포시 산방로 218-10,자연경관(산),3743
68,히든클리프호텔앤네이쳐,제주 서귀포시 예래해안로 542-0,호텔,3720
69,뽀로로&타요테마파크제주,제주 서귀포시 병악로 269-0,테마공원,3671
70,제주항연안여객터미널,제주 제주시 임항로 111-0,교통시설,3656
71,제주절물자연휴양림,제주 제주시 명림로 584-0,자연공원,3545
72,이마트제주점,제주 제주시 탑동로 38-0,대형마트,3366
73,세화해수욕장,제주 제주시 충렬로 141-1,자연경관(하천/해양),3302
74,라마다프라자제주호텔,제주 제주시 탑동로 66-0,호텔,3241
75,서귀포칼호텔,제주 서귀포시 칠십리로 242-0,호텔,3141
76,마라도가파도정기여객선,제주 서귀포시 최남단해안로 120-0,교통시설,3097
77,운진항,제주 서귀포시 최남단해안로 0-0,자연경관(하천/해양),3064
78,신라스테이제주,제주 제주시 노연로 100-0,호텔,3040
79,호텔더본제주,제주 서귀포시 색달로 18-0,호텔,2971
80,송악산둘레길,제주 서귀포시,기타레저스포츠,2959
81,한림공원,제주 제주시 한림로 300-0,도시공원,2765
82,롯데시티호텔제주,제주 제주시 도령로 83-0,호텔,2756
83,이랜드파크켄싱턴리조트서귀포점,제주 서귀포시 이어도로 684-0,콘도미니엄,2647
84,제주오션팰리스호텔,제주 서귀포시 중앙로 14-0,호텔,2570
85,남원큰엉,제주 서귀포시,기타관광,2554
86,코업시티호텔하버뷰,제주 서귀포시 태위로 108-0,호텔,2550
87,베스트웨스턴제주호텔,제주 제주시 도령로 27-0,호텔,2519
88,모슬포항,제주 서귀포시 하모항구로 30-0,자연경관(하천/해양),2461
89,제주항공우주박물관,제주 서귀포시 녹차분재로 218-0,전시시설,2448
90,라마다제주시티홀호텔,제주 제주시 중앙로 304-0,호텔,2440
91,수목원길야시장,제주 제주시,시장,2421
92,제주민속오일시장,제주 제주시 오일장서길 26-0,시장,2413
93,제주곶자왈도립공원,제주 서귀포시 에듀시티로 178-0,자연공원,2409
94,안돌오름,제주 제주시,자연경관(산),2407
95,호텔리젠트마린,제주 제주시 서부두2길 20-0,호텔,2392
96,휴애리수국축제,제주 서귀포시 신례동로 256-0,기타문화관광지,2386
97,중문관광단지,제주 서귀포시,복합관광시설,2352
98,산굼부리,제주 제주시,복합관광시설,2329
99,호텔휘슬락,제주 제주시 서부두2길 26-0,호텔,2263
100,한라수목원,제주 제주시 수목원길 72-0,자연공원,2201
