순위,관광지명,주소,분류,외지인 검색 수
1,제주국제공항,제주 제주시 공항로 2-0,교통시설,50727
2,동문재래시장,제주 제주시 관덕로14길 20-0,시장,31648
3,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,시장,26523
4,성산일출봉,제주 서귀포시 일출로 284-12,자연경관(산),18742
5,새별오름,제주 제주시,자연경관(산),18252
6,협재해수욕장,제주 제주시,자연경관(하천/해양),17826
7,함덕해수욕장,제주 제주시 조함해안로 525-0,자연경관(하천/해양),16338
8,섭지코지,제주 서귀포시 섭지코지로 107-0,기타관광,12981
9,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0,전시시설,11546
10,이호테우해변,제주 제주시,자연경관(하천/해양),10801
11,쇠소깍,제주 서귀포시 쇠소깍로 128-0,기타관광,10524
12,한라산둘레길사려니숲길,제주 제주시,기타레저스포츠,10269
13,산굼부리,제주 제주시,복합관광시설,9711
14,비자림,제주 제주시 비자숲길 55-0,자연공원,9651
15,용머리해안,제주 서귀포시 사계남로216번길 24-32,기타관광,8649
16,천지연폭포,제주 서귀포시 서문서로 1-1,자연경관(산),8560
17,용두암,제주 제주시 용두암길 15-0,기타관광,7956
18,제주신화월드랜딩리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,7860
19,금오름,제주 제주시,자연경관(산),7812
20,제주신화월드메리어트리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,7735
21,신창풍차해안도로,제주 제주시,데이트코스,7717
22,주상절리대,제주 서귀포시 이어도로 36-30,기타관광,7672
23,이마트서귀포점,제주 서귀포시 일주동로 9209-0,대형마트,7598
24,곽지해수욕장,제주 제주시,자연경관(하천/해양),7329
25,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0,호텔,6918
26,에코랜드테마파크,제주 제주시 번영로 1278-169,테마공원,6806
27,김녕해수욕장,제주 제주시 해맞이해안로 7-6,자연경관(하천/해양),6662
28,우도도항선선착장,제주 서귀포시 성산등용로 130-21,교통시설,6539
29,금능해수욕장,제주 제주시 금능길 119-10,자연경관(하천/해양),6263
30,월정리해변,제주 제주시,자연경관(하천/해양),6242
31,제주신화월드신화리조트관,제주 서귀포시 서광동로34번길 14-19,콘도미니엄,6233
32,성산항,제주 서귀포시,자연경관(하천/해양),6168
33,롯데호텔제주점,제주 서귀포시 중문관광로72번길 35-0,호텔,6140
34,아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15,테마공원,6133
35,정방폭포,제주 서귀포시,자연경관(산),6106
36,성산포종합여객터미널,제주 서귀포시 성산등용로 130-21,교통시설,6063
37,카멜리아힐,제주 서귀포시 병악로 166-0,테마공원,5921
38,해비치호텔,제주 서귀포시 민속해안로 537-0,호텔,5630
39,용눈이오름,제주 제주시,자연경관(산),5586
40,소노캄제주,제주 서귀포시 일주동로 6347-17,콘도미니엄,5541
41,빛의벙커,제주 서귀포시,전시시설,5487
42,아르떼뮤지엄제주,제주 제주시 어림비로 478-0,전시시설,5290
43,하귀애월해안도로,제주 제주시,데이트코스,5212
44,광치기해변,제주 서귀포시,자연경관(하천/해양),4812
45,휘닉스제주,제주 서귀포시 섭지코지로 107-0,콘도미니엄,4794
46,이마트신제주점,제주 제주시 1100로 3348-0,대형마트,4781
