순위,관광지명,주소,분류,외지인 검색 수
1,제주국제공항,제주 제주시 공항로 2-0,교통시설,27694
2,동문재래시장,제주 제주시 관덕로14길 20-0,시장,15387
3,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,시장,14452
4,협재해수욕장,제주 제주시,자연경관(하천/해양),12946
5,성산일출봉,제주 서귀포시 일출로 284-12,자연경관(산),10119
6,함덕해수욕장,제주 제주시 조함해안로 525-0,자연경관(하천/해양),9012
7,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0,전시시설,8503
8,카멜리아힐,제주 서귀포시 병악로 166-0,테마공원,8477
9,에코랜드테마파크,제주 제주시 번영로 1278-169,테마공원,7572
10,한라산둘레길사려니숲길,제주 제주시,기타레저스포츠,7157
11,천지연폭포,제주 서귀포시 서문서로 1-1,자연경관(산),6901
12,용두암,제주 제주시 용두암길 15-0,기타관광,6209
13,월정리해변,제주 제주시,자연경관(하천/해양),6110
14,이호테우해변,제주 제주시,자연경관(하천/해양),6076
15,비자림,제주 제주시 비자숲길 55-0,자연공원,5715
16,섭지코지,제주 서귀포시 섭지코지로 107-0,기타관광,5531
17,곽지해수욕장,제주 제주시,자연경관(하천/해양),5419
18,성산항,제주 서귀포시,자연경관(하천/해양),5167
19,쇠소깍,제주 서귀포시 쇠소깍로 128-0,기타관광,5051
20,이마트서귀포점,제주 서귀포시 일주동로 9209-0,대형마트,4980
21,아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15,테마공원,4923
22,주상절리대,제주 서귀포시 이어도로 36-30,기타관광,4915
23,보롬왓,제주 서귀포시 번영로 2350-104,기타관광,4784
24,동문공설시장,제주 제주시 동문로 16-0,시장,3740
25,이마트신제주점,제주 제주시 1100로 3348-0,대형마트,3728
26,한화리조트제주,제주 제주시 명림로 575-107,콘도미니엄,3683
27,정방폭포,제주 서귀포시,자연경관(산),3558
28,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0,호텔,3497
29,소노캄제주,제주 서귀포시 일주동로 6347-17,콘도미니엄,3412
30,소노벨제주,제주 제주시 신북로 577-0,콘도미니엄,3288
31,롯데호텔제주점,제주 서귀포시 중문관광로72번길 35-0,호텔,3259
32,만장굴,제주 제주시 만장굴길 182-0,자연생태,3192
33,금능해수욕장,제주 제주시 금능길 119-10,자연경관(하천/해양),3185
34,용머리해안,제주 서귀포시 사계남로216번길 24-32,기타관광,3138
35,제주절물자연휴양림,제주 제주시 명림로 584-0,자연공원,3112
36,동문수산시장,제주 제주시 관덕로14길 20-0,시장,3086
37,휴애리자연생활공원,제주 서귀포시 신례동로 256-0,도시공원,3082
38,휘닉스제주,제주 서귀포시 섭지코지로 107-0,콘도미니엄,3065
39,금호리조트제주,제주 서귀포시 태위로 522-12,콘도미니엄,3044
40,우도도항선선착장,제주 서귀포시 성산등용로 130-21,교통시설,3024
41,퍼시픽리솜,제주 서귀포시 중문관광로 154-17,복합관광시설,2971
42,김녕해수욕장,제주 제주시 해맞이해안로 7-6,자연경관(하천/해양),2945
43,제주신화월드,제주 서귀포시 신화역사로304번길 139-0,복합관광시설,2810
44,히든클리프호텔앤네이쳐,제주 서귀포시 예래해안로 542-0,호텔,2651
45,해비치호텔,제주 서귀포시 민속해안로 537-0,호텔,2553
46,한림공원,제주 제주시 한림로 300-0,도시공원,2535
47,산방산탄산온천,제주 서귀포시 사계북로41번길 192-0,웰니스관광,2531
48,표선해수욕장,제주 서귀포시,자연경관(하천/해양),2499
49,제주부영호텔&리조트,제주 서귀포시 중문관광로 222-0,호텔,2488
50,새별오름,제주 제주시,자연경관(산),2473
51,중문색달해변,제주 서귀포시 중문관광로72번길 0-0,자연경관(하천/해양),2465
52,종달리수국길,제주 제주시,기타레저스포츠,2434
53,신양섭지해수욕장,제주 서귀포시 섭지코지로 88-0,자연경관(하천/해양),2382
54,이마트제주점,제주 제주시 탑동로 38-0,대형마트,2274
55,하귀애월해안도로,제주 제주시,데이트코스,2262
56,헬로키티아일랜드,제주 서귀포시 한창로 340-0,기타관광,2136
57,세화해수욕장,제주 제주시 충렬로 141-1,자연경관(하천/해양),2085
58,제주공룡랜드,제주 제주시 광령평화2길 1-0,테마공원,2064
58,성산포종합여객터미널,제주 서귀포시 성산등용로 130-21,교통시설,2064
60,천제연폭포,제주 서귀포시 천제연로 132-0,자연경관(산),2048
61,이랜드파크켄싱턴리조트서귀포점,제주 서귀포시 이어도로 684-0,콘도미니엄,2030
62,메종글래드제주호텔,제주 제주시 노연로 80-0,호텔,1960
63,한담해안산책로,제주 제주시 애월로 0-0,기타레저스포츠,1941
64,산방산,제주 서귀포시 산방로 218-10,자연경관(산),1922
65,중문관광단지,제주 서귀포시,복합관광시설,1911
66,해비치리조트,제주 서귀포시 민속해안로 537-0,콘도미니엄,1905
67,제주관광공사면세점,제주 서귀포시 중문관광로 224-0,면세점,1879
68,항몽유적지,제주 제주시 항파두리로 50-0,역사유적지,1870
69,용눈이오름,제주 제주시,자연경관(산),1860
70,모슬포항,제주 서귀포시 하모항구로 30-0,자연경관(하천/해양),1834
71,롯데마트제주점,제주 제주시 연북로 1-0,대형마트,1806
72,켄싱턴제주호텔,제주 서귀포시 중문관광로72번길 60-0,호텔,1801
73,신비의도로,제주 제주시 1100로 2894-63,기타관광,1796
74,제주항공우주박물관,제주 서귀포시 녹차분재로 218-0,전시시설,1716
