순위,관광지명,주소,분류,외지인 검색 수
1,제주국제공항,제주 제주시 공항로 2-0,교통시설,546311
2,동문재래시장,제주 제주시 관덕로14길 20-0,시장,235436
3,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,시장,216291
4,성산일출봉,제주 서귀포시 일출로 284-12,자연경관(산),162257
5,협재해수욕장,제주 제주시,자연경관(하천/해양),148831
6,함덕해수욕장,제주 제주시 조함해안로 525-0,자연경관(하천/해양),139623
7,이호테우해변,제주 제주시,자연경관(하천/해양),102674
8,아르떼뮤지엄제주,제주 제주시 어림비로 478-0,전시시설,97545
9,섭지코지,제주 서귀포시 섭지코지로 107-0,기타관광,93514
10,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0,전시시설,91276
11,아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15,테마공원,84150
12,곽지해수욕장,제주 제주시,자연경관(하천/해양),83167
13,스누피가든,제주 제주시 금백조로 930-0,기타관광,79352
14,그랜드하얏트제주,제주 제주시 노연로 12-0,호텔,79000
15,한라산둘레길사려니숲길,제주 제주시,기타레저스포츠,77994
16,비자림,제주 제주시 비자숲길 55-0,자연공원,73999
17,카멜리아힐,제주 서귀포시 병악로 166-0,테마공원,69289
18,주상절리대,제주 서귀포시 이어도로 36-30,기타관광,68819
19,용머리해안,제주 서귀포시 사계남로216번길 24-32,기타관광,65899
20,이마트서귀포점,제주 서귀포시 일주동로 9209-0,대형마트,64792
21,신창풍차해안도로,제주 제주시,데이트코스,63395
22,성산포종합여객터미널,제주 서귀포시 성산등용로 130-21,교통시설,63210
23,금능해수욕장,제주 제주시 금능길 119-10,자연경관(하천/해양),59392
24,김녕해수욕장,제주 제주시 해맞이해안로 7-6,자연경관(하천/해양),57632
25,쇠소깍,제주 서귀포시 쇠소깍로 128-0,기타관광,55920
25,천지연폭포,제주 서귀포시 서문서로 1-1,자연경관(산),55920
27,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0,호텔,55327
28,제주신화월드랜딩리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄,54069
