"행정구역(읍면동)별(1)","행정구역(읍면동)별(2)",세대및인구별(1),세대및인구별(2),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"서귀포시","천지동",등록인구,한국인,3864,3940,3994,3977,3900,3798,3571,3570,3544,3524
"서귀포시","천지동",등록인구,외국인,32,33,46,60,74,77,98,118,112,112
"서귀포시","효돈동",등록인구,한국인,5070,5005,4981,4936,5108,5193,5320,5278,5291,5253
"서귀포시","효돈동",등록인구,외국인,26,32,38,51,59,72,81,87,75,71
"서귀포시","영천동",등록인구,한국인,4978,4980,4996,4977,5029,4997,5178,5292,5289,5199
"서귀포시","영천동",등록인구,외국인,34,36,50,66,95,137,172,186,196,172
"서귀포시","동홍동",등록인구,한국인,21042,21379,21874,22225,22625,22806,22680,22885,23118,23233
"서귀포시","동홍동",등록인구,외국인,149,160,208,1051,1225,1300,1274,1278,1271,989
"서귀포시","서홍동",등록인구,한국인,8499,8817,9352,9547,10034,10530,10629,10570,10433,10618
"서귀포시","서홍동",등록인구,외국인,63,79,72,80,114,136,136,127,126,128
"서귀포시","대륜동",등록인구,한국인,9246,9280,9212,10325,11192,13271,13389,13958,14443,14765
"서귀포시","대륜동",등록인구,외국인,64,64,93,124,124,151,179,198,214,198
"서귀포시","대천동",등록인구,한국인,6920,7042,7265,7396,8103,8980,12993,13675,13785,13921
"서귀포시","대천동",등록인구,외국인,29,137,151,93,124,144,242,255,225,189
"서귀포시","중문동",등록인구,한국인,8899,8967,9087,9258,9738,10217,10684,11159,11337,11586
"서귀포시","중문동",등록인구,외국인,165,127,171,182,211,240,280,323,328,291
"서귀포시","예래동",등록인구,한국인,3520,3535,3589,3668,3750,3813,3927,4136,3974,3938
"서귀포시","예래동",등록인구,외국인,59,66,81,91,100,144,146,278,273,262
