년,월,순위,외지인 검색 수,분류,관광지명,주소
2018,1,79,2239,기타레저스포츠,송악산둘레길,제주 서귀포시
2018,1,80,2212,호텔,롯데시티호텔제주,제주 제주시 도령로 83-0
2018,1,81,2162,호텔,제주부영호텔&리조트,제주 서귀포시 중문관광로 222-0
2018,1,82,2161,자연경관(하천/해양),금능해수욕장,제주 제주시 금능길 119-10
2018,1,83,2152,역사유적지,제주민속촌,제주 서귀포시 민속해안로 631-34
2018,1,84,2066,호텔,신라스테이제주,제주 제주시 노연로 100-0
2018,1,85,2061,호텔,히든클리프호텔앤네이쳐,제주 서귀포시 예래해안로 542-0
2018,1,86,2035,시장,제주민속오일시장,제주 제주시 오일장서길 26-0
2018,1,87,1997,호텔,라마다제주시티홀호텔,제주 제주시 중앙로 304-0
2018,1,88,1981,호텔,베스트웨스턴제주호텔,제주 제주시 도령로 27-0
2018,1,89,1962,호텔,호텔휘슬락,제주 제주시 서부두2길 26-0
2018,1,90,1959,자연경관(산),천제연폭포,제주 서귀포시 천제연로 132-0
2018,1,91,1920,자연경관(하천/해양),제주항제6부두,제주 제주시 임항로 191-0
2018,1,91,1920,호텔,호텔리젠트마린,제주 제주시 서부두2길 20-0
2018,1,93,1855,도시공원,메이즈랜드,제주 제주시 비자림로 2134-47
2018,1,94,1853,기타관광,헬로키티아일랜드,제주 서귀포시 한창로 340-0
2018,1,95,1849,자연경관(산),군산오름,제주 서귀포시
2018,1,96,1844,종교성지,약천사,제주 서귀포시 이어도로 293-28
2018,1,97,1822,호텔,호텔난타,제주 제주시 선돌목동길 56-26
2018,1,98,1809,호텔,서귀포칼호텔,제주 서귀포시 칠십리로 242-0
2018,1,99,1802,자연경관(하천/해양),세화해수욕장,제주 제주시 충렬로 141-1
2018,1,100,1791,기타관광,파더스가든,제주 서귀포시 병악로 44-33
2018,2,1,35711,교통시설,제주국제공항,제주 제주시 공항로 2-0
2018,2,2,20792,시장,동문재래시장,제주 제주시 관덕로14길 20-0
2018,2,3,17489,시장,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0
2018,2,4,15084,자연경관(하천/해양),협재해수욕장,제주 제주시
2018,2,5,12315,자연경관(하천/해양),함덕해수욕장,제주 제주시 조함해안로 525-0
2018,2,6,11559,자연경관(산),성산일출봉,제주 서귀포시 일출로 284-12
2018,2,7,8359,전시시설,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0
2018,2,8,7802,기타관광,섭지코지,제주 서귀포시 섭지코지로 107-0
2018,2,9,7414,테마공원,카멜리아힐,제주 서귀포시 병악로 166-0
2018,2,10,7003,자연공원,비자림,제주 제주시 비자숲길 55-0
2018,2,11,6998,자연경관(하천/해양),이호테우해변,제주 제주시
2018,2,12,6872,기타레저스포츠,한라산둘레길사려니숲길,제주 제주시
2018,2,13,6577,기타관광,쇠소깍,제주 서귀포시 쇠소깍로 128-0
2018,2,14,6334,자연경관(하천/해양),곽지해수욕장,제주 제주시
2018,2,15,6125,기타관광,용두암,제주 제주시 용두암길 15-0
2018,2,16,5983,대형마트,이마트서귀포점,제주 서귀포시 일주동로 9209-0
2018,2,17,5824,자연경관(산),천지연폭포,제주 서귀포시 서문서로 1-1
2018,2,18,5681,호텔,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0
2018,2,19,5516,콘도미니엄,제주신화월드메리어트리조트관,제주 서귀포시 신화역사로304번길 38-0
2018,2,20,5413,자연경관(하천/해양),월정리해변,제주 제주시
2018,2,21,5160,기타관광,용머리해안,제주 서귀포시 사계남로216번길 24-32
2018,2,22,5099,자연경관(하천/해양),금능해수욕장,제주 제주시 금능길 119-10
2018,2,23,5094,데이트코스,신창풍차해안도로,제주 제주시
2018,2,24,5042,자연경관(하천/해양),김녕해수욕장,제주 제주시 해맞이해안로 7-6
2018,2,25,4957,호텔,롯데호텔제주점,제주 서귀포시 중문관광로72번길 35-0
2018,2,26,4925,호텔,해비치호텔,제주 서귀포시 민속해안로 537-0
2018,2,27,4594,기타관광,주상절리대,제주 서귀포시 이어도로 36-30
2018,2,28,4481,교통시설,우도도항선선착장,제주 서귀포시 성산등용로 130-21
2018,2,29,4413,데이트코스,하귀애월해안도로,제주 제주시
2018,2,30,4255,콘도미니엄,제주신화월드랜딩리조트관,제주 서귀포시 신화역사로304번길 38-0
2018,2,31,4138,테마공원,아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15
2018,2,32,4023,대형마트,이마트신제주점,제주 제주시 1100로 3348-0
2018,2,33,3919,자연경관(하천/해양),중문색달해변,제주 서귀포시 중문관광로72번길 0-0
2018,2,34,3809,테마공원,에코랜드테마파크,제주 제주시 번영로 1278-169
2018,2,35,3749,전시시설,빛의벙커,제주 서귀포시
2018,2,36,3660,자연경관(하천/해양),표선해수욕장,제주 서귀포시
2018,2,37,3623,자연경관(산),정방폭포,제주 서귀포시
2018,2,38,3577,콘도미니엄,휘닉스제주,제주 서귀포시 섭지코지로 107-0
