TRRSRT_NM,TRRSRT_AREA_NM,TRRSRT_ADRES,TRRSRT_LA_XCRD,TRRSRT_LO_YCRD,TRRSRT_TY_NM,TRRSRT_AMOUNT,USER_AGRDE_CODE,USER_SEXDSTN_CODE,USER_BRTC_CODE,CONECT_DEVICE_NM,PURCHS_DT,ADULT_NMPR_CO,CHILD_NMPR_CO,INFNT_NMPR_CO,USE_DT,SETLE_MN_NM,TOT_AMOUNT
자유이용권(카멜리아힐),서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,,,,3,,,2020-12-10 오후 4:45:00,2,0,0,2021-01-01 오전 10:04:14,빌링(LG),36400
자유이용권(허브동산),동부권,제주특별자치도 서귀포시 표선면 돈오름로 170 허브동산,0,0,,,,3,,,2020-12-30 오후 1:53:00,2,0,0,2021-01-01 오전 10:43:32,빌링(LG),19800
에코랜드 입장권,동부권,제주특별자치도 제주시 조천읍 번영로 1278-169 에코랜드,0,0,테마파크,,,3,,,2020-12-31 오전 8:41:00,2,0,0,2021-01-01 오전 10:57:14,카드,24400
자유이용권(카멜리아힐),서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,,,,3,,,2021-01-01 오전 11:01:00,2,0,0,2021-01-01 오전 11:05:23,빌링(LG),13000
카멜리아힐 입장권,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-01-01 오전 11:26:00,2,0,0,2021-01-01 오전 11:31:56,카드,13000
자유이용권(휴애리㈜),동부권,제주특별자치도 서귀포시 남원읍 신례천로 330 휴애리㈜,0,0,,,,3,,,2020-12-10 오후 4:45:00,2,0,0,2021-01-01 오후 1:06:01,빌링(LG),36400
이어도승마장-A코스 이용권,동부권,제주특별자치도 서귀포시 성산읍 서성일로 269 이어도승마장,0,0,레저/체험/액티비티,,,3,,,2021-01-01 오전 7:11:00,2,0,0,2021-01-01 오후 1:59:19,채널결제,42000
자유이용권(카멜리아힐),서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,,,,3,,,2021-01-01 오전 7:12:00,3,0,0,2021-01-01 오후 2:16:00,빌링(LG),19500
자유이용권(JSR제주실탄사격장),중문/서귀포,제주특별자치도 서귀포시 소보리당로164번길 61 JSR제주실탄사격,0,0,,,,3,,,2021-01-01 오후 12:48:00,2,0,0,2021-01-01 오후 2:44:43,빌링(LG),95500
자유이용권(제주민속촌),동부권,제주특별자치도 서귀포시 표선면 민속해안로 631-34 제주민속촌,0,0,,,,3,,,2021-01-01 오전 10:05:00,2,0,0,2021-01-01 오후 2:46:46,빌링(LG),17600
허브동산(주 야간통합) 입장권,동부권,제주특별자치도 서귀포시 표선면 돈오름로 170 허브동산,0,0,테마파크,,,3,,,2020-12-31 오전 8:41:00,2,0,0,2021-01-01 오후 2:47:51,카드,19800
자유이용권(JSR제주실탄사격장),중문/서귀포,제주특별자치도 서귀포시 소보리당로164번길 61 JSR제주실탄사격,0,0,,,,3,,,2021-01-01 오후 12:48:00,2,0,0,2021-01-01 오후 2:59:37,빌링(LG),95500
자유이용권(제주러브랜드),제주시내권,제주특별자치도 제주시 1100로 2894-72 ㈜제주테마조각공원(제주러브랜드),0,0,,,,3,,,2021-01-01 오전 11:35:00,2,0,0,2021-01-01 오후 2:59:53,빌링(LG),19000
자유이용권(건강과성박물관),서부권,제주특별자치도 서귀포시 안덕면 일주서로 1611 ㈜에스메카(건강과성박물관),0,0,,,,3,,,2021-01-01 오후 12:48:00,2,0,0,2021-01-01 오후 3:18:57,빌링(LG),95500
자유이용권(카멜리아힐),서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,,,,3,,,2020-12-30 오후 4:15:00,2,0,0,2021-01-01 오후 3:49:39,빌링(LG),13000
자유이용권(여미지식물원),중문/서귀포,제주특별자치도 서귀포시 중문관광로 93 부국개발㈜ 여미지식물원,0,0,,,,3,,,2021-01-01 오후 12:48:00,2,0,0,2021-01-01 오후 4:12:54,빌링(LG),95500
자유이용권(피규어뮤지엄제주(주)),중문/서귀포,제주특별자치도 서귀포시 안덕면 상창리 1875-8 피규어뮤지엄제주(주),0,0,,,,3,,,2021-01-01 오후 5:03:00,2,0,0,2021-01-01 오후 5:08:51,빌링(LG),39600
자유이용권((주)제주불빛정원),제주시내권,제주특별자치도 제주시 애월읍 평화로 2346 (주)제주불빛정원,0,0,,,,3,,,2020-12-31 오전 11:29:00,2,0,0,2021-01-01 오후 5:53:08,빌링(LG),19400
JSR제주실탄사격장-실탄사격 이용권,중문/서귀포,제주특별자치도 서귀포시 소보리당로164번길 61 JSR제주실탄사격,0,0,레저/체험/액티비티,,,3,,,2021-01-02 오전 9:37:00,1,0,0,2021-01-02 오전 10:04:33,채널결제,25000
자유이용권(카멜리아힐),서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,,,,3,,,2021-01-02 오전 7:36:00,2,0,0,2021-01-02 오전 10:26:14,빌링(LG),13000
퍼시픽랜드-마린스테이지 관람권,제주시내권,제주특별자치도 서귀포시 중문관광로 154-17 퍼시픽랜드,0,0,쇼/공연/상영관,,,3,,,2021-01-02 오전 11:06:00,2,2,0,2021-01-02 오전 11:06:46,카드,44000
자유이용권(방림원),서부권,제주특별자치도 제주시 한경면 용금로 864 방림원,0,0,,,,3,,,2021-01-02 오전 9:52:00,2,0,0,2021-01-02 오전 11:33:30,빌링(LG),10000
자유이용권(번개체험과학관),중문/서귀포,제주특별자치도 서귀포시 516로 415-36 에스케이엘이씨(주) (번개체험과학관),0,0,,,,3,,,2021-01-01 오후 5:05:00,2,0,0,2021-01-02 오전 11:36:00,빌링(LG),84000
자유이용권((주)한림공원),서부권,제주특별자치도 제주시 한림읍 한림로 300 (주)한림공원,0,0,,,,3,,,2021-01-01 오후 1:44:00,2,2,0,2021-01-02 오전 11:58:33,빌링(LG),36100
자유이용권((주)한림공원),서부권,제주특별자치도 제주시 한림읍 한림로 300 (주)한림공원,0,0,,,,3,,,2020-12-30 오후 1:53:00,2,0,0,2021-01-02 오후 12:08:29,빌링(LG),42600
차귀도달래배낚시-주간낚시 이용권,서부권,제주특별자치도 제주시 한경면 고산리 3616-10 차귀도달래배낚시,0,0,레저/체험/액티비티,,,3,,,2020-12-23 오후 3:07:00,2,0,0,2021-01-02 오후 12:17:15,카드,24000
자유이용권(여미지식물원),중문/서귀포,제주특별자치도 서귀포시 중문관광로 93 부국개발㈜ 여미지식물원,0,0,,,,3,,,2020-12-31 오전 11:29:00,2,0,0,2021-01-02 오후 12:23:48,빌링(LG),37900
자유이용권((주)한림공원),서부권,제주특별자치도 제주시 한림읍 한림로 300 (주)한림공원,0,0,,,,3,,,2020-12-24 오전 7:40:00,2,0,0,2021-01-02 오후 12:47:34,빌링(LG),30400
박물관은살아있다 입장권,중문/서귀포,제주특별자치도 서귀포시 중문관광로 42 박물관은살아있다,0,0,전시/박물관,,,3,,,2021-01-02 오후 1:25:00,1,1,0,2021-01-02 오후 1:32:57,카드,17000
카멜리아힐 입장권,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2020-12-31 오전 8:41:00,2,0,0,2021-01-02 오후 1:52:41,카드,13000
자유이용권((주)한림공원),서부권,제주특별자치도 제주시 한림읍 한림로 300 (주)한림공원,0,0,,,,3,,,2021-01-02 오전 9:58:00,2,1,0,2021-01-02 오후 2:10:27,빌링(LG),37050
제주워터서커스 관람권,동부권,제주특별자치도 제주시 구좌읍 번영로 2172-80 제1호(아트랜드),0,0,쇼/공연/상영관,,,3,,,2021-01-02 오후 1:17:00,2,0,0,2021-01-02 오후 2:23:25,채널결제,44000
어승생승마공원-체험승마A코스 이용권,제주시내권,제주특별자치도 제주시 1100로 2659 어승생승마공원,0,0,레저/체험/액티비티,,,3,,,2021-01-02 오후 2:35:00,1,0,0,2021-01-02 오후 2:44:29,채널결제,56000
자유이용권(번개체험과학관),중문/서귀포,제주특별자치도 서귀포시 516로 415-36 에스케이엘이씨(주) (번개체험과학관),0,0,,,,3,,,2021-01-01 오전 7:08:00,2,0,0,2021-01-02 오후 3:56:13,빌링(LG),50000
방림원,서부권,제주특별자치도 제주시 한경면 용금로 864 방림원,0,0,테마파크,,,3,,,2020-12-31 오전 8:41:00,2,0,0,2021-01-02 오후 4:21:08,카드,15000
아쿠아플라넷-오후4시 이후 입장 AQ권,동부권,제주특별자치도 서귀포시 성산읍 섭지코지로 95 아쿠아플라넷 제주,0,0,테마파크,,,3,,,2021-01-02 오후 1:08:00,1,0,0,2021-01-02 오후 4:21:25,채널결제,21500
자유이용권(아프리카박물관),중문/서귀포,제주특별자치도 서귀포시 이어도로 49 아프리카박물관,0,0,,,,3,,,2021-01-02 오전 9:52:00,2,0,0,2021-01-03 오전 10:04:51,빌링(LG),25000
제주러브랜드 입장권,제주시내권,제주특별자치도 제주시 1100로 2894-72 ㈜제주테마조각공원(제주러브랜드),0,0,테마파크,,,3,,,2021-01-03 오전 10:03:00,3,0,0,2021-01-03 오전 10:08:31,카드,28500
자유이용권(제주해양동물과학관),동부권,제주특별자치도 서귀포시 성산읍 서성일로 689-21 제주해양동물과학관,0,0,,,,3,,,2020-12-29 오전 11:47:00,2,2,0,2021-01-03 오전 10:48:32,빌링(LG),89800
제주워터서커스 관람권,동부권,제주특별자치도 제주시 구좌읍 번영로 2172-80 제1호(아트랜드),0,0,쇼/공연/상영관,,,3,,,2021-01-03 오전 6:38:00,2,2,0,2021-01-03 오전 10:51:55,채널결제,40000
자유이용권((주)한림공원),서부권,제주특별자치도 제주시 한림읍 한림로 300 (주)한림공원,0,0,,,,3,,,2020-12-10 오후 4:45:00,2,0,0,2021-01-03 오전 10:58:43,빌링(LG),59200
제주워터서커스 관람권,동부권,제주특별자치도 제주시 구좌읍 번영로 2172-80 제1호(아트랜드),0,0,쇼/공연/상영관,,,3,,,2021-01-01 오후 6:22:00,1,0,0,2021-01-03 오전 10:59:30,채널결제,12000
카멜리아힐 입장권,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-01-03 오전 10:41:00,1,0,0,2021-01-03 오전 11:16:04,채널결제,6500
자유이용권(여미지식물원),중문/서귀포,제주특별자치도 서귀포시 중문관광로 93 부국개발㈜ 여미지식물원,0,0,,,,3,,,2021-01-03 오전 9:47:00,2,0,0,2021-01-03 오전 11:45:32,빌링(LG),18500
자유이용권(브릭캠퍼스),제주시내권,제주특별자치도 제주시 1100로 3047 브릭캠퍼스,0,0,,,,3,,,2021-01-02 오전 7:48:00,1,0,0,2021-01-03 오전 11:50:31,빌링(LG),13500
자유이용권(브릭캠퍼스),제주시내권,제주특별자치도 제주시 1100로 3047 브릭캠퍼스,0,0,,,,3,,,2021-01-02 오전 11:31:00,1,0,0,2021-01-03 오전 11:52:02,빌링(LG),13500
자유이용권(헬로키티아일랜드),서부권,제주특별자치도 서귀포시 안덕면 한창로 340 헬로키티아일랜드,0,0,,,,3,,,2021-01-03 오전 9:46:00,1,2,0,2021-01-03 오후 12:41:38,빌링(LG),58500
자유이용권(헬로키티아일랜드),서부권,제주특별자치도 서귀포시 안덕면 한창로 340 헬로키티아일랜드,0,0,,,,3,,,2021-01-03 오전 9:42:00,2,3,0,2021-01-03 오후 12:42:16,빌링(LG),77400
자유이용권(피규어뮤지엄제주(주)),중문/서귀포,제주특별자치도 서귀포시 안덕면 상창리 1875-8 피규어뮤지엄제주(주),0,0,,,,3,,,2021-01-01 오전 10:05:00,2,0,0,2021-01-03 오후 1:01:00,빌링(LG),39200
자유이용권((주)한림공원),서부권,제주특별자치도 제주시 한림읍 한림로 300 (주)한림공원,0,0,,,,3,,,2021-01-03 오전 10:21:00,3,0,0,2021-01-03 오후 1:52:58,빌링(LG),41800
자유이용권(피규어뮤지엄제주(주)),중문/서귀포,제주특별자치도 서귀포시 안덕면 상창리 1875-8 피규어뮤지엄제주(주),0,0,,,,3,,,2021-01-03 오전 9:46:00,1,2,0,2021-01-03 오후 2:17:06,빌링(LG),58500
자유이용권(피규어뮤지엄제주(주)),중문/서귀포,제주특별자치도 서귀포시 안덕면 상창리 1875-8 피규어뮤지엄제주(주),0,0,,,,3,,,2021-01-03 오전 9:42:00,2,3,0,2021-01-03 오후 2:18:44,빌링(LG),77400
자유이용권(본태박물관),서부권,제주특별자치도 서귀포시 안덕면 산록남로762번길 69 본태박물관,0,0,,,,3,,,2021-01-03 오전 10:50:00,4,2,0,2021-01-03 오후 2:52:04,빌링(LG),34000
자유이용권(휴애리㈜),동부권,제주특별자치도 서귀포시 남원읍 신례천로 330 휴애리㈜,0,0,,,,3,,,2020-12-30 오후 4:01:00,3,0,0,2021-01-03 오후 2:52:49,빌링(LG),35100
자유이용권(에코랜드),동부권,제주특별자치도 제주시 조천읍 번영로 1278-169 에코랜드,0,0,,,,3,,,2021-01-01 오후 3:56:00,2,1,0,2021-01-03 오후 3:23:34,빌링(LG),33400
자유이용권(여미지식물원),중문/서귀포,제주특별자치도 서귀포시 중문관광로 93 부국개발㈜ 여미지식물원,0,0,,,,3,,,2020-12-24 오전 9:49:00,2,0,0,2021-01-03 오후 4:44:32,빌링(LG),69775
자유이용권(허브동산),동부권,제주특별자치도 서귀포시 표선면 돈오름로 170 허브동산,0,0,,,,3,,,2020-12-29 오전 11:47:00,2,2,0,2021-01-03 오후 5:12:07,빌링(LG),89800
제주워터서커스 관람권,동부권,제주특별자치도 제주시 구좌읍 번영로 2172-80 제1호(아트랜드),0,0,쇼/공연/상영관,,,3,,,2021-01-03 오후 8:06:00,2,1,0,2021-01-04 오전 10:56:19,카드,32000
M1971 일반항차 돌고래투어,서부권,제주특별자치도 서귀포시 대정읍 최남단해안로 116 M1971요트클럽하우스 1층,0,0,잠수함/유람선/제트보트,,,3,,,2021-01-04 오후 12:24:00,1,0,0,2021-01-04 오후 12:42:01,채널결제,48000
수목원-아이스뮤지엄+3D착시아트+5D영상관+VR체험1회,제주시내권,제주특별자치도 제주시 은수길 69 수목원테마파크,0,0,테마파크,,,3,,,2020-12-01 오전 9:36:00,5,0,0,2021-01-04 오후 1:21:02,카드,65000
자유이용권(세계자동차&피아노박물관),중문/서귀포,제주특별자치도 서귀포시 안덕면 중산간서로 1610 세계자동차제주박물관,0,0,,,,3,,,2021-01-03 오전 9:46:00,1,2,0,2021-01-04 오후 1:40:49,빌링(LG),91000
자유이용권(세계자동차&피아노박물관),중문/서귀포,제주특별자치도 서귀포시 안덕면 중산간서로 1610 세계자동차제주박물관,0,0,,,,3,,,2021-01-03 오전 9:42:00,2,3,0,2021-01-04 오후 1:40:59,빌링(LG),131900
자유이용권(제주민속촌),동부권,제주특별자치도 서귀포시 표선면 민속해안로 631-34 제주민속촌,0,0,,,,3,,,2021-01-04 오후 1:53:00,2,0,0,2021-01-04 오후 3:58:25,빌링(LG),17600
박물관은살아있다 입장권,중문/서귀포,제주특별자치도 서귀포시 중문관광로 42 박물관은살아있다,0,0,전시/박물관,,,3,,,2021-01-04 오후 3:33:00,2,1,0,2021-01-04 오후 5:09:27,카드,26300
자유이용권(소인국테마파크),서부권,제주특별자치도 서귀포시 안덕면 중산간서로 1878 소인국테마파크,0,0,,,,3,,,2021-01-01 오후 3:54:00,2,1,0,2021-01-05 오전 10:56:56,빌링(LG),18000
테디베어 사파리 (테지움) 입장권,서부권,제주특별자치도 제주시 애월읍 평화로 2159 테지움사파리,0,0,전시/박물관,,,3,,,2021-01-05 오전 11:04:00,2,1,0,2021-01-05 오후 12:51:31,카드,23000
퍼시픽랜드-마린스테이지 관람권,제주시내권,제주특별자치도 서귀포시 중문관광로 154-17 퍼시픽랜드,0,0,쇼/공연/상영관,,,3,,,2021-01-06 오후 12:00:00,1,0,0,2021-01-06 오후 1:42:24,채널결제,37500
자유이용권(카멜리아힐),서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,,,,3,,,2020-12-08 오후 5:13:00,2,1,0,2021-01-06 오후 2:28:28,빌링(LG),17200
수목원테마파크-VR체험4회,제주시내권,제주특별자치도 제주시 은수길 69 수목원테마파크,0,0,레저/체험/액티비티,,,3,,,2021-01-06 오후 2:13:00,2,0,0,2021-01-06 오후 3:30:20,카드,22000
다이나믹메이즈에피소드3 입장권,동부권,제주특별자치도 서귀포시 표선면 번영로 2644 다이나믹메이즈에피소드,0,0,테마파크,,,3,,,2021-01-07 오전 9:53:00,0,0,0,2021-01-07 오전 11:39:39,채널결제,18000
자유이용권(피규어뮤지엄제주(주)),중문/서귀포,제주특별자치도 서귀포시 안덕면 상창리 1875-8 피규어뮤지엄제주(주),0,0,,,,3,,,2021-01-06 오후 12:55:00,3,0,0,2021-01-08 오후 2:32:07,빌링(LG),41400
자유이용권(일출랜드),동부권,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30 ㈜삼영관광 미천굴관광지구(일출랜드),0,0,,,,3,,,2021-01-06 오전 10:51:00,4,2,0,2021-01-09 오전 11:34:54,빌링(LG),38000
자유이용권(세계자동차&피아노박물관),중문/서귀포,제주특별자치도 서귀포시 안덕면 중산간서로 1610 세계자동차제주박물관,0,0,,,,3,,,2021-01-06 오후 12:55:00,3,0,0,2021-01-09 오후 1:36:58,빌링(LG),86400
자유이용권(세계자동차&피아노박물관),중문/서귀포,제주특별자치도 서귀포시 안덕면 중산간서로 1610 세계자동차제주박물관,0,0,,,,3,,,2021-01-06 오전 11:49:00,2,0,0,2021-01-09 오후 2:19:32,빌링(LG),23000
자유이용권(피규어뮤지엄제주(주)),중문/서귀포,제주특별자치도 서귀포시 안덕면 상창리 1875-8 피규어뮤지엄제주(주),0,0,,,,3,,,2021-01-09 오후 3:48:00,4,1,0,2021-01-09 오후 3:58:27,빌링(LG),110900
아쿠아플라넷-오후4시 이후 입장 AQ권,동부권,제주특별자치도 서귀포시 성산읍 섭지코지로 95 아쿠아플라넷 제주,0,0,테마파크,,,3,,,2021-01-09 오후 1:21:00,2,1,0,2021-01-09 오후 4:02:21,채널결제,64500
자유이용권(JSR제주실탄사격장),중문/서귀포,제주특별자치도 서귀포시 소보리당로164번길 61 JSR제주실탄사격,0,0,,,,3,,,2021-01-09 오후 3:48:00,4,1,0,2021-01-09 오후 5:11:11,빌링(LG),110900
자유이용권(JSR제주실탄사격장),중문/서귀포,제주특별자치도 서귀포시 소보리당로164번길 61 JSR제주실탄사격,0,0,,,,3,,,2021-01-09 오후 3:48:00,4,1,0,2021-01-09 오후 5:22:51,빌링(LG),110900
자유이용권(카멜리아힐),서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,,,,3,,,2021-01-10 오전 10:59:00,4,0,0,2021-01-10 오후 12:16:17,빌링(LG),26000
자유이용권(퍼시픽리솜),제주시내권,제주특별자치도 서귀포시 중문관광로 154-17 퍼시픽랜드,0,0,,,,3,,,2021-01-08 오후 11:46:00,1,1,0,2021-01-10 오후 1:27:20,빌링(LG),34500
자유이용권(여미지식물원),중문/서귀포,제주특별자치도 서귀포시 중문관광로 93 부국개발㈜ 여미지식물원,0,0,,,,3,,,2021-01-10 오전 11:04:00,2,1,0,2021-01-10 오후 2:28:25,빌링(LG),24050
제주러브랜드 입장권,제주시내권,제주특별자치도 제주시 1100로 2894-72 ㈜제주테마조각공원(제주러브랜드),0,0,테마파크,,,3,,,2021-01-10 오후 2:32:00,2,0,0,2021-01-10 오후 2:41:06,카드,19000
자유이용권(카멜리아힐),서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,,,,3,,,2021-01-09 오후 10:34:00,2,0,0,2021-01-10 오후 3:04:07,빌링(LG),18000
제주레일파크㈜-레일바이크(2인승) 이용권,동부권,제주특별자치도 제주시 구좌읍 용눈이오름로 641 제주레일파크㈜,0,0,레저/체험/액티비티,,,3,,,2021-01-10 오후 9:24:00,1,1,0,2021-01-11 오전 10:50:46,카드,46000
자유이용권(제주센트럴파크),동부권,제주특별자치도 제주시 조천읍 비자림로 606 ㈜제주미니미니랜드,0,0,,,,3,,,2021-01-10 오전 11:04:00,2,1,0,2021-01-11 오전 11:22:33,빌링(LG),61450
자유이용권(헬로키티아일랜드),서부권,제주특별자치도 서귀포시 안덕면 한창로 340 헬로키티아일랜드,0,0,,,,3,,,2021-01-11 오전 9:42:00,2,2,0,2021-01-11 오후 1:40:17,빌링(LG),44000
자유이용권(제주민속촌),동부권,제주특별자치도 서귀포시 표선면 민속해안로 631-34 제주민속촌,0,0,,,,3,,,2021-01-10 오전 11:04:00,2,1,0,2021-01-11 오후 3:28:27,빌링(LG),61450
다이나믹메이즈에피소드3 입장권,동부권,제주특별자치도 서귀포시 표선면 번영로 2644 다이나믹메이즈에피소드,0,0,테마파크,,,3,,,2021-01-12 오전 10:15:00,1,0,0,2021-01-12 오전 10:49:52,카드,9000
자유이용권(다이나믹메이즈에피소드3),동부권,제주특별자치도 서귀포시 표선면 번영로 2644 다이나믹메이즈에피소드,0,0,,,,3,,,2021-01-12 오전 10:09:00,7,0,0,2021-01-12 오전 10:50:20,빌링(LG),63000
자유이용권(그시절 추억의 테마공원 선녀와나무꾼),동부권,제주특별자치도 제주시 조천읍 선교로 267 그시절 추억의 테마공원 선녀와나무꾼,0,0,,,,3,,,2021-01-06 오후 4:34:00,3,0,0,2021-01-12 오후 12:50:23,빌링(LG),40000
자유이용권(여미지식물원),중문/서귀포,제주특별자치도 서귀포시 중문관광로 93 부국개발㈜ 여미지식물원,0,0,,,,3,,,2021-01-12 오전 6:07:00,3,0,0,2021-01-12 오후 1:54:13,빌링(LG),18500
자유이용권(에코랜드),동부권,제주특별자치도 제주시 조천읍 번영로 1278-169 에코랜드,0,0,,,,3,,,2021-01-12 오후 12:12:00,2,0,0,2021-01-12 오후 2:15:28,빌링(LG),12200
자유이용권(카멜리아힐),서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,,,,3,,,2021-01-10 오전 8:08:00,1,0,0,2021-01-12 오후 2:22:30,빌링(LG),6500
자유이용권((주)한림공원),서부권,제주특별자치도 제주시 한림읍 한림로 300 (주)한림공원,0,0,,,,3,,,2021-01-09 오후 10:34:00,2,0,0,2021-01-12 오후 4:11:04,빌링(LG),56000
허브동산(주 야간통합) 입장권,동부권,제주특별자치도 서귀포시 표선면 돈오름로 170 허브동산,0,0,테마파크,,,3,,,2021-01-11 오후 12:33:00,1,0,0,2021-01-12 오후 6:26:27,채널결제,9900
자유이용권(휴애리㈜),동부권,제주특별자치도 서귀포시 남원읍 신례천로 330 휴애리㈜,0,0,,,,3,,,2021-01-06 오후 4:34:00,3,0,0,2021-01-13 오전 9:27:54,빌링(LG),85000
자유이용권(카멜리아힐),서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,,,,3,,,2021-01-11 오전 12:55:00,2,0,0,2021-01-13 오후 12:26:05,빌링(LG),18000
자유이용권(그시절 추억의 테마공원 선녀와나무꾼),동부권,제주특별자치도 제주시 조천읍 선교로 267 그시절 추억의 테마공원 선녀와나무꾼,0,0,,,,3,,,2021-01-07 오후 1:22:00,2,2,0,2021-01-13 오후 12:26:12,빌링(LG),36800
자유이용권(그리스신화/트릭아이 박물관),서부권,제주특별자치도 제주시 한림읍 광산로 942 그리스신화박물관 제주뮤지엄컴플렉스㈜,0,0,,,,3,,,2021-01-13 오후 1:16:00,2,0,0,2021-01-13 오후 1:25:31,빌링(LG),13000
카멜리아힐 입장권,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-01-13 오후 1:27:00,4,0,0,2021-01-13 오후 1:30:56,카드,26000
제주레일파크㈜-레일바이크(2인승) 이용권,동부권,제주특별자치도 제주시 구좌읍 용눈이오름로 641 제주레일파크㈜,0,0,레저/체험/액티비티,,,3,,,2021-01-13 오후 1:06:00,0,0,0,2021-01-13 오후 2:10:00,채널결제,23000
카멜리아힐 입장권,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-01-13 오후 3:04:00,2,0,0,2021-01-13 오후 3:07:34,카드,13000
여미지식물원 입장권,중문/서귀포,제주특별자치도 서귀포시 중문관광로 93 부국개발㈜ 여미지식물원,0,0,테마파크,,,3,,,2021-01-13 오후 2:21:00,2,0,0,2021-01-13 오후 3:39:54,채널결제,18500
자유이용권(수목원테마파크),제주시내권,제주특별자치도 제주시 은수길 69 수목원테마파크,0,0,,,,3,,,2021-01-13 오후 3:11:00,2,0,0,2021-01-13 오후 4:41:23,빌링(LG),26000
자유이용권(카멜리아힐),서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,,,,3,,,2021-01-11 오전 9:43:00,3,0,0,2021-01-14 오전 10:40:36,빌링(LG),24500
카멜리아힐 입장권,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2020-12-08 오후 12:41:00,1,0,0,2021-01-14 오전 11:00:32,채널결제,11500
에코랜드 입장권,동부권,제주특별자치도 제주시 조천읍 번영로 1278-169 에코랜드,0,0,테마파크,,,3,,,2021-01-14 오전 11:16:00,4,0,0,2021-01-14 오후 12:13:21,채널결제,48800
자유이용권(카멜리아힐),서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,,,,3,,,2021-01-13 오후 1:18:00,2,0,0,2021-01-14 오후 12:47:13,빌링(LG),13000
자유이용권(피규어뮤지엄제주(주)),중문/서귀포,제주특별자치도 서귀포시 안덕면 상창리 1875-8 피규어뮤지엄제주(주),0,0,,,,3,,,2021-01-13 오후 3:11:00,2,0,0,2021-01-14 오후 1:48:18,빌링(LG),47600
자유이용권(카멜리아힐),서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,,,,3,,,2021-01-14 오후 12:06:00,2,0,0,2021-01-14 오후 2:52:13,빌링(LG),13000
에코랜드 입장권,동부권,제주특별자치도 제주시 조천읍 번영로 1278-169 에코랜드,0,0,테마파크,,,3,,,2021-01-14 오후 3:02:00,2,0,0,2021-01-15 오후 1:23:56,카드,24400
자유이용권(번개체험과학관),중문/서귀포,제주특별자치도 서귀포시 516로 415-36 에스케이엘이씨(주) (번개체험과학관),0,0,,,,3,,,2021-01-02 오전 11:33:00,4,1,0,2021-01-15 오후 1:40:17,빌링(LG),72000
자유이용권(번개체험과학관),중문/서귀포,제주특별자치도 서귀포시 516로 415-36 에스케이엘이씨(주) (번개체험과학관),0,0,,,,3,,,2021-01-02 오전 11:33:00,4,1,0,2021-01-15 오후 1:43:53,빌링(LG),72000
세리월드㈜-동화속으로 미로공원 입장권,중문/서귀포,제주특별자치도 서귀포시 법환상로2번길 97-13 세리월드㈜,0,0,테마파크/레저/체험/액티비티,,,3,,,2021-01-15 오후 1:25:00,2,2,0,2021-01-15 오후 2:13:29,카드,14000
자유이용권(그리스신화/트릭아이 박물관),서부권,제주특별자치도 제주시 한림읍 광산로 942 그리스신화박물관 제주뮤지엄컴플렉스㈜,0,0,,,,3,,,2021-01-15 오전 8:06:00,2,2,0,2021-01-15 오후 2:46:28,빌링(LG),58000
카멜리아힐 입장권,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2020-12-13 오후 12:29:00,1,0,0,2021-01-15 오후 3:17:12,채널결제,6500
자유이용권(소인국테마파크),서부권,제주특별자치도 서귀포시 안덕면 중산간서로 1878 소인국테마파크,0,0,,,,3,,,2021-01-15 오전 8:06:00,2,2,0,2021-01-15 오후 4:35:42,빌링(LG),58000
