TRRSRT_NM,TRRSRT_AREA_NM,TRRSRT_ADRES,TRRSRT_LA_XCRD,TRRSRT_LO_YCRD,TRRSRT_TY_NM,TRRSRT_AMOUNT,USER_AGRDE_CODE,USER_SEXDSTN_CODE,USER_BRTC_CODE,CONECT_DEVICE_NM,PURCHS_DT,ADULT_NMPR_CO,CHILD_NMPR_CO,INFNT_NMPR_CO,USE_DT,SETLE_MN_NM,TOT_AMOUNT
자유이용권(여미지식물원),중문/서귀포,제주특별자치도 서귀포시 중문관광로 93 부국개발㈜ 여미지식물원,0,0,,,,3,,,2021-05-07 오전 9:31:00,4,0,0,2021-05-07 오전 10:03:36,빌링(LG),37000
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-04 오후 10:31:00,1,0,0,2021-05-07 오전 10:15:33,채널결제,6500
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-07 오전 9:20:00,2,0,0,2021-05-07 오전 10:27:33,채널결제,13000
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-07 오전 8:49:00,4,0,0,2021-05-07 오전 11:00:40,채널결제,26000
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-07 오전 9:24:00,1,0,0,2021-05-07 오전 11:12:01,채널결제,6500
아쿠아플라넷-AQ패키지권,동부권,제주특별자치도 서귀포시 성산읍 섭지코지로 95 아쿠아플라넷 제주,0,0,테마파크,,,3,,,2021-05-07 오전 11:06:00,1,1,0,2021-05-07 오전 11:12:49,카드,57800
제주러브랜드 입장권,제주시내권,제주특별자치도 제주시 1100로 2894-72 ㈜제주테마조각공원(제주러브랜드),0,0,테마파크,,,3,,,2021-05-07 오전 11:06:00,2,0,0,2021-05-07 오전 11:14:51,채널결제,19000
자유이용권((주)한림공원),서부권,제주특별자치도 제주시 한림읍 한림로 300 (주)한림공원,0,0,,,,3,,,2021-05-05 오후 7:31:00,4,0,0,2021-05-07 오전 11:31:49,빌링(LG),34200
자유이용권(소인국테마파크),서부권,제주특별자치도 서귀포시 안덕면 중산간서로 1878 소인국테마파크,0,0,,,,3,,,2021-04-29 오전 10:35:00,2,1,0,2021-05-07 오전 11:39:24,빌링(LG),65600
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-07 오전 12:18:00,2,0,0,2021-05-07 오전 11:54:53,채널결제,13000
