년월,읍면동명,업종명,이용금액
2017-01,보목동,빵 및 과자류 소매업,0
2017-01,보목동,서양식 음식점업,675700
2017-01,보목동,일식 음식점업,485000
2017-01,보목동,중식 음식점업,6646000
2017-01,보목동,한식 음식점업,25186000
2017-01,봉개동,기타 외국식 음식점업,16559400
2017-01,봉개동,비알콜 음료점업,2292000
2017-01,봉개동,빵 및 과자류 소매업,2690600
2017-01,봉개동,서양식 음식점업,0
2017-01,봉개동,일식 음식점업,0
2017-01,봉개동,중식 음식점업,6678500
2017-01,봉개동,한식 음식점업,112527300
2017-01,삼도이동,기타 외국식 음식점업,10123000
2017-01,삼도이동,비알콜 음료점업,919000
2017-01,삼도이동,빵 및 과자류 소매업,16130530
2017-01,삼도이동,서양식 음식점업,25579590
2017-01,삼도이동,일식 음식점업,9363000
2017-01,삼도이동,중식 음식점업,22858000
2017-01,삼도이동,한식 음식점업,603094290
2017-01,삼도일동,기타 외국식 음식점업,3926000
2017-01,삼도일동,비알콜 음료점업,1869700
2017-01,삼도일동,빵 및 과자류 소매업,34260690
2017-01,삼도일동,서양식 음식점업,9409300
2017-01,삼도일동,일식 음식점업,47142500
2017-01,삼도일동,중식 음식점업,18380500
2017-01,삼도일동,한식 음식점업,311948151
2017-01,삼양삼동,기타 외국식 음식점업,0
2017-01,삼양삼동,비알콜 음료점업,0
2017-01,삼양삼동,빵 및 과자류 소매업,0
2017-01,삼양삼동,서양식 음식점업,0
2017-01,삼양삼동,일식 음식점업,0
2017-01,삼양삼동,중식 음식점업,0
2017-01,삼양삼동,한식 음식점업,18033000
2017-01,삼양이동,기타 외국식 음식점업,4453000
2017-01,삼양이동,비알콜 음료점업,5927900
2017-01,삼양이동,빵 및 과자류 소매업,15535430
2017-01,삼양이동,서양식 음식점업,8285300
2017-01,삼양이동,일식 음식점업,1440000
2017-01,삼양이동,중식 음식점업,8176000
2017-01,삼양이동,한식 음식점업,207881000
2017-01,삼양일동,기타 외국식 음식점업,0
2017-01,삼양일동,비알콜 음료점업,5245800
2017-01,삼양일동,빵 및 과자류 소매업,0
2017-01,삼양일동,서양식 음식점업,752260
2017-01,삼양일동,일식 음식점업,19545000
2017-01,삼양일동,중식 음식점업,0
2017-01,삼양일동,한식 음식점업,73325000
2017-01,상예동,기타 외국식 음식점업,0
2017-01,상예동,비알콜 음료점업,0
2017-01,상예동,빵 및 과자류 소매업,0
2017-01,상예동,서양식 음식점업,3261300
2017-01,상예동,일식 음식점업,0
2017-01,상예동,중식 음식점업,0
2017-01,상예동,한식 음식점업,91504200
2017-01,상효동,기타 외국식 음식점업,0
2017-01,상효동,비알콜 음료점업,0
2017-01,상효동,빵 및 과자류 소매업,0
2017-01,상효동,서양식 음식점업,0
2017-01,상효동,일식 음식점업,0
2017-01,상효동,중식 음식점업,1268000
2017-01,상효동,한식 음식점업,23107470
2017-01,색달동,기타 외국식 음식점업,0
2017-01,색달동,비알콜 음료점업,17151270
2017-01,색달동,빵 및 과자류 소매업,16560450
2017-01,색달동,서양식 음식점업,58703045
2017-01,색달동,일식 음식점업,26647300
2017-01,색달동,중식 음식점업,1672500
2017-01,색달동,한식 음식점업,688709240
2017-01,서귀동,기타 외국식 음식점업,37266100
2017-01,서귀동,비알콜 음료점업,50305610
2017-01,서귀동,빵 및 과자류 소매업,128333990
2017-01,서귀동,서양식 음식점업,152036490
2017-01,서귀동,일식 음식점업,516722470
2017-01,서귀동,중식 음식점업,62572300
2017-01,서귀동,한식 음식점업,1642595328
2017-01,서호동,기타 외국식 음식점업,20758000
2017-01,서호동,비알콜 음료점업,5934743
2017-01,서호동,빵 및 과자류 소매업,12381250
2017-01,서호동,서양식 음식점업,11119500
2017-01,서호동,일식 음식점업,7853000
2017-01,서호동,중식 음식점업,13693500
2017-01,서호동,한식 음식점업,297197793
2017-01,서홍동,기타 외국식 음식점업,11280400
2017-01,서홍동,비알콜 음료점업,8475300
2017-01,서홍동,빵 및 과자류 소매업,5792200
2017-01,서홍동,서양식 음식점업,14794200
2017-01,서홍동,일식 음식점업,542000
2017-01,서홍동,중식 음식점업,13851000
2017-01,서홍동,한식 음식점업,237050160
2017-01,성산읍,기타 외국식 음식점업,37317700
2017-01,성산읍,비알콜 음료점업,69299370
2017-01,성산읍,빵 및 과자류 소매업,54216861
2017-01,성산읍,서양식 음식점업,33624770
2017-01,성산읍,일식 음식점업,46285550
2017-01,성산읍,중식 음식점업,29094500
2017-01,성산읍,한식 음식점업,1256277942
2017-01,신효동,기타 외국식 음식점업,0
2017-01,신효동,비알콜 음료점업,0
2017-01,신효동,빵 및 과자류 소매업,0
2017-01,신효동,서양식 음식점업,147000
2017-01,신효동,일식 음식점업,0
2017-01,신효동,중식 음식점업,0
2017-01,신효동,한식 음식점업,27001500
2017-01,아라이동,기타 외국식 음식점업,18650200
2017-01,아라이동,비알콜 음료점업,16491230
2017-01,아라이동,빵 및 과자류 소매업,54967650
2017-01,아라이동,서양식 음식점업,107782140
2017-01,아라이동,일식 음식점업,59712700
2017-01,아라이동,중식 음식점업,32317250
2017-01,아라이동,한식 음식점업,588218400
2017-01,아라일동,기타 외국식 음식점업,14392500
2017-01,아라일동,비알콜 음료점업,16573880
2017-01,아라일동,빵 및 과자류 소매업,64675980
2017-01,아라일동,서양식 음식점업,82650150
2017-01,아라일동,일식 음식점업,30316000
2017-01,아라일동,중식 음식점업,37306000
2017-01,아라일동,한식 음식점업,705059474
2017-01,안덕면,기타 외국식 음식점업,23652000
2017-01,안덕면,비알콜 음료점업,19035100
2017-01,안덕면,빵 및 과자류 소매업,15396810
2017-01,안덕면,서양식 음식점업,309115220
2017-01,안덕면,일식 음식점업,5856000
2017-01,안덕면,중식 음식점업,20054500
2017-01,안덕면,한식 음식점업,854007736
2017-01,애월읍,기타 외국식 음식점업,13198500
2017-01,애월읍,비알콜 음료점업,59970090
2017-01,애월읍,빵 및 과자류 소매업,27997960
2017-01,애월읍,서양식 음식점업,181475890
2017-01,애월읍,일식 음식점업,40759900
2017-01,애월읍,중식 음식점업,29414500
2017-01,애월읍,한식 음식점업,1014204145
2017-01,연동,기타 외국식 음식점업,144906780
2017-01,연동,비알콜 음료점업,118993570
