연월,업종명,이용자구분,성별,이용자수,이용건수,이용금액
201803,관광 민예품 및 선물용품 소매업,내국인,남성,8663,9424,329576075
201803,관광 민예품 및 선물용품 소매업,내국인,알수없음,10,12,227100
201803,관광 민예품 및 선물용품 소매업,내국인,여성,10706,11743,380918040
201803,관광 민예품 및 선물용품 소매업,중국,알수없음,7,7,676900
201803,그외 기타 분류안된 오락관련 서비스업,내국인,남성,34,34,1616000
201803,그외 기타 분류안된 오락관련 서비스업,내국인,여성,23,24,984000
201803,기타 수상오락 서비스업,내국인,남성,8,8,1613000
201803,기타 수상오락 서비스업,내국인,여성,3,3,283000
201803,기타 외국식 음식점업,내국인,남성,3018,3123,103545550
201803,기타 외국식 음식점업,내국인,알수없음,11,11,502700
201803,기타 외국식 음식점업,내국인,여성,1658,1696,57717490
201803,기타 외국식 음식점업,중국,알수없음,1,1,101000
201803,비알콜 음료점업,내국인,남성,20624,22076,221609310
201803,비알콜 음료점업,내국인,알수없음,39,47,487960
201803,비알콜 음료점업,내국인,여성,22761,24392,248364440
201803,비알콜 음료점업,중국,알수없음,4,4,34300
201803,빵 및 과자류 소매업,내국인,남성,14849,15813,225491923
201803,빵 및 과자류 소매업,내국인,알수없음,58,68,578450
201803,빵 및 과자류 소매업,내국인,여성,18336,19676,275199255
201803,빵 및 과자류 소매업,중국,알수없음,15,16,158700
201803,서양식 음식점업,내국인,남성,27909,30314,684998772
201803,서양식 음식점업,내국인,알수없음,59,66,1389500
201803,서양식 음식점업,내국인,여성,34438,37744,731740648
201803,서양식 음식점업,중국,알수없음,6,7,222600
201803,스포츠 및 레크레이션 용품 임대업,내국인,남성,4041,4467,354283545
201803,스포츠 및 레크레이션 용품 임대업,내국인,알수없음,23,25,3744900
201803,스포츠 및 레크레이션 용품 임대업,내국인,여성,2524,2796,230852396
201803,스포츠 및 레크레이션 용품 임대업,중국,알수없음,61,68,6360900
201803,일식 음식점업,내국인,남성,9363,9515,756781100
201803,일식 음식점업,내국인,알수없음,14,14,921100
201803,일식 음식점업,내국인,여성,7487,7619,528083082
201803,일식 음식점업,중국,알수없음,1,1,85000
201803,중식 음식점업,내국인,남성,6833,7021,183313480
201803,중식 음식점업,내국인,알수없음,17,19,1171500
201803,중식 음식점업,내국인,여성,3202,3266,91058460
201803,중식 음식점업,중국,알수없음,3,3,143500
201803,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,남성,16677,17782,206370040
201803,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,알수없음,68,71,988900
201803,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,여성,13271,14192,160935665
201803,한식 음식점업,내국인,남성,156191,163447,6660378511
201803,한식 음식점업,내국인,알수없음,220,229,8618267
201803,한식 음식점업,내국인,여성,114045,118787,4589072600
201803,한식 음식점업,중국,알수없음,553,571,15781600
201804,관광 민예품 및 선물용품 소매업,내국인,남성,10703,11689,414101761
201804,관광 민예품 및 선물용품 소매업,내국인,알수없음,17,18,705000
201804,관광 민예품 및 선물용품 소매업,내국인,여성,13477,14956,511382526
201804,관광 민예품 및 선물용품 소매업,중국,알수없음,13,15,4633000
201804,그외 기타 분류안된 오락관련 서비스업,내국인,남성,33,34,1753000
201804,그외 기타 분류안된 오락관련 서비스업,내국인,여성,28,28,2070000
201804,기타 수상오락 서비스업,내국인,남성,16,16,1307150
201804,기타 수상오락 서비스업,내국인,여성,13,14,2144000
201804,기타 외국식 음식점업,내국인,남성,3062,3129,108943712
201804,기타 외국식 음식점업,내국인,알수없음,5,5,61800
201804,기타 외국식 음식점업,내국인,여성,1793,1838,63840690
201804,기타 외국식 음식점업,중국,알수없음,1,1,61000
201804,비알콜 음료점업,내국인,남성,22839,24433,255844240
201804,비알콜 음료점업,내국인,알수없음,71,77,733540
201804,비알콜 음료점업,내국인,여성,24799,26657,278427085
201804,비알콜 음료점업,중국,알수없음,5,7,65800
201804,빵 및 과자류 소매업,내국인,남성,16584,17686,257185713
201804,빵 및 과자류 소매업,내국인,알수없음,58,63,975800
201804,빵 및 과자류 소매업,내국인,여성,19912,21338,307588303
201804,빵 및 과자류 소매업,중국,알수없음,6,6,70500
201804,서양식 음식점업,내국인,남성,31115,33962,770882939
201804,서양식 음식점업,내국인,알수없음,63,72,1335850
201804,서양식 음식점업,내국인,여성,37597,41380,847585757
201804,서양식 음식점업,중국,알수없음,14,15,517500
201804,스포츠 및 레크레이션 용품 임대업,내국인,남성,4787,5301,379942833
201804,스포츠 및 레크레이션 용품 임대업,내국인,알수없음,24,27,3757300
201804,스포츠 및 레크레이션 용품 임대업,내국인,여성,3033,3361,266720710
201804,스포츠 및 레크레이션 용품 임대업,중국,알수없음,85,103,12483200
201804,일식 음식점업,내국인,남성,10969,11180,955499375
201804,일식 음식점업,내국인,알수없음,24,25,1855600
201804,일식 음식점업,내국인,여성,8377,8521,664654640
201804,일식 음식점업,중국,알수없음,4,4,163000
201804,중식 음식점업,내국인,남성,7224,7435,204912013
201804,중식 음식점업,내국인,알수없음,20,20,996580
201804,중식 음식점업,내국인,여성,3662,3762,105312940
201804,중식 음식점업,중국,알수없음,2,2,96000
201804,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,남성,18004,19317,226086087
201804,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,알수없음,76,84,862700
201804,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,여성,14279,15351,177598360
201804,한식 음식점업,내국인,남성,169328,176946,7802193572
201804,한식 음식점업,내국인,알수없음,270,290,14183250
201804,한식 음식점업,내국인,여성,125045,130610,5555318186
201804,한식 음식점업,중국,알수없음,633,643,19313000
201805,관광 민예품 및 선물용품 소매업,내국인,남성,10894,11998,376630350
201805,관광 민예품 및 선물용품 소매업,내국인,알수없음,15,15,323500
201805,관광 민예품 및 선물용품 소매업,내국인,여성,12792,14186,436117640
201805,관광 민예품 및 선물용품 소매업,중국,알수없음,19,21,3106400
201805,그외 기타 분류안된 오락관련 서비스업,내국인,남성,71,73,3614685
201805,그외 기타 분류안된 오락관련 서비스업,내국인,여성,41,41,1770000
201805,기타 수상오락 서비스업,내국인,남성,18,19,2416800
201805,기타 수상오락 서비스업,내국인,여성,7,7,1277000
201805,기타 외국식 음식점업,내국인,남성,3199,3281,108015158
201805,기타 외국식 음식점업,내국인,알수없음,8,8,208100
201805,기타 외국식 음식점업,내국인,여성,1707,1740,60858860
201805,기타 외국식 음식점업,중국,알수없음,2,2,198000
201805,비알콜 음료점업,내국인,남성,23496,25205,255917395
201805,비알콜 음료점업,내국인,알수없음,66,75,635900
201805,비알콜 음료점업,내국인,여성,24753,26448,269391732
201805,비알콜 음료점업,중국,알수없음,4,4,52900
201805,빵 및 과자류 소매업,내국인,남성,17109,18353,265297502
201805,빵 및 과자류 소매업,내국인,알수없음,76,82,777150
201805,빵 및 과자류 소매업,내국인,여성,19881,21340,301474075
201805,빵 및 과자류 소매업,중국,알수없음,15,17,124300
201805,서양식 음식점업,내국인,남성,32896,35957,814625343
201805,서양식 음식점업,내국인,알수없음,76,82,2943200
201805,서양식 음식점업,내국인,여성,38844,42754,882768911
201805,서양식 음식점업,중국,알수없음,25,28,724400
201805,스포츠 및 레크레이션 용품 임대업,내국인,남성,5514,6134,415776350
201805,스포츠 및 레크레이션 용품 임대업,내국인,알수없음,20,22,2215600
201805,스포츠 및 레크레이션 용품 임대업,내국인,여성,3265,3689,273078750
201805,스포츠 및 레크레이션 용품 임대업,중국,알수없음,156,192,22742700
201805,일식 음식점업,내국인,남성,10902,11081,884646894
201805,일식 음식점업,내국인,알수없음,19,21,1383400
201805,일식 음식점업,내국인,여성,8019,8153,584525080
201805,일식 음식점업,중국,알수없음,2,2,167000
201805,중식 음식점업,내국인,남성,7460,7634,209778100
201805,중식 음식점업,내국인,알수없음,23,24,714740
201805,중식 음식점업,내국인,여성,3740,3810,109034650
201805,중식 음식점업,중국,알수없음,2,2,51000
201805,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,남성,19570,20992,244488295
201805,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,알수없음,58,65,729500
201805,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,여성,15372,16499,186085920
201805,한식 음식점업,내국인,남성,172584,180318,7647936177
201805,한식 음식점업,내국인,알수없음,292,310,13077200
201805,한식 음식점업,내국인,여성,122943,128376,5090800672
201805,한식 음식점업,중국,알수없음,678,696,20185950
201806,관광 민예품 및 선물용품 소매업,내국인,남성,10442,11349,365253830
201806,관광 민예품 및 선물용품 소매업,내국인,알수없음,11,13,989000
201806,관광 민예품 및 선물용품 소매업,내국인,여성,12565,13773,425184540
201806,관광 민예품 및 선물용품 소매업,중국,알수없음,17,17,4728500
201806,그외 기타 분류안된 오락관련 서비스업,내국인,남성,48,51,2932000
201806,그외 기타 분류안된 오락관련 서비스업,내국인,여성,33,36,1986600
201806,기타 수상오락 서비스업,내국인,남성,20,20,2575000
201806,기타 수상오락 서비스업,내국인,여성,13,13,1075100
201806,기타 외국식 음식점업,내국인,남성,3052,3148,99800150
201806,기타 외국식 음식점업,내국인,알수없음,9,9,402200
201806,기타 외국식 음식점업,내국인,여성,1848,1890,60691596
201806,비알콜 음료점업,내국인,남성,25016,26743,272273682
201806,비알콜 음료점업,내국인,알수없음,67,68,487800
201806,비알콜 음료점업,내국인,여성,27095,28931,297195702
201806,빵 및 과자류 소매업,내국인,남성,17090,18338,258583760
201806,빵 및 과자류 소매업,내국인,알수없음,64,73,817550
201806,빵 및 과자류 소매업,내국인,여성,20404,21970,302331604
201806,빵 및 과자류 소매업,중국,알수없음,13,13,112000
201806,서양식 음식점업,내국인,남성,34865,38205,850148237
201806,서양식 음식점업,내국인,알수없음,65,70,2657500
201806,서양식 음식점업,내국인,여성,43115,47343,945439576
201806,서양식 음식점업,중국,알수없음,33,37,1018100
201806,스포츠 및 레크레이션 용품 임대업,내국인,남성,5974,6697,383481744
201806,스포츠 및 레크레이션 용품 임대업,내국인,알수없음,24,28,1416300
201806,스포츠 및 레크레이션 용품 임대업,내국인,여성,3293,3784,233535160
201806,스포츠 및 레크레이션 용품 임대업,중국,알수없음,54,63,10202400
