기준연월,소비금액(시도),소비금액(시군구)
202201,9.6497105243E10,0.0
202202,8.7360657645E10,0.0
202203,8.4474402012E10,0.0
202204,1.11394713497E11,0.0
202205,1.22981101939E11,0.0
202206,1.19589817024E11,0.0
202207,1.14261166028E11,0.0
202208,1.24756958828E11,0.0
202209,8.8724462146E10,0.0
202210,1.13085426247E11,0.0
202211,9.3434948916E10,0.0
202212,8.1978015077E10,0.0
