사업장명,업종구분대분류,업종구분소분류,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,지번주소,도로명주소,도로명우편번호,부대시설내역,데이터갱신일자
(주)가락국제여행사,관광사업자,여행업,20150619,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 서귀동 163 - 11,"제주특별자치도 서귀포시 태평로 438, 1층 (서귀동,남양리조텔)",,,2019-06-15 02:21:11
(주)해여여행사,관광사업자,여행업,20150624,,영업/정상,,,,,0.0,제주특별자치도 제주시 용담이동 357 - 29,"제주특별자치도 제주시 흥운길 8, 4층 (용담이동)",,,2019-06-15 02:21:11
글로벌투어(주),관광사업자,여행업,20150708,,영업/정상,,,,,0.0,제주특별자치도 제주시 이호일동 455 - 8,제주특별자치도 제주시 서해안로 22-10 (이호일동),,,2019-06-15 02:21:11
(주)유로해외여행,관광사업자,여행업,20150710,,영업/정상,,,,,0.0,제주특별자치도 제주시 노형동 906 - 1 1208호,"제주특별자치도 제주시 도령로 50, 1208호 (노형동,이화오피스텔)",,,2019-06-15 02:21:11
로얄투어,관광사업자,여행업,20150717,,영업/정상,,,,,0.0,제주특별자치도 제주시 노형동 906 - 5 411호,"제주특별자치도 제주시 도령로 54, 411호 (노형동,한신코아오피스텔)",,,2019-06-15 02:21:11
(주)리멤버제주,관광사업자,여행업,20150721,,영업/정상,,,,,0.0,제주특별자치도 제주시 이도이동 1987 - 1 201호,"제주특별자치도 제주시 구남동1길 2, 201호 (이도이동,태흥오피스텔)",,,2019-06-15 02:21:11
(주)헤쎄드커뮤니케이션즈,관광사업자,여행업,20150722,,영업/정상,,,,,0.0,제주특별자치도 제주시 연동 291 - 40,"제주특별자치도 제주시 삼무로 77, 2층 (연동)",,,2019-06-15 02:21:11
(주)중신국제여행사,관광사업자,여행업,20150723,,영업/정상,,,,,0.0,제주특별자치도 제주시 노형동 3792 - 6,"제주특별자치도 제주시 신형로 27, 3층 (노형동)",,,2019-06-15 02:21:11
마제스타투어,관광사업자,여행업,20150723,,영업/정상,,,,,0.0,제주특별자치도 제주시 노형동 3792 - 8,"제주특별자치도 제주시 신형로 23, 4층 (노형동,우주빌딩)",,,2019-06-15 02:21:11
뉴아일랜드관광호텔(주),관광사업자,관광숙박업,19920715,,영업/정상,,,,,0.0,제주특별자치도 제주시 연동 263 - 12,"제주특별자치도 제주시 연동6길 17 (연동,외)",,,2019-06-15 02:21:11
(주)삼광개발제주오리엔탈호텔,관광사업자,관광숙박업,19880813,,영업/정상,,,,,0.0,제주특별자치도 제주시 삼도이동 1197,제주특별자치도 제주시 탑동로 47 (삼도이동),,,2019-06-15 02:21:11
오라관광(주) 제주그랜드호텔,관광사업자,관광숙박업,19810709,,영업/정상,,,,,24745.0,제주특별자치도 제주시 연동 263 - 15,제주특별자치도 제주시 노연로 80 (연동),,,2019-06-15 02:21:11
라마다프라자제주호텔,관광사업자,관광숙박업,20030617,,영업/정상,,,,,0.0,제주특별자치도 제주시 삼도이동 1255,제주특별자치도 제주시 탑동로 66 (삼도이동),,,2019-06-15 02:21:11
엘스위트 휴양콘도미니엄,관광사업자,관광숙박업,20041112,,영업/정상,,,,,0.0,제주특별자치도 제주시 애월읍 어음리 산 19 - 2,,,,2019-06-15 02:21:11
대명리조트 제주,관광사업자,관광숙박업,20070901,,영업/정상,,,,,0.0,제주특별자치도 제주시 조천읍 함덕리 274,제주특별자치도 제주시 조천읍 신북로 577,,,2019-06-15 02:21:11
제이투(J2),관광사업자,관광숙박업,20140103,,영업/정상,,,,,1762.18,제주특별자치도 제주시 연동 271 - 23,제주특별자치도 제주시 삼무로3길 37 (연동),,,2019-06-15 02:21:11
베이힐 풀 앤 빌라(BAYHILL POOL & VILLA,관광사업자,관광숙박업,20140103,,영업/정상,,,,,4854.02,제주특별자치도 서귀포시 하예동 1888,제주특별자치도 서귀포시 예래로 424 (하예동),,"일반음식점(188.29), 매점(15.33), 갤러리(전시실 71.30), 야외수영장(229.57)",2019-06-15 02:21:11
엠버호텔,관광사업자,관광숙박업,20140106,,영업/정상,,,,,4995.24,제주특별자치도 제주시 연동 251 - 1,제주특별자치도 제주시 삼무로 12 (연동),,일반음식점(지하1층 402.20),2019-06-15 02:21:11
돈내코힐 리조트,관광사업자,관광숙박업,20140110,,영업/정상,,,,,1123.95,제주특별자치도 서귀포시 상효동 2205,제주특별자치도 서귀포시 돈내코로 180 (상효동),,바베큐장,2019-06-15 02:21:11
제주 휴리조트1,관광사업자,관광숙박업,20140113,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 성산읍 온평리 1832 - 1,제주특별자치도 서귀포시 성산읍 난고로 228,,,2019-06-15 02:21:11
제주 휴리조트 2,관광사업자,관광숙박업,20140113,,영업/정상,,,,,1003.19,제주특별자치도 서귀포시 성산읍 온평리 1832 - 5,제주특별자치도 서귀포시 성산읍 난고로 230,,,2019-06-15 02:21:11
제이앤클로이,관광사업자,관광숙박업,20140113,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 대정읍 무릉리 3869 - 4,제주특별자치도 서귀포시 대정읍 무릉중앙로 203,,,2019-06-15 02:21:11
해 호텔,관광사업자,관광숙박업,20140115,,영업/정상,,,,,1230.74,제주특별자치도 제주시 용담삼동 1161,제주특별자치도 제주시 서해안로 526 (용담삼동),,일반음식점,2019-06-15 02:21:11
샹그릴라호텔,관광사업자,관광숙박업,20140117,,영업/정상,,,,,8355.29,제주특별자치도 제주시 해안동 2101 - 3,제주특별자치도 제주시 해안마을북길 14-4 (해안동),,,2019-06-15 02:21:11
