사업장명,업종구분대분류,업종구분소분류,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,지번주소,도로명주소,도로명우편번호,부대시설내역,데이터갱신일자
국제문화스포츠교육원 제주힐링캠프,관광사업자,관광객이용시설업,20121106,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 성산읍 신산리 953,제주특별자치도 서귀포시 성산읍 독자봉로51번길 27,,"차량10면, 공동취사장, 공중화장실, 공중샤워장 등",2019-06-15 02:21:11
이레상사,관광사업자,관광객이용시설업,20121109,,영업/정상,,,,,817.0,제주특별자치도 서귀포시 법환동 914,제주특별자치도 서귀포시 월드컵로 33 (법환동),,,2019-06-15 02:21:11
정관장제주조현 대리점,관광사업자,관광객이용시설업,20121123,,영업/정상,,,,,475.31,제주특별자치도 제주시 이도이동 1927 - 3,제주특별자치도 제주시 도남로 142 (이도이동),,,2019-06-15 02:21:11
(주)제주미자듀티프리,관광사업자,관광객이용시설업,20121220,,영업/정상,,,,,292.72,제주특별자치도 제주시 오라이동 779 - 1,제주특별자치도 제주시 아연로 157 (오라이동),,,2019-06-15 02:21:11
유진글로벌(주),관광사업자,관광객이용시설업,20121231,,영업/정상,,,,,328.07,제주특별자치도 제주시 오라삼동 2140 - 3,제주특별자치도 제주시 연삼로 145 (오라삼동),,,2019-06-15 02:21:11
석부작박물관,관광사업자,관광객이용시설업,20130318,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 호근동 569 - 2,제주특별자치도 서귀포시 일주동로 8941 (호근동),,,2019-06-15 02:21:11
현대 JK,관광사업자,관광객이용시설업,20130322,,영업/정상,,,,,309.17,제주특별자치도 제주시 용담일동 163 - 9,제주특별자치도 제주시 서문로4길 23 (용담일동),,,2019-06-15 02:21:11
뉴대장금,관광사업자,관광객이용시설업,20130322,,영업/정상,,,,,224.0,제주특별자치도 서귀포시 표선면 성읍리 1430 외1필지,제주특별자치도 서귀포시 표선면 중산간동로 4708-7,,,2019-06-15 02:21:11
주식회사 마린파크,관광사업자,관광객이용시설업,20130409,,영업/정상,,,,,3980.56,제주특별자치도 서귀포시 안덕면 화순리 823,제주특별자치도 서귀포시 안덕면 화순중앙로 132,,"공용화장실, 휴게시설",2019-06-15 02:21:11
나비공원 프시케월드 신한관광개발(주),관광사업자,관광객이용시설업,20071116,,영업/정상,,,,,0.0,제주특별자치도 제주시 애월읍 소길리 155 - 101,제주특별자치도 제주시 애월읍 평화로 2157,,,2019-06-15 02:21:11
한국보간보,관광사업자,관광객이용시설업,20130516,,영업/정상,,,,,493.02,제주특별자치도 제주시 도남동 693 - 2,제주특별자치도 제주시 복지로5길 6 (도남동),,,2019-06-15 02:21:11
주식회사 제주참앤참,관광사업자,관광객이용시설업,20130531,,영업/정상,,,,,0.0,제주특별자치도 제주시 용담이동 2621 - 10,제주특별자치도 제주시 한천로 29 (용담이동),,,2019-06-15 02:21:11
서아통상(주 )제주지점,관광사업자,관광객이용시설업,20130626,,영업/정상,,,,,66.0,제주특별자치도 제주시 연동 1407 - 2,제주특별자치도 제주시 과원로 68 (연동),,,2019-06-15 02:21:11
한라산 동충하초 1관 2관,관광사업자,관광객이용시설업,20130703,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 표선면 성읍리 483 - 15,제주특별자치도 서귀포시 표선면 서성일로 46,,,2019-06-15 02:21:11
(주)제주국제컨벤션센터,관광사업자,국제회의업,20061110,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 중문동 2700,제주특별자치도 서귀포시 중문관광로 224 (중문동),,,2019-06-15 02:21:11
(주)피앤피,관광사업자,국제회의업,20110919,,영업/정상,,,,,0.0,제주특별자치도 제주시 용담일동 232 - 4,제주특별자치도 제주시 용담로 134 (용담일동),,,2019-06-15 02:21:11
(주)윈플러스윈,관광사업자,국제회의업,20110927,,영업/정상,,,,,0.0,제주특별자치도 제주시 외도이동 319 - 1,제주특별자치도 제주시 월대1길 10 (외도이동),,,2019-06-15 02:21:11
(주)이색 투어,관광사업자,국제회의업,20111004,,영업/정상,,,,,0.0,제주특별자치도 제주시 이도이동 1049 - 7,제주특별자치도 제주시 오복5길 5 (이도이동),,,2019-06-15 02:21:11
(주)세하라인,관광사업자,관광객이용시설업,20080902,,영업/정상,,,,,,제주특별자치도 제주시 도남동 914 - 1,제주특별자치도 제주시 서광로 268 (도남동),,,2019-06-15 02:21:11
(주)세하라인,관광사업자,관광객이용시설업,20080905,,영업/정상,,,,,,제주특별자치도 제주시 도남동 914 - 1,제주특별자치도 제주시 서광로 268 (도남동),,,2019-06-15 02:21:11
부국개발주식회사 여미지식물원,관광사업자,관광객이용시설업,19891012,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 색달동 2482 - 1,,,,2019-06-15 02:21:11
진왕고려진주초,관광사업자,관광객이용시설업,20081028,,영업/정상,,,,,0.0,제주특별자치도 제주시 노형동 293 - 5,제주특별자치도 제주시 1100로 2935 (노형동),,,2019-06-15 02:21:11
진왕고려진주초,관광사업자,관광객이용시설업,20081028,,영업/정상,,,,,0.0,제주특별자치도 제주시 도남동 1725 - 5,,,,2019-06-15 02:21:11
주)이랜드레저비스 켄싱턴리조트제주,관광사업자,관광숙박업,19980703,,영업/정상,,,,,5990.53,제주특별자치도 제주시 한림읍 귀덕리 3861,제주특별자치도 제주시 한림읍 한림해안로 530,,"PC방, 마트, 연회실, 북카페, 휴게음식점 등",2019-06-15 02:21:11
(주)아모렉스리조트(가족호텔),관광사업자,관광숙박업,20111214,,영업/정상,,,,,3826.17,제주특별자치도 제주시 도두일동 1742,제주특별자치도 제주시 서해안로 216 (도두일동),,"탁구장, 세미나실, 컴퓨터실 등",2019-06-15 02:21:11
아마스빌 호스텔,관광사업자,관광숙박업,20111214,,영업/정상,,,,,1725.12,제주특별자치도 제주시 애월읍 고내리 13 - 3,제주특별자치도 제주시 애월읍 신엄안3길 101,,,2019-06-15 02:21:11
제주팔레스호텔,관광사업자,관광숙박업,19861008,,영업/정상,,,,,4995.33,제주특별자치도 제주시 삼도이동 1192 - 18,제주특별자치도 제주시 탑동로 9 (삼도이동),,"일반음식점, 피부미용실",2019-06-15 02:21:11
제주하와이호텔,관광사업자,관광숙박업,19880506,,영업/정상,,,,,5049.81,제주특별자치도 제주시 연동 278 - 2,제주특별자치도 제주시 사장3길 32 (연동),,"일반음식점, 커피&#49686;, 토산품점, 미용실 등",2019-06-15 02:21:11
라온프라이빗타운,관광사업자,관광숙박업,20120109,,영업/정상,,,,,156619.13,제주특별자치도 제주시 한림읍 협재리 2838,제주특별자치도 제주시 한림읍 금능남로 127,,"아쿠아풀, 사우나, 실내수영장, 헬스장, 골프코스 9홀 및 골프연습장, 편의점 등",2019-06-15 02:21:11
호텔라온제주,관광사업자,관광숙박업,20120109,,영업/정상,,,,,12592.93,제주특별자치도 제주시 한림읍 협재리 2838,제주특별자치도 제주시 한림읍 금능남로 127,,"아쿠아풀, 사우나, 실내수영장, 헬스장, 골프코스 9홀 및 골프연습장, 편의점 등",2019-06-15 02:21:11
아덴힐리조트&골프클럽,관광사업자,관광숙박업,20111230,,영업/정상,,,,,72997.21,제주특별자치도 제주시 한림읍 금악리 6 - 1,제주특별자치도 제주시 한림읍 화전길 82,,"커뮤니티센터, 테니스장, 승마장, 수영장, 유흥주점 등",2019-06-15 02:21:11
송악리조트,관광사업자,관광숙박업,20080126,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 대정읍 상모리 78,제주특별자치도 서귀포시 대정읍 형제해안로 260,,,2019-06-15 02:21:11
(주)호텔롯데 롯데리조트제주,관광사업자,관광숙박업,20120323,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 색달동 산 26,,,"실외수영장, 편의점, 휘트니스센터 등",2019-06-15 02:21:11
파크사이드관광호텔,관광사업자,관광숙박업,20120518,,영업/정상,,,,,3828.5,제주특별자치도 제주시 연동 270 - 1,제주특별자치도 제주시 도령로 126 (연동),,"일반음식점, 커피숍, 유흥주점",2019-06-15 02:21:11
파인힐호텔,관광사업자,관광숙박업,20120524,,영업/정상,,,,,1950.51,제주특별자치도 서귀포시 서귀동 776 - 1,제주특별자치도 서귀포시 부두로 44 (서귀동),,커피숍,2019-06-15 02:21:11
스웨덴호스텔,관광사업자,관광숙박업,20120524,,영업/정상,,,,,1350.46,제주특별자치도 제주시 한림읍 협재리 12,제주특별자치도 제주시 한림읍 명재로 100-47,,"실외수영장, 노래연습장(1실)",2019-06-15 02:21:11
스프링데일 골프&리조트,관광사업자,관광숙박업,20120612,,영업/정상,,,,,2823.88,제주특별자치도 서귀포시 남원읍 위미리 산 43,제주특별자치도 서귀포시 남원읍 서성로 459,,,2019-06-15 02:21:11
올레요리조트,관광사업자,관광숙박업,20120614,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 강정동 2498 - 3,제주특별자치도 서귀포시 이어도로 720 (강정동),,"매점, 공동취사장",2019-06-15 02:21:11
와이리조트 제주,관광사업자,관광숙박업,20120627,,영업/정상,,,,,4849.94,제주특별자치도 서귀포시 안덕면 화순리 1888,제주특별자치도 서귀포시 안덕면 화순중앙로124번길 75,,,2019-06-15 02:21:11
코델리아리조트,관광사업자,관광숙박업,20120702,,영업/정상,,,,,2330.24,제주특별자치도 서귀포시 성산읍 오조리 941 - 1,제주특별자치도 서귀포시 성산읍 일주동로4120번길 23-20,,"어린이놀이방, 야외수영장(2개소), 일반음식점(261.84㎡),  족욕장, 소매점, 세미나실",2019-06-15 02:21:11
오션트리,관광사업자,관광숙박업,20120612,,영업/정상,,,,,1094.79,제주특별자치도 서귀포시 강정동 702 - 2,제주특별자치도 서귀포시 월드컵로 188 (강정동),,야외수영장,2019-06-15 02:21:11
해미안,관광사업자,관광숙박업,20120712,,영업/정상,,,,,4339.01,제주특별자치도 제주시 외도이동 338 - 1,제주특별자치도 제주시 일주서로 7353 (외도이동),,,2019-06-15 02:21:11
휴마루 호스텔,관광사업자,관광숙박업,20140702,,영업/정상,,,,,1231.44,제주특별자치도 서귀포시 서홍동 1777 - 3,제주특별자치도 서귀포시 중산간동로8183번길 16 (서홍동),,"휴게음식점, 연회장",2019-06-15 02:21:11
주)우리들여행,관광사업자,여행업,20110318,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 동홍동 1485 - 63,"제주특별자치도 서귀포시 중앙로 110-1, 2층 (동홍동)",,,2019-06-15 02:21:11
하오티엔주식회사,관광사업자,여행업,20110513,,영업/정상,,,,,0.0,제주특별자치도 제주시 오라삼동 2853 - 1,제주특별자치도 제주시 연미길 44 (오라삼동),,,2019-06-15 02:21:11
(주)화정국제여행사,관광사업자,여행업,20150914,,영업/정상,,,,,0.0,제주특별자치도 제주시 용담이동 946,"제주특별자치도 제주시 용담로서길 3, 3층 (용담이동)",,,2019-06-15 02:21:11
(주)쿠폰트리투어,관광사업자,여행업,20151001,,영업/정상,,,,,0.0,제주특별자치도 제주시 연동 300 - 1,"제주특별자치도 제주시 연삼로 38, 3층 (연동)",,,2019-06-15 02:21:11
(주)제주럭키코리아,관광사업자,여행업,20151001,,영업/정상,,,,,0.0,제주특별자치도 제주시 노형동 723,"제주특별자치도 제주시 원노형로 82, 3층 (노형동)",,,2019-06-15 02:21:11
퍼시픽랜드(주),관광사업자,여행업,20151006,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 색달동 2950 - 4,제주특별자치도 서귀포시 중문관광로 154-17 (색달동),,,2019-06-15 02:21:11
(주)그랜드투어,관광사업자,여행업,20110218,,영업/정상,,,,,0.0,제주특별자치도 제주시 삼도일동 560 - 1 302호,"제주특별자치도 제주시 서광로 186, 302호 (삼도일동,대주빌딩)",,,2019-06-15 02:21:11
(주)제주미니버스투어서비스,관광사업자,여행업,20151016,,영업/정상,,,,,0.0,제주특별자치도 제주시 용담이동 2745 - 2,제주특별자치도 제주시 월성로 18 (용담이동),,,2019-06-15 02:21:11
성림관광,관광사업자,여행업,20151019,,영업/정상,,,,,0.0,제주특별자치도 제주시 연동 253 - 13,"제주특별자치도 제주시 연동4길 6-3, 2층 (연동)",,,2019-06-15 02:21:11
스타월드(주),관광사업자,여행업,20151026,,영업/정상,,,,,0.0,제주특별자치도 제주시 노형동 905 - 3 1221호,"제주특별자치도 제주시 도령로 40, 1221호 (노형동,하와이오피스텔)",,,2019-06-15 02:21:11
홍양(주),관광사업자,여행업,20151027,,영업/정상,,,,,0.0,제주특별자치도 제주시 연동 2325 - 7 204호,"제주특별자치도 제주시 도령로 103, 204호 (연동,연동한일씨티파크)",,,2019-06-15 02:21:11
(주)응진국제,관광사업자,여행업,20151029,,영업/정상,,,,,0.0,제주특별자치도 제주시 연동 2526 - 9,"제주특별자치도 제주시 도령로 188, 2층층 (연동)",,,2019-06-15 02:21:11
인제주여행사,관광사업자,여행업,20151203,,영업/정상,,,,,0.0,제주특별자치도 제주시 연동 253 - 5 306호,"제주특별자치도 제주시 노연로 62, 306호 (연동,신성오피스텔)",,,2019-06-15 02:21:11
(주)마제스타,관광사업자,여행업,20151204,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 색달동 3039 - 3,제주특별자치도 서귀포시 중문관광로72번길 75 (색달동),,,2019-06-15 02:21:11
(주)태성토산,관광사업자,여행업,20151207,,영업/정상,,,,,0.0,제주특별자치도 제주시 아라일동 6118 - 5,제주특별자치도 제주시 인다8길 45 (아라일동),,,2019-06-15 02:21:11
(주)다다관광,관광사업자,여행업,20151208,,영업/정상,,,,,0.0,제주특별자치도 제주시 연동 314 - 108,"제주특별자치도 제주시 선덕로 18, 1층 (연동)",,,2019-06-15 02:21:11
(주)세계로투어,관광사업자,여행업,20151211,,영업/정상,,,,,0.0,제주특별자치도 제주시 해안동 855 - 6,"제주특별자치도 제주시 노형로 120-1, 2층 (해안동)",,,2019-06-15 02:21:11
양광국제무역투자문화복무(주),관광사업자,여행업,20151229,,영업/정상,,,,,0.0,제주특별자치도 제주시 노형동 3792 - 6,"제주특별자치도 제주시 신형로 27, 5층 (노형동)",,,2019-06-15 02:21:11
(주)청해,관광사업자,여행업,20151229,,영업/정상,,,,,0.0,제주특별자치도 제주시 삼도이동 1171 - 1,"제주특별자치도 제주시 탑동로13길 27, 2층 (삼도이동)",,,2019-06-15 02:21:11
(주)나라투어,관광사업자,여행업,20160511,,영업/정상,,,,,0.0,제주특별자치도 제주시 아라일동 6084 - 1 201호,"제주특별자치도 제주시 아란9길 23, 201호 (아라일동)",,,2019-06-15 02:21:11
엠오케이(주),관광사업자,여행업,20160512,,영업/정상,,,,,0.0,제주특별자치도 제주시 노형동 905 - 10 203호,"제주특별자치도 제주시 원노형5길 20, 203호 (노형동,송우수자인아파트)",,,2019-06-15 02:21:11
(주)탐라국여행사,관광사업자,여행업,20160512,,영업/정상,,,,,0.0,제주특별자치도 제주시 연동 290 - 45 B101호,"제주특별자치도 제주시 삼무로11길 10, B101호 (연동,뉴텍빌라)",,,2019-06-15 02:21:11
다인커뮤니케이션,관광사업자,국제회의업,20111024,,영업/정상,,,,,0.0,제주특별자치도 제주시 연동 272 - 33,제주특별자치도 제주시 신대로12길 51 (연동),,,2019-06-15 02:21:11
유한회사 제주의소리,관광사업자,국제회의업,20111031,,영업/정상,,,,,0.0,제주특별자치도 제주시 연동 303 - 13,제주특별자치도 제주시 중앙로 217 (이도이동),,,2019-06-15 02:21:11
(주)예하,관광사업자,국제회의업,20111125,,영업/정상,,,,,0.0,제주특별자치도 제주시 연동 300 - 1,"제주특별자치도 제주시 원남6길 49, 106동 201호 (도남동)",,,2019-06-15 02:21:11
(주)제주여행문화,관광사업자,국제회의업,20111006,,영업/정상,,,,,0.0,제주특별자치도 제주시 연동 308 - 1,제주특별자치도 제주시 신대로 155 (연동),,,2019-06-15 02:21:11
(주)이디컴,관광사업자,국제회의업,20110103,,영업/정상,,,,,0.0,제주특별자치도 제주시 외도일동 440 - 9 (2),제주특별자치도 제주시 우령8길 27 (외도일동),,,2019-06-15 02:21:11
(주)디앤씨커뮤니티,관광사업자,국제회의업,20120508,,영업/정상,,,,,0.0,제주특별자치도 제주시 영평동 2235,제주특별자치도 제주시 동광로16길 13 (일도이동),,,2019-06-15 02:21:11
(주)하나투어제주,관광사업자,국제회의업,20120822,,영업/정상,,,,,0.0,제주특별자치도 제주시 노형동 920 - 6,제주특별자치도 제주시 1100로 3328 (노형동),,,2019-06-15 02:21:11
(주)이다,관광사업자,국제회의업,20121017,,영업/정상,,,,,0.0,제주특별자치도 제주시 이도이동 663 - 4,제주특별자치도 제주시 동고산로 47 (이도이동),,,2019-06-15 02:21:11
(주)뭉치,관광사업자,국제회의업,20140207,,영업/정상,,,,,0.0,제주특별자치도 제주시 삼도이동 16 - 7,"제주특별자치도 제주시 서광로 249, 5층 (삼도일동)",,,2019-06-15 02:21:11
주식회사 프라임커뮤니케이션,관광사업자,국제회의업,20140522,,영업/정상,,,,,0.0,제주특별자치도 제주시 도남동 651,제주특별자치도 제주시 복지로 80 (도남동),,,2019-06-15 02:21:11
제주문화방송 주식회사,관광사업자,국제회의업,20140807,,영업/정상,,,,,0.0,제주특별자치도 제주시 연동 35,제주특별자치도 제주시 문연로 35 (연동),,,2019-06-15 02:21:11
주식회사 미디어인,관광사업자,국제회의업,20140924,,영업/정상,,,,,43.0,제주특별자치도 제주시 도남동 81 - 7 다동 407호,"제주특별자치도 제주시 도남로13길 12, 다동 407호 (도남동,수선화아파트근린상가)",,,2019-06-15 02:21:11
(주)헤쎄드커뮤니케이션즈,관광사업자,국제회의업,20141118,,영업/정상,,,,,0.0,제주특별자치도 제주시 연동 291 - 40,제주특별자치도 제주시 삼무로 77 (연동),,,2019-06-15 02:21:11
후거스닷컴(HOOGUS),관광사업자,국제회의업,20150422,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 성산읍 고성리 1749 - 1,제주특별자치도 서귀포시 성산읍 일주동로 4420,,,2019-06-15 02:21:11
(주)이지기획,관광사업자,국제회의업,20150921,,영업/정상,,,,,0.0,제주특별자치도 제주시 노형동 906 - 5 313호,"제주특별자치도 제주시 도령로 54, 313호 (노형동)",,,2019-06-15 02:21:11
빈에듀투어(주),관광사업자,국제회의업,20160323,,영업/정상,,,,,0.0,제주특별자치도 제주시 도남동 698 - 5,"제주특별자치도 제주시 복지로북길 13, 4층 (도남동)",,,2019-06-15 02:21:11
(주)아일랜드스토리,관광사업자,국제회의업,20160531,,영업/정상,,,,,0.0,제주특별자치도 제주시 연동 314 - 70,제주특별자치도 제주시 비월2길 17-1 (연동),,,2019-06-15 02:21:11
(주)마제스타 마제스타카지노,관광사업자,카지노업,19910731,,영업/정상,,20150331.0,20150401.0,,2886.89,제주특별자치도 서귀포시 색달동 3039 - 3,제주특별자치도 서귀포시 중문관광로72번길 75 (색달동),,,2019-06-15 02:21:11
H·Y PALACE 호텔,관광사업자,관광숙박업,20130314,,영업/정상,,,,,1473.8,제주특별자치도 서귀포시 서귀동 316 - 14,제주특별자치도 서귀포시 태평로335번길 11-1 (서귀동),,,2019-06-15 02:21:11
제주아이비호텔,관광사업자,관광숙박업,20130328,,영업/정상,,,,,2666.32,제주특별자치도 제주시 노형동 912 - 3,제주특별자치도 제주시 노연로 13 (노형동),,일반음식점(29.58),2019-06-15 02:21:11
(주)제주 유리의 성,관광사업자,관광객이용시설업,20081114,,영업/정상,,,,,0.0,제주특별자치도 제주시 한경면 저지리 산 39 - 3,,,,2019-06-15 02:21:11
(주)제주유리의성,관광사업자,관광객이용시설업,20081114,,영업/정상,,,,,0.0,제주특별자치도 제주시 한경면 저지리 3135 - 1,제주특별자치도 제주시 한경면 녹차분재로 462,,,2019-06-15 02:21:11
(주)제주유리의성,관광사업자,관광객이용시설업,20081121,,영업/정상,,,,,0.0,제주특별자치도 제주시 한경면 저지리 산 39 - 3,,,,2019-06-15 02:21:11
제주아트랜드,관광사업자,관광객이용시설업,20090107,,영업/정상,,,,,0.0,제주특별자치도 제주시 구좌읍 송당리 2764 - 1,제주특별자치도 제주시 구좌읍 번영로 2172-80,,,2019-06-15 02:21:11
제주아트랜드,관광사업자,관광객이용시설업,20090116,,영업/정상,,,,,0.0,제주특별자치도 제주시 구좌읍 송당리 2764 - 1,제주특별자치도 제주시 구좌읍 번영로 2172-80,,,2019-06-15 02:21:11
(주)화영,관광사업자,관광객이용시설업,20090312,,영업/정상,,,,,0.0,제주특별자치도 제주시 애월읍 애월리 407 - 2,제주특별자치도 제주시 애월읍 애월해안로 101,,,2019-06-15 02:21:11
제주허브동산,관광사업자,관광객이용시설업,20090309,,영업/정상,,,,,31778.0,제주특별자치도 서귀포시 표선면 표선리 2608,제주특별자치도 서귀포시 표선면 돈오름로 170,,,2019-06-15 02:21:11
진선미듀티프리,관광사업자,관광객이용시설업,20090320,,영업/정상,,,,,323.0,제주특별자치도 제주시 도남동 573 - 1,제주특별자치도 제주시 청사로 13 (도남동),,,2019-06-15 02:21:11
제주허브동산,관광사업자,관광객이용시설업,20090323,,영업/정상,,,,,31778.0,제주특별자치도 서귀포시 표선면 표선리 2608,제주특별자치도 서귀포시 표선면 돈오름로 170,,,2019-06-15 02:21:11
제주허브동산,관광사업자,관광객이용시설업,20090323,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 표선면 표선리 2608,제주특별자치도 서귀포시 표선면 돈오름로 170,,,2019-06-15 02:21:11
제주민속촌,관광사업자,관광객이용시설업,20080710,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 표선면 표선리 40 - 1,제주특별자치도 서귀포시 표선면 민속해안로 631-34,,,2019-06-15 02:21:11
주식회사 제이플러스,관광사업자,관광객이용시설업,20090512,,영업/정상,,,,,488.0,제주특별자치도 제주시 노형동 710 - 3,제주특별자치도 제주시 연북로 25 (노형동),,,2019-06-15 02:21:11
제이플러스,관광사업자,관광객이용시설업,20090512,,영업/정상,,,,,488.0,제주특별자치도 제주시 노형동 710 - 3,제주특별자치도 제주시 연북로 25 (노형동),,,2019-06-15 02:21:11
제주마린리조트 영어조합법인,관광사업자,관광객이용시설업,20090810,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 성산읍 347 - 9,,,,2019-06-15 02:21:11
제주마린리조트 영어조합법인,관광사업자,관광객이용시설업,20090805,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 성산읍 347 - 9,,,,2019-06-15 02:21:11
(주)김녕요트투어,관광사업자,관광객이용시설업,20090927,,영업/정상,,,,,0.0,제주특별자치도 제주시 구좌읍 김녕리 4212 - 2,"제주특별자치도 제주시 구좌읍 구좌해안로 229-16, 2층",,,2019-06-15 02:21:11
(주)김녕요트투어,관광사업자,관광객이용시설업,20090925,,영업/정상,,,,,0.0,제주특별자치도 제주시 구좌읍 김녕리 4212 - 1,제주특별자치도 제주시 구좌읍 구좌해안로 229-16,,,2019-06-15 02:21:11
제주관광공영장,관광사업자,관광객이용시설업,20091113,,영업/정상,,,,,1267.87,제주특별자치도 제주시 연동 281 - 20,제주특별자치도 제주시 삼무로 51 (연동),,,2019-06-15 02:21:11
(주)명품제주점,관광사업자,관광객이용시설업,19931109,,영업/정상,,,,,0.0,제주특별자치도 제주시 연동 512 - 3,제주특별자치도 제주시 아연로 26 (연동),,,2019-06-15 02:21:11
주)덕흥(인타임코스메틱),관광사업자,관광객이용시설업,20141024,,영업/정상,,,,,679.0,제주특별자치도 제주시 연동 173,,,,2019-06-15 02:21:11
바다해호텔,관광사업자,관광숙박업,20140704,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 서귀동 753 - 3,제주특별자치도 서귀포시 천지연로 3-1 (서귀동),,문화정보교류장소,2019-06-15 02:21:11
마레보가족호텔,관광사업자,관광숙박업,20140707,,영업/정상,,,,,8441.75,제주특별자치도 제주시 애월읍 고내리 41,제주특별자치도 제주시 애월읍 신엄안3길 135,,"연회장,일반음식점,휴게음식점,야외수영장",2019-06-15 02:21:11
봄그리고가을가족호텔,관광사업자,관광숙박업,20140707,,영업/정상,,,,,4488.39,제주특별자치도 서귀포시 성산읍 시흥리 205,제주특별자치도 서귀포시 성산읍 해맞이해안로 2652,,"일반음식점, 야외수영장",2019-06-15 02:21:11
루체빌리조트,관광사업자,관광숙박업,20140717,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 안덕면 상천리 산 77 - 2,제주특별자치도 서귀포시 안덕면 산록남로 786,,"매점,강당,세미나실,일반음식점",2019-06-15 02:21:11
씨앤관광호텔,관광사업자,관광숙박업,20140723,,영업/정상,,,,,2704.55,제주특별자치도 제주시 내도동 15 - 1,제주특별자치도 제주시 일주서로 7490 (내도동),,"일반음식점,세미나실",2019-06-15 02:21:11
윈드힐펜션,관광사업자,관광숙박업,20140723,,영업/정상,,,,,1054.89,제주특별자치도 서귀포시 대포동 1813,제주특별자치도 서귀포시 대포연대로 50 (대포동),,문화정보교류장소,2019-06-15 02:21:11
수앤수호텔,관광사업자,관광숙박업,20140808,,영업/정상,,,,,3124.27,제주특별자치도 제주시 애월읍 신엄리 2946 - 4,제주특별자치도 제주시 애월읍 부룡수길 60,,"일반음식점,매점",2019-06-15 02:21:11
씨엘블루호텔,관광사업자,관광숙박업,20140818,,영업/정상,,,,,0.0,제주특별자치도 제주시 용담삼동 2555,제주특별자치도 제주시 서해안로 368-3 (용담삼동),,,2019-06-15 02:21:11
그라벨 호텔 제주,관광사업자,관광숙박업,20140822,,영업/정상,,,,,8245.3,제주특별자치도 제주시 외도일동 401 - 8,제주특별자치도 제주시 일주서로 7316 (외도일동),,"레스토랑& 카페, 연회장",2019-06-15 02:21:11
루스톤호텔앤빌라,관광사업자,관광숙박업,20140823,,영업/정상,,,,,2951.21,제주특별자치도 제주시 애월읍 고내리 77,제주특별자치도 제주시 애월읍 애월해안로 406,,휴게실,2019-06-15 02:21:11
H 호텔,관광사업자,관광숙박업,20140905,,영업/정상,,,,,5205.02,제주특별자치도 제주시 연동 261 - 25,제주특별자치도 제주시 삼무로 261-25 (연동),,,2019-06-15 02:21:11
토스카나호텔,관광사업자,관광숙박업,20140922,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 강정동 3700 - 4,제주특별자치도 서귀포시 용흥로66번길 158-7 (강정동),,"커피숍,매점,BAR,야외수영장",2019-06-15 02:21:11
성산아쿠아비치호텔,관광사업자,관광숙박업,20140922,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 성산읍 고성리 1090 - 16,제주특별자치도 서귀포시 성산읍 일주동로 4258,,"커피숍,일반음식점",2019-06-15 02:21:11
아이진호텔,관광사업자,관광숙박업,20141006,,영업/정상,,,,,3342.94,제주특별자치도 제주시 연동 306 - 14,,,레스토랑,2019-06-15 02:21:11
아스타호텔,관광사업자,관광숙박업,20141007,,영업/정상,,,,,9585.98,제주특별자치도 제주시 삼도일동 535 - 9,,,"연회장, 세미나실 등",2019-06-15 02:21:11
비스타리조트(호스텔),관광사업자,관광숙박업,20141008,,영업/정상,,,,,376.25,제주특별자치도 제주시 이호일동 363,,,,2019-06-15 02:21:11
제주녹지리조트2,관광사업자,관광숙박업,20141022,,영업/정상,,,,,41327.53,제주특별자치도 서귀포시 동홍동 2051,,,"매점,헬스장,수영장,커뮤니티센터",2019-06-15 02:21:11
풍경호텔,관광사업자,관광숙박업,20141030,,영업/정상,,,,,2796.34,제주특별자치도 서귀포시 서홍동 586,제주특별자치도 서귀포시 남성중로 147 (서홍동),,레스토랑,2019-06-15 02:21:11
제주M리조트,관광사업자,관광숙박업,20141118,,영업/정상,,,,,1944.52,제주특별자치도 서귀포시 강정동 1938,제주특별자치도 서귀포시 중산간서로157번길 28-6 (강정동),,"레스토랑,세미나실",2019-06-15 02:21:11
펜션마루,관광사업자,관광숙박업,20141124,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 하예동 463 - 4,제주특별자치도 서귀포시 논짓물로 50 (하예동),,문화정보교류장소,2019-06-15 02:21:11
