년월,시도명,읍면동명,업종명,성별,이용자수,이용금액,거주인구,방문인구,국적,외국인유동인구수,내국인개별여행객
2018-02,서귀포시,중문동,,,,,,,중국 외,4964.35,731347
2018-02,서귀포시,중앙동,,,,,,,중국,6230.32,731347
2018-02,서귀포시,중앙동,,,,,,,중국 외,4777.74,731347
2018-02,서귀포시,천지동,,,,,,,중국,13291.98,731347
2018-02,서귀포시,천지동,,,,,,,중국 외,5392.18,731347
2018-02,제주시,추자면,,,,,,,중국,12899.21,731347
2018-02,제주시,추자면,,,,,,,중국 외,1596.96,731347
2018-02,서귀포시,표선면,,,,,,,중국,14836.11,731347
2018-02,서귀포시,표선면,,,,,,,중국 외,19087.41,731347
2018-02,제주시,한경면,,,,,,,중국,6364.84,731347
2018-02,제주시,한경면,,,,,,,중국 외,1055.43,731347
2018-02,제주시,한림읍,,,,,,,중국,41422.72,731347
2018-02,제주시,한림읍,,,,,,,중국 외,9824.71,731347
2018-02,제주시,화북동,,,,,,,중국,1697.5,731347
2018-02,제주시,화북동,,,,,,,중국 외,1648.54,731347
2018-02,서귀포시,효돈동,,,,,,,중국,2332.35,731347
2018-02,서귀포시,효돈동,,,,,,,중국 외,669.14,731347
2018-03,제주시,건입동,,,,,,,중국,41096.76,833785
2018-03,제주시,건입동,,,,,,,중국 외,36531.07,833785
2018-03,제주시,구좌읍,,,,,,,중국,49086.9,833785
2018-03,제주시,구좌읍,,,,,,,중국 외,20786.37,833785
2018-03,서귀포시,남원읍,,,,,,,중국,96890.34,833785
2018-03,서귀포시,남원읍,,,,,,,중국 외,27311.47,833785
2018-03,제주시,노형동,,,,,,,중국,235066.63,833785
2018-03,제주시,노형동,,,,,,,중국 외,44393.950000000004,833785
2018-03,서귀포시,대륜동,,,,,,,중국,31652.579999999998,833785
2018-03,서귀포시,대륜동,,,,,,,중국 외,16931.11,833785
2018-03,서귀포시,대정읍,,,,,,,중국,47439.9,833785
2018-03,서귀포시,대정읍,,,,,,,중국 외,19057.63,833785
2018-03,서귀포시,대천동,,,,,,,중국,20045.76,833785
2018-03,서귀포시,대천동,,,,,,,중국 외,8466.46,833785
2018-03,제주시,도두동,,,,,,,중국,74489.08,833785
2018-03,제주시,도두동,,,,,,,중국 외,33350.69,833785
2018-03,서귀포시,동홍동,,,,,,,중국,16147.15,833785
2018-03,서귀포시,동홍동,,,,,,,중국 외,5719.24,833785
2018-03,제주시,봉개동,,,,,,,중국,12682.55,833785
2018-03,제주시,봉개동,,,,,,,중국 외,6008.07,833785
2018-03,제주시,삼도1동,,,,,,,중국,7036.79,833785
2018-03,제주시,삼도1동,,,,,,,중국 외,7659.95,833785
2018-03,제주시,삼도2동,,,,,,,중국,61758.31,833785
2018-03,제주시,삼도2동,,,,,,,중국 외,47047.71,833785
2018-03,제주시,삼양동,,,,,,,중국,5794.13,833785
2018-03,제주시,삼양동,,,,,,,중국 외,1295.57,833785
2018-03,서귀포시,서홍동,,,,,,,중국,122166.4,833785
2018-03,서귀포시,서홍동,,,,,,,중국 외,14393.86,833785
2018-03,서귀포시,성산읍,,,,,,,중국,105945.07,833785
2018-03,서귀포시,성산읍,,,,,,,중국 외,48831.04,833785
2018-03,서귀포시,송산동,,,,,,,중국,4210.19,833785
2018-03,서귀포시,송산동,,,,,,,중국 외,3973.46,833785
2018-03,제주시,아라동,,,,,,,중국,36330.16,833785
2018-03,제주시,아라동,,,,,,,중국 외,15334.94,833785
2018-03,서귀포시,안덕면,,,,,,,중국,266678.41,833785
2018-03,서귀포시,안덕면,,,,,,,중국 외,41616.34,833785
2018-03,제주시,애월읍,,,,,,,중국,131517.87,833785
2018-03,제주시,애월읍,,,,,,,중국 외,53764.85,833785
2018-03,제주시,연동,,,,,,,중국,951313.25,833785
2018-03,제주시,연동,,,,,,,중국 외,144597.32,833785
2018-03,서귀포시,영천동,,,,,,,중국,6498.93,833785
2018-03,서귀포시,영천동,,,,,,,중국 외,2828.75,833785
2018-03,서귀포시,예래동,,,,,,,중국,83406.57,833785
2018-03,서귀포시,예래동,,,,,,,중국 외,49336.83,833785
2018-03,제주시,오라동,,,,,,,중국,24994.14,833785
2018-03,제주시,오라동,,,,,,,중국 외,7718.58,833785
2018-03,제주시,외도동,,,,,,,중국,4421.64,833785
2018-03,제주시,외도동,,,,,,,중국 외,17985.13,833785
2018-03,제주시,용담1동,,,,,,,중국,8019.78,833785
2018-03,제주시,용담1동,,,,,,,중국 외,3315.5,833785
2018-03,제주시,용담2동,,,,,,,중국,469328.34,833785
2018-03,제주시,용담2동,,,,,,,중국 외,215576.16999999998,833785
2018-03,제주시,우도면,,,,,,,중국,9637.09,833785
2018-03,제주시,우도면,,,,,,,중국 외,2063.79,833785
2018-03,제주시,이도1동,,,,,,,중국,20127.38,833785
2018-03,제주시,이도1동,,,,,,,중국 외,8968.81,833785
2018-03,제주시,이도2동,,,,,,,중국,48278.22,833785
2018-03,제주시,이도2동,,,,,,,중국 외,20754.59,833785
2018-03,제주시,이호동,,,,,,,중국,6565.7,833785
2018-03,제주시,이호동,,,,,,,중국 외,51224.77,833785
2018-03,제주시,일도1동,,,,,,,중국,9314.39,833785
2018-03,제주시,일도1동,,,,,,,중국 외,6016.1,833785
2018-03,제주시,일도2동,,,,,,,중국,13242.689999999999,833785
2018-03,제주시,일도2동,,,,,,,중국 외,8861.41,833785
2018-03,서귀포시,정방동,,,,,,,중국,20780.24,833785
2018-03,서귀포시,정방동,,,,,,,중국 외,18450.74,833785
2018-03,제주시,조천읍,,,,,,,중국,33251.33,833785
2018-03,제주시,조천읍,,,,,,,중국 외,21544.81,833785
2018-03,서귀포시,중문동,,,,,,,중국,39101.12,833785
2018-03,서귀포시,중문동,,,,,,,중국 외,17448.23,833785
2018-03,서귀포시,중앙동,,,,,,,중국,8183.01,833785
2018-03,서귀포시,중앙동,,,,,,,중국 외,7956.58,833785
2018-03,서귀포시,천지동,,,,,,,중국,8157.04,833785
2018-03,서귀포시,천지동,,,,,,,중국 외,10937.08,833785
2018-03,제주시,추자면,,,,,,,중국,12226.29,833785
2018-03,제주시,추자면,,,,,,,중국 외,4651.02,833785
2018-03,서귀포시,표선면,,,,,,,중국,26581.79,833785
2018-03,서귀포시,표선면,,,,,,,중국 외,32330.879999999997,833785
2018-03,제주시,한경면,,,,,,,중국,19975.28,833785
2018-03,제주시,한경면,,,,,,,중국 외,5158.36,833785
2018-03,제주시,한림읍,,,,,,,중국,66202.22,833785
2018-03,제주시,한림읍,,,,,,,중국 외,14640.7,833785
2018-03,제주시,화북동,,,,,,,중국,9800.33,833785
2018-03,제주시,화북동,,,,,,,중국 외,2102.63,833785
2018-03,서귀포시,효돈동,,,,,,,중국,1498.6100000000001,833785
2018-03,서귀포시,효돈동,,,,,,,중국 외,1431.32,833785
2018-04,제주시,건입동,,,,,,,중국,55340.68,716499
2018-04,제주시,건입동,,,,,,,중국 외,52691.04,716499
2018-04,제주시,구좌읍,,,,,,,중국,40342.45,716499
2018-04,제주시,구좌읍,,,,,,,중국 외,24511.31,716499
2018-04,서귀포시,남원읍,,,,,,,중국,125965.71,716499
2018-04,서귀포시,남원읍,,,,,,,중국 외,21339.16,716499
2018-04,제주시,노형동,,,,,,,중국,173635.42,716499
2018-04,제주시,노형동,,,,,,,중국 외,63141.88,716499
2018-04,서귀포시,대륜동,,,,,,,중국,31780.61,716499
2018-04,서귀포시,대륜동,,,,,,,중국 외,20700.86,716499
2018-04,서귀포시,대정읍,,,,,,,중국,54229.08,716499
2018-04,서귀포시,대정읍,,,,,,,중국 외,20334.03,716499
2018-04,서귀포시,대천동,,,,,,,중국,13254.27,716499
2018-04,서귀포시,대천동,,,,,,,중국 외,12857.25,716499
2018-04,제주시,도두동,,,,,,,중국,80085.18,716499
2018-04,제주시,도두동,,,,,,,중국 외,47952.909999999996,716499
2018-04,서귀포시,동홍동,,,,,,,중국,21552.58,716499
2018-04,서귀포시,동홍동,,,,,,,중국 외,9067.82,716499
2018-04,제주시,봉개동,,,,,,,중국,25241.33,716499
2018-04,제주시,봉개동,,,,,,,중국 외,8394.16,716499
2018-04,제주시,삼도1동,,,,,,,중국,8049.93,716499
2018-04,제주시,삼도1동,,,,,,,중국 외,8854.13,716499
2018-04,제주시,삼도2동,,,,,,,중국,68976.38,716499
2018-04,제주시,삼도2동,,,,,,,중국 외,55561.01,716499
2018-04,제주시,삼양동,,,,,,,중국,5809.1,716499
2018-04,제주시,삼양동,,,,,,,중국 외,5310.68,716499
2018-04,서귀포시,서홍동,,,,,,,중국,74333.8,716499
2018-04,서귀포시,서홍동,,,,,,,중국 외,6153.91,716499
2018-04,서귀포시,성산읍,,,,,,,중국,94782.29000000001,716499
2018-04,서귀포시,성산읍,,,,,,,중국 외,68709.56999999999,716499
2018-04,서귀포시,송산동,,,,,,,중국,5033.71,716499
2018-04,서귀포시,송산동,,,,,,,중국 외,8647.74,716499
2018-04,제주시,아라동,,,,,,,중국,22057.0,716499
2018-04,제주시,아라동,,,,,,,중국 외,11183.38,716499
2018-04,서귀포시,안덕면,,,,,,,중국,167065.97,716499
2018-04,서귀포시,안덕면,,,,,,,중국 외,44439.71,716499
2018-04,제주시,애월읍,,,,,,,중국,153585.87,716499
2018-04,제주시,애월읍,,,,,,,중국 외,47366.07,716499
2018-04,제주시,연동,,,,,,,중국,861602.51,716499
2018-04,제주시,연동,,,,,,,중국 외,180893.65,716499
2018-04,서귀포시,영천동,,,,,,,중국,7425.1,716499
2018-04,서귀포시,영천동,,,,,,,중국 외,12162.21,716499
2018-04,서귀포시,예래동,,,,,,,중국,119860.5,716499
2018-04,서귀포시,예래동,,,,,,,중국 외,46826.520000000004,716499
2018-04,제주시,오라동,,,,,,,중국,19304.24,716499
2018-04,제주시,오라동,,,,,,,중국 외,14387.23,716499
2018-04,제주시,외도동,,,,,,,중국,4697.44,716499
2018-04,제주시,외도동,,,,,,,중국 외,31559.29,716499
2018-04,제주시,용담1동,,,,,,,중국,7698.62,716499
2018-04,제주시,용담1동,,,,,,,중국 외,4706.7699999999995,716499
2018-04,제주시,용담2동,,,,,,,중국,454017.56,716499
2018-04,제주시,용담2동,,,,,,,중국 외,258119.96,716499
2018-04,제주시,우도면,,,,,,,중국,22523.72,716499
2018-04,제주시,우도면,,,,,,,중국 외,2418.93,716499
2018-04,제주시,이도1동,,,,,,,중국,20149.91,716499
2018-04,제주시,이도1동,,,,,,,중국 외,10209.83,716499
2018-04,제주시,이도2동,,,,,,,중국,34091.72,716499
2018-04,제주시,이도2동,,,,,,,중국 외,28251.92,716499
2018-04,제주시,이호동,,,,,,,중국,9455.16,716499
2018-04,제주시,이호동,,,,,,,중국 외,37067.59,716499
2018-04,제주시,일도1동,,,,,,,중국,8218.05,716499
2018-04,제주시,일도1동,,,,,,,중국 외,7348.61,716499
2018-04,제주시,일도2동,,,,,,,중국,12403.6,716499
2018-04,제주시,일도2동,,,,,,,중국 외,6976.01,716499
2018-04,서귀포시,정방동,,,,,,,중국,31554.79,716499
2018-04,서귀포시,정방동,,,,,,,중국 외,23337.18,716499
2018-04,제주시,조천읍,,,,,,,중국,51441.21,716499
2018-04,제주시,조천읍,,,,,,,중국 외,39496.29,716499
2018-04,서귀포시,중문동,,,,,,,중국,24757.03,716499
2018-04,서귀포시,중문동,,,,,,,중국 외,15434.869999999999,716499
2018-04,서귀포시,중앙동,,,,,,,중국,8893.04,716499
2018-04,서귀포시,중앙동,,,,,,,중국 외,8469.1,716499
2018-04,서귀포시,천지동,,,,,,,중국,10586.86,716499
2018-04,서귀포시,천지동,,,,,,,중국 외,12263.43,716499
2018-04,제주시,추자면,,,,,,,중국,28664.05,716499
2018-04,제주시,추자면,,,,,,,중국 외,5319.62,716499
2018-04,서귀포시,표선면,,,,,,,중국,26498.49,716499
2018-04,서귀포시,표선면,,,,,,,중국 외,45347.76,716499
2018-04,제주시,한경면,,,,,,,중국,16988.15,716499
2018-04,제주시,한경면,,,,,,,중국 외,5276.1,716499
2018-04,제주시,한림읍,,,,,,,중국,66600.05,716499
2018-04,제주시,한림읍,,,,,,,중국 외,16784.62,716499
2018-04,제주시,화북동,,,,,,,중국,5061.32,716499
2018-04,제주시,화북동,,,,,,,중국 외,4394.54,716499
2018-04,서귀포시,효돈동,,,,,,,중국,2654.84,716499
2018-04,서귀포시,효돈동,,,,,,,중국 외,2698.36,716499
2018-05,제주시,건입동,,,,,,,중국,59274.33,815996
2018-05,제주시,건입동,,,,,,,중국 외,51065.54,815996
2018-05,제주시,구좌읍,,,,,,,중국,34992.12,815996
2018-05,제주시,구좌읍,,,,,,,중국 외,25095.39,815996
2018-05,서귀포시,남원읍,,,,,,,중국,148298.65,815996
2018-05,서귀포시,남원읍,,,,,,,중국 외,27721.5,815996
2018-05,제주시,노형동,,,,,,,중국,202145.96,815996
2018-05,제주시,노형동,,,,,,,중국 외,36839.46,815996
2018-05,서귀포시,대륜동,,,,,,,중국,29070.45,815996
2018-05,서귀포시,대륜동,,,,,,,중국 외,18812.2,815996
2018-05,서귀포시,대정읍,,,,,,,중국,36418.53,815996
2018-05,서귀포시,대정읍,,,,,,,중국 외,22733.56,815996
2018-05,서귀포시,대천동,,,,,,,중국,12205.93,815996
2018-05,서귀포시,대천동,,,,,,,중국 외,5198.56,815996
2018-05,제주시,도두동,,,,,,,중국,90325.85,815996
2018-05,제주시,도두동,,,,,,,중국 외,53472.2,815996
2018-05,서귀포시,동홍동,,,,,,,중국,16998.99,815996
2018-05,서귀포시,동홍동,,,,,,,중국 외,9586.67,815996
2018-05,제주시,봉개동,,,,,,,중국,37563.94,815996
2018-05,제주시,봉개동,,,,,,,중국 외,7953.41,815996
2018-05,제주시,삼도1동,,,,,,,중국,10011.14,815996
2018-05,제주시,삼도1동,,,,,,,중국 외,18539.26,815996
2018-05,제주시,삼도2동,,,,,,,중국,94232.8,815996
2018-05,제주시,삼도2동,,,,,,,중국 외,56485.21,815996
2018-05,제주시,삼양동,,,,,,,중국,7921.9800000000005,815996
2018-05,제주시,삼양동,,,,,,,중국 외,6240.1,815996
2018-05,서귀포시,서홍동,,,,,,,중국,74810.9,815996
2018-05,서귀포시,서홍동,,,,,,,중국 외,6689.23,815996
2018-05,서귀포시,성산읍,,,,,,,중국,78727.44,815996
2018-05,서귀포시,성산읍,,,,,,,중국 외,62672.840000000004,815996
2018-05,서귀포시,송산동,,,,,,,중국,7064.7,815996
2018-05,서귀포시,송산동,,,,,,,중국 외,6938.18,815996
2018-05,제주시,아라동,,,,,,,중국,19906.98,815996
2018-05,제주시,아라동,,,,,,,중국 외,11331.12,815996
2018-05,서귀포시,안덕면,,,,,,,중국,206259.43,815996
2018-05,서귀포시,안덕면,,,,,,,중국 외,38786.09,815996
2018-05,제주시,애월읍,,,,,,,중국,181259.22,815996
2018-05,제주시,애월읍,,,,,,,중국 외,59462.159999999996,815996
2018-05,제주시,연동,,,,,,,중국,807606.48,815996
2018-05,제주시,연동,,,,,,,중국 외,192394.56,815996
2018-05,서귀포시,영천동,,,,,,,중국,6716.54,815996
2018-05,서귀포시,영천동,,,,,,,중국 외,5764.93,815996
2018-05,서귀포시,예래동,,,,,,,중국,111373.47,815996
2018-05,서귀포시,예래동,,,,,,,중국 외,51197.44,815996
2018-05,제주시,오라동,,,,,,,중국,15137.97,815996
2018-05,제주시,오라동,,,,,,,중국 외,19992.26,815996
2018-05,제주시,외도동,,,,,,,중국,4845.89,815996
2018-05,제주시,외도동,,,,,,,중국 외,40321.659999999996,815996
2018-05,제주시,용담1동,,,,,,,중국,6826.99,815996
2018-05,제주시,용담1동,,,,,,,중국 외,5121.12,815996
2018-05,제주시,용담2동,,,,,,,중국,517800.17,815996
2018-05,제주시,용담2동,,,,,,,중국 외,277109.19,815996
2018-05,제주시,우도면,,,,,,,중국,20677.809999999998,815996
2018-05,제주시,우도면,,,,,,,중국 외,3348.79,815996
2018-05,제주시,이도1동,,,,,,,중국,16393.84,815996
2018-05,제주시,이도1동,,,,,,,중국 외,19931.46,815996
2018-05,제주시,이도2동,,,,,,,중국,28969.59,815996
2018-05,제주시,이도2동,,,,,,,중국 외,24376.8,815996
2018-05,제주시,이호동,,,,,,,중국,9816.62,815996
2018-05,제주시,이호동,,,,,,,중국 외,42835.99,815996
2018-05,제주시,일도1동,,,,,,,중국,7463.32,815996
2018-05,제주시,일도1동,,,,,,,중국 외,7955.12,815996
2018-05,제주시,일도2동,,,,,,,중국,6286.6900000000005,815996
2018-05,제주시,일도2동,,,,,,,중국 외,7237.09,815996
2018-05,서귀포시,정방동,,,,,,,중국,22512.42,815996
2018-05,서귀포시,정방동,,,,,,,중국 외,19815.5,815996
2018-05,제주시,조천읍,,,,,,,중국,50658.36,815996
2018-05,제주시,조천읍,,,,,,,중국 외,27763.79,815996
2018-05,서귀포시,중문동,,,,,,,중국,26256.079999999998,815996
2018-05,서귀포시,중문동,,,,,,,중국 외,13787.1,815996
2018-05,서귀포시,중앙동,,,,,,,중국,8205.34,815996
2018-05,서귀포시,중앙동,,,,,,,중국 외,7170.45,815996
2018-05,서귀포시,천지동,,,,,,,중국,7720.27,815996
2018-05,서귀포시,천지동,,,,,,,중국 외,14346.710000000001,815996
2018-05,제주시,추자면,,,,,,,중국,61168.979999999996,815996
2018-05,제주시,추자면,,,,,,,중국 외,3834.51,815996
2018-05,서귀포시,표선면,,,,,,,중국,28518.15,815996
2018-05,서귀포시,표선면,,,,,,,중국 외,40169.06,815996
2018-05,제주시,한경면,,,,,,,중국,14326.3,815996
2018-05,제주시,한경면,,,,,,,중국 외,4661.19,815996
2018-05,제주시,한림읍,,,,,,,중국,73814.35,815996
