TRRSRT_NM,TRRSRT_AREA_NM,TRRSRT_ADRES,TRRSRT_LA_XCRD,TRRSRT_LO_YCRD,TRRSRT_TY_NM,TRRSRT_AMOUNT,USER_AGRDE_CODE,USER_SEXDSTN_CODE,USER_BRTC_CODE,CONECT_DEVICE_NM,PURCHS_DT,CANCL_DT,ADULT_NMPR_CO,CHILD_NMPR_CO,INFNT_NMPR_CO,USE_DT,SETLE_MN_NM,TOT_AMOUNT
카멜리아힐 - 입장권,,,0,0,,6500,,3,,,2019-12-14 오후 6:11:49,2019-12-16 오후 12:15:49,6,0,0,2019-12-16,카드,39000
아쿠아플라넷 제주-아쿠아리움권,,,0,0,,25300,,3,,,2019-12-13 오전 7:44:13,2019-12-16 오후 5:36:17,2,1,0,2019-12-16,카드,75900
허브동산-입장권(주 야간통합),,,0,0,,9900,,3,,,2019-12-16 오후 6:44:14,2019-12-16 오후 6:49:42,2,3,0,2019-12-16,카드,46800
여미지식물원-입장료,,,0,0,,9250,,3,,,2019-12-17 오후 12:13:30,2019-12-18 오후 2:15:37,2,0,0,2019-12-18,카드,18500
제주레일파크㈜ - 레일바이크(3인승),,,0,0,,34000,,3,,,2019-12-19 오전 10:00:59,2019-12-19 오후 2:53:26,1,0,0,2019-12-19,카드,34000
제주불빛정원&인생사진관(야간),,,0,0,,9500,,3,,,2019-12-17 오전 3:33:35,2019-12-19 오후 11:22:06,2,1,1,2019-12-19,카드,32500
제주불빛정원&인생사진관(야간),,,0,0,,9500,,3,,,2019-12-17 오전 3:33:35,2019-12-19 오후 11:36:19,2,1,1,2019-12-19,카드,32500
카멜리아힐 - 입장권,,,0,0,,6500,,3,,,2019-12-18 오전 11:44:29,2019-12-21 오후 12:27:41,2,0,0,2019-12-21,카드,13000
제주김녕미로공원,,,0,0,,4200,,3,,,2019-12-20 오전 11:36:31,2019-12-22 오후 12:08:39,1,1,2,2019-12-22,카드,11600
헬로키티아일랜드,,,0,0,,12500,,3,,,2019-11-11 오후 2:37:28,2019-12-23 오전 10:48:47,7,0,2,2019-12-23,카드,106500
휴애리 - 관람,,,0,0,,11700,,3,,,2019-12-20 오후 8:57:19,2019-12-23 오전 11:43:27,2,0,1,2019-12-23,카드,32400
퍼시픽랜드 - 공연,,,0,0,,12500,,3,,,2019-12-25 오전 7:58:40,2019-12-26 오전 11:07:48,3,0,1,2019-12-26,카드,47000
박물관은살아있다-관람,,,0,0,,9300,,3,,,2019-12-24 오전 6:40:58,2019-12-26 오전 11:28:40,4,0,0,2019-12-26,카드,37200
다이나믹메이즈에피소드3-입장권,,,0,0,,9000,,3,,,2019-12-25 오후 5:02:10,2019-12-26 오후 4:57:56,2,2,2,2019-12-26,카드,54000
카멜리아힐 - 입장권,,,0,0,,6500,,3,,,2019-12-26 오전 10:44:19,2019-12-27 오전 11:40:56,4,0,0,2019-12-27,카드,26000
제주유리박물관 - 입장권,,,0,0,,8000,,3,,,2019-12-27 오후 6:02:53,2019-12-27 오후 6:24:00,2,0,0,2019-12-27,카드,16000
카멜리아힐 - 입장권,,,0,0,,6500,,3,,,2019-12-28 오전 7:37:03,2019-12-28 오후 2:51:58,2,2,0,2019-12-28,카드,23000
카멜리아힐 - 입장권,,,0,0,,6500,,3,,,2019-12-27 오후 5:01:59,2019-12-28 오후 3:30:55,2,1,0,2019-12-28,카드,18000
카멜리아힐 - 입장권,,,0,0,,6500,,3,,,2019-12-29 오전 10:49:41,2019-12-29 오후 2:28:41,3,0,0,2019-12-29,카드,19500
넥슨컴퓨터박물관-입장권,,,0,0,,7500,,3,,,2019-12-29 오전 9:58:40,2019-12-29 오후 4:23:35,1,0,2,2019-12-29,카드,18500
에코랜드-입장권,,,0,0,,12200,,3,,,2019-12-30 오전 7:58:51,2019-12-30 오전 11:06:37,2,0,0,2019-12-30,카드,24400
휴애리 - 관람,,,0,0,,11700,,3,,,2019-12-28 오후 3:46:03,2019-12-30 오후 2:00:05,2,0,2,2019-12-30,카드,41400
OK안마센터-전신안마,,,0,0,,39000,,3,,,2019-12-26 오후 8:53:27,2019-12-30 오후 4:53:14,2,0,0,2019-12-30,카드,78000
