권역,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,2021년 01월,2021년 02월,2021년 03월,2021년 04월,2021년 05월,2021년 06월,2021년 07월,2021년 08월,2021년 09월,2021년 10월,2021년 11월,2021년 12월,2022년 01월,2022년 02월,2022년 03월,2022년 04월,2022년 05월,2022년 06월,2022년 07월,2022년 08월,2022년 09월,2022년 10월,2022년 11월
서귀포시 동권역,1958171,1788516,1761859,1956400,2254186,2020152,2155775,2739449,1829267,2307950,1934317,2023512,2343957,9303,981873,923082,1515269,1551571,1950690,2668398,1442730,2113510,2232597,1247138,1185863,1652060,1813832,2357717,2581350,2517316,2814300,2699702,1966788,2833671,2710809,1247138,3251055,2710342,1953019,2641175,3012979,2992123,3070169,3503420,2326296,2782176,2191836
서귀포시 동부권역,1257806,1135807,1207840,1397623,1458903,1348135,1296372,1630355,1184611,1573762,1306492,1345647,1355549,2967,549177,544412,927433,931889,1147716,1515470,847603,1320549,1410369,756488,621650,932502,1074745,1455690,1580430,1456245,1501897,1422565,1107439,1689164,1665193,756488,1895299,1628759,1201125,1688375,1872596,1794343,1660752,1953273,1356546,1745931,1438815
서귀포시 서부권역,812809,752514,800139,936671,972925,883818,865458,1075576,762292,993569,871795,891869,920229,4534,406315,405601,698254,712215,850808,1174600,678940,1002843,1082129,593869,498305,771581,872197,1141530,1284283,1223390,1217403,1284047,932420,1331011,1335807,593869,1463651,1328369,955337,1331896,1542979,1499321,1407506,1754748,1143182,1538467,1212571
제주시 동권역,3647194,3412394,3528180,3778284,3975993,3841303,3949365,4871884,3608715,4174673,3868093,3827807,4471831,24233,1921686,1831097,2858466,3067547,3660285,4684272,2655902,3917057,4448082,2388332,2097581,3103184,3644251,4434141,4681263,4528724,4790560,4495979,3587209,5114037,5367722,2388332,5670215,4999880,3873933,4879039,5419417,5552072,5426795,6047152,4396510,4223871,3922070
제주시 동부권역,1005777,926442,1097106,1258647,1366838,1284029,1328203,1667365,1122465,1525982,1242294,1089101,1084567,1741,546738,553792,962366,975038,1192959,1642631,926681,1370397,1367872,665330,562577,914252,1080760,1434042,1549475,1508810,1564802,1512735,1167966,1711464,1615372,665330,1586975,1482570,1122296,1539455,1812915,1753715,1729019,2086495,1361363,1948989,1415060
제주시 서부권역,1186060,1090450,1211185,1374969,1479163,1452686,1577548,2002624,1311850,1616772,1357482,1282252,1365558,5009,752141,758714,1234925,1282698,1533746,2172397,1226016,1748425,1780745,968260,824385,1299421,1473317,1920264,2153993,2087294,2287289,2238044,1616970,2279613,2124778,968260,2328776,2136603,1580279,2026872,2357582,2406172,2479616,2946677,1836758,2184305,1758784
