"행정구역","2023년01월_총인구수","2023년01월_세대수","2023년01월_세대당 인구","2023년01월_남자 인구수","2023년01월_여자 인구수","2023년01월_남여 비율"
"서울특별시 영등포구 영등포본동(1156051500)","20,995","10,390","          2.02","10,762","10,233","          1.05"
"서울특별시 영등포구 영등포동(1156053500)","29,896","21,221","          1.41","15,409","14,487","          1.06"
"서울특별시 영등포구 여의동(1156054000)","32,503","13,288","          2.45","15,248","17,255","          0.88"
"서울특별시 영등포구 당산제1동(1156055000)","20,731","11,290","          1.84","10,088","10,643","          0.95"
"서울특별시 영등포구 당산제2동(1156056000)","36,715","18,815","          1.95","17,156","19,559","          0.88"
"서울특별시 영등포구 도림동(1156058500)","17,701","9,566","          1.85","8,935","8,766","          1.02"
"서울특별시 영등포구 문래동(1156060500)","32,284","13,125","          2.46","15,755","16,529","          0.95"
"서울특별시 영등포구 양평제1동(1156061000)","18,340","9,888","          1.85","8,889","9,451","          0.94"
"서울특별시 영등포구 양평제2동(1156062000)","22,375","10,919","          2.05","10,908","11,467","          0.95"
"서울특별시 영등포구 신길제1동(1156063000)","19,224","11,448","          1.68","9,735","9,489","          1.03"
"서울특별시 영등포구 신길제3동(1156065000)","16,322","7,602","          2.15","8,055","8,267","          0.97"
"서울특별시 영등포구 신길제4동(1156066000)","12,295","5,792","          2.12","6,098","6,197","          0.98"
"서울특별시 영등포구 신길제5동(1156067000)","10,208","4,658","          2.19","4,944","5,264","          0.94"
"서울특별시 영등포구 신길제6동(1156068000)","18,840","9,182","          2.05","9,218","9,622","          0.96"
"서울특별시 영등포구 신길제7동(1156069000)","19,736","7,855","          2.51","9,822","9,914","          0.99"
"서울특별시 영등포구 대림제1동(1156070000)","14,129","7,000","          2.02","7,024","7,105","          0.99"
"서울특별시 영등포구 대림제2동(1156071000)","11,978","7,014","          1.71","5,885","6,093","          0.97"
"서울특별시 영등포구 대림제3동(1156072000)","21,869","10,343","          2.11","10,909","10,960","          1.00"
"서울특별시 동작구 (1159000000)","379,979","185,659","          2.05","183,746","196,233","          0.94"
"서울특별시 동작구 노량진제1동(1159051000)","31,706","16,417","          1.93","16,005","15,701","          1.02"
"서울특별시 동작구 노량진제2동(1159052000)","10,510","6,867","          1.53","5,467","5,043","          1.08"
"서울특별시 동작구 상도제1동(1159053000)","44,153","22,244","          1.98","21,448","22,705","          0.94"
"서울특별시 동작구 상도제2동(1159054000)","27,655","12,555","          2.20","13,227","14,428","          0.92"
"서울특별시 동작구 상도제3동(1159055000)","24,140","12,176","          1.98","11,482","12,658","          0.91"
"서울특별시 동작구 상도제4동(1159056000)","28,234","14,164","          1.99","13,726","14,508","          0.95"
"서울특별시 동작구 흑석동(1159060500)","28,159","12,510","          2.25","13,712","14,447","          0.95"
"서울특별시 동작구 사당제1동(1159062000)","22,578","13,656","          1.65","10,842","11,736","          0.92"
"서울특별시 동작구 사당제2동(1159063000)","28,431","12,557","          2.26","13,608","14,823","          0.92"
"서울특별시 동작구 사당제3동(1159064000)","23,973","10,491","          2.29","11,589","12,384","          0.94"
"서울특별시 동작구 사당제4동(1159065000)","14,011","7,274","          1.93","6,698","7,313","          0.92"
"서울특별시 동작구 사당제5동(1159065100)","14,321","6,694","          2.14","6,856","7,465","          0.92"
"서울특별시 동작구 대방동(1159066000)","36,504","16,942","          2.15","17,253","19,251","          0.90"
"서울특별시 동작구 신대방제1동(1159067000)","23,388","10,425","          2.24","11,213","12,175","          0.92"
"서울특별시 동작구 신대방제2동(1159068000)","22,216","10,687","          2.08","10,620","11,596","          0.92"
"서울특별시 관악구 (1162000000)","486,863","284,025","          1.71","244,740","242,123","          1.01"
"서울특별시 관악구 보라매동(1162052500)","24,255","13,113","          1.85","11,916","12,339","          0.97"
"서울특별시 관악구 청림동(1162054500)","14,941","6,434","          2.32","7,218","7,723","          0.93"
"서울특별시 관악구 성현동(1162056500)","28,588","12,243","          2.34","13,773","14,815","          0.93"
"서울특별시 관악구 행운동(1162057500)","29,106","18,196","          1.60","14,086","15,020","          0.94"
"서울특별시 관악구 낙성대동(1162058500)","17,328","11,865","          1.46","8,684","8,644","          1.00"
"서울특별시 관악구 청룡동(1162059500)","36,060","24,215","          1.49","17,355","18,705","          0.93"
"서울특별시 관악구 은천동(1162060500)","32,711","16,091","          2.03","15,988","16,723","          0.96"
"서울특별시 관악구 중앙동(1162061500)","15,348","10,177","          1.51","7,406","7,942","          0.93"
"서울특별시 관악구 인헌동(1162062500)","25,712","14,760","          1.74","12,472","13,240","          0.94"
"서울특별시 관악구 남현동(1162063000)","17,928","9,857","          1.82","8,680","9,248","          0.94"
"서울특별시 관악구 서원동(1162064500)","22,838","14,806","          1.54","11,964","10,874","          1.10"
"서울특별시 관악구 신원동(1162065500)","17,891","11,365","          1.57","9,071","8,820","          1.03"
"서울특별시 관악구 서림동(1162066500)","23,452","15,030","          1.56","13,028","10,424","          1.25"
"서울특별시 관악구 신사동(1162068500)","22,644","14,447","          1.57","11,339","11,305","          1.00"
"서울특별시 관악구 신림동(1162069500)","23,141","18,958","          1.22","12,207","10,934","          1.12"
"서울특별시 관악구 난향동(1162071500)","14,901","6,191","          2.41","7,289","7,612","          0.96"
"서울특별시 관악구 조원동(1162072500)","19,270","11,982","          1.61","9,639","9,631","          1.00"
"서울특별시 관악구 대학동(1162073500)","24,075","17,045","          1.41","14,622","9,453","          1.55"
"서울특별시 관악구 삼성동(1162074500)","20,474","9,842","          2.08","10,199","10,275","          0.99"
"서울특별시 관악구 미성동(1162076500)","30,056","14,408","          2.09","14,712","15,344","          0.96"
"서울특별시 관악구 난곡동(1162077500)","26,144","13,000","          2.01","13,092","13,052","          1.00"
"서울특별시 서초구 (1165000000)","404,594","167,876","          2.41","193,221","211,373","          0.91"
"서울특별시 서초구 서초1동(1165051000)","20,371","9,459","          2.15","9,832","10,539","          0.93"
"서울특별시 서초구 서초2동(1165052000)","26,534","11,692","          2.27","12,596","13,938","          0.90"
"서울특별시 서초구 서초3동(1165053000)","32,106","15,249","          2.11","15,245","16,861","          0.90"
"서울특별시 서초구 서초4동(1165053100)","30,264","10,656","          2.84","14,776","15,488","          0.95"
"서울특별시 서초구 잠원동(1165054000)","26,205","10,474","          2.50","12,622","13,583","          0.93"
"서울특별시 서초구 반포본동(1165055000)","270","135","          2.00","130","140","          0.93"
"서울특별시 서초구 반포1동(1165056000)","34,001","14,751","          2.30","16,581","17,420","          0.95"
"서울특별시 서초구 반포2동(1165057000)","15,619","4,981","          3.14","7,423","8,196","          0.91"
"서울특별시 서초구 반포3동(1165058000)","23,130","7,969","          2.90","11,040","12,090","          0.91"
