"행정구역","2023년01월_총인구수","2023년01월_세대수","2023년01월_세대당 인구","2023년01월_남자 인구수","2023년01월_여자 인구수","2023년01월_남여 비율"
"전라남도 순천시 별량면(4615039000)","5,398","2,941","          1.84","2,691","2,707","          0.99"
"전라남도 순천시 상사면(4615040000)","2,834","1,506","          1.88","1,452","1,382","          1.05"
"전라남도 순천시 향동(4615051500)","3,426","1,822","          1.88","1,676","1,750","          0.96"
"전라남도 순천시 매곡동(4615054000)","6,586","3,383","          1.95","3,247","3,339","          0.97"
"전라남도 순천시 삼산동(4615055000)","25,077","11,130","          2.25","12,312","12,765","          0.96"
"전라남도 순천시 조곡동(4615056000)","5,862","2,812","          2.08","2,925","2,937","          1.00"
"전라남도 순천시 덕연동(4615057000)","42,649","17,897","          2.38","21,230","21,419","          0.99"
"전라남도 순천시 풍덕동(4615058000)","7,401","3,749","          1.97","3,675","3,726","          0.99"
"전라남도 순천시 남제동(4615059000)","8,269","4,325","          1.91","4,177","4,092","          1.02"
"전라남도 순천시 저전동(4615060000)","2,706","1,402","          1.93","1,324","1,382","          0.96"
"전라남도 순천시 장천동(4615061000)","2,056","1,324","          1.55","1,097","959","          1.14"
"전라남도 순천시 중앙동(4615062000)","2,847","1,592","          1.79","1,446","1,401","          1.03"
"전라남도 순천시 도사동(4615063500)","18,009","7,778","          2.32","9,050","8,959","          1.01"
"전라남도 순천시 왕조1동(4615066100)","40,020","17,492","          2.29","19,769","20,251","          0.98"
"전라남도 순천시 왕조2동(4615066500)","18,435","7,454","          2.47","9,050","9,385","          0.96"
"전라남도 나주시 (4617000000)","116,672","59,979","          1.95","58,853","57,819","          1.02"
"전라남도 나주시 남평읍(4617025000)","11,840","5,968","          1.98","5,900","5,940","          0.99"
"전라남도 나주시 세지면(4617031000)","2,525","1,547","          1.63","1,299","1,226","          1.06"
"전라남도 나주시 왕곡면(4617032000)","2,775","1,623","          1.71","1,450","1,325","          1.09"
"전라남도 나주시 반남면(4617033000)","1,359","866","          1.57","672","687","          0.98"
"전라남도 나주시 공산면(4617034000)","2,211","1,352","          1.64","1,137","1,074","          1.06"
"전라남도 나주시 동강면(4617035000)","2,327","1,442","          1.61","1,159","1,168","          0.99"
"전라남도 나주시 다시면(4617036000)","3,443","2,136","          1.61","1,738","1,705","          1.02"
"전라남도 나주시 문평면(4617037000)","1,850","1,192","          1.55","927","923","          1.00"
"전라남도 나주시 노안면(4617038000)","4,374","2,574","          1.70","2,270","2,104","          1.08"
"전라남도 나주시 금천면(4617039000)","5,638","3,075","          1.83","2,944","2,694","          1.09"
"전라남도 나주시 산포면(4617040000)","3,217","1,946","          1.65","1,677","1,540","          1.09"
"전라남도 나주시 다도면(4617042000)","1,788","1,007","          1.78","924","864","          1.07"
"전라남도 나주시 봉황면(4617043000)","4,043","2,522","          1.60","2,128","1,915","          1.11"
"전라남도 나주시 송월동(4617051000)","7,841","4,072","          1.93","3,928","3,913","          1.00"
"전라남도 나주시 영강동(4617052000)","2,660","1,482","          1.79","1,326","1,334","          0.99"
"전라남도 나주시 금남동(4617054000)","4,669","2,562","          1.82","2,351","2,318","          1.01"
"전라남도 나주시 성북동(4617055000)","8,551","4,102","          2.08","4,291","4,260","          1.01"
"전라남도 나주시 영산동(4617058000)","2,983","1,902","          1.57","1,502","1,481","          1.01"
"전라남도 나주시 이창동(4617060000)","3,358","2,079","          1.62","1,804","1,554","          1.16"
"전라남도 나주시 빛가람동(4617062000)","39,220","16,530","          2.37","19,426","19,794","          0.98"
"전라남도 광양시 (4623000000)","152,163","68,851","          2.21","79,549","72,614","          1.10"
"전라남도 광양시 광양읍(4623025000)","47,966","21,755","          2.20","24,584","23,382","          1.05"
"전라남도 광양시 봉강면(4623031000)","2,103","1,145","          1.84","1,085","1,018","          1.07"
"전라남도 광양시 옥룡면(4623032000)","3,023","1,719","          1.76","1,509","1,514","          1.00"
"전라남도 광양시 옥곡면(4623033000)","4,931","2,388","          2.06","2,520","2,411","          1.05"
"전라남도 광양시 진상면(4623034000)","2,673","1,572","          1.70","1,369","1,304","          1.05"
"전라남도 광양시 진월면(4623035000)","2,688","1,498","          1.79","1,339","1,349","          0.99"
"전라남도 광양시 다압면(4623036000)","1,702","1,009","          1.69","863","839","          1.03"
"전라남도 광양시 골약동(4623051500)","6,267","2,563","          2.45","3,288","2,979","          1.10"
"전라남도 광양시 중마동(4623053000)","56,902","23,998","          2.37","30,059","26,843","          1.12"
"전라남도 광양시 광영동(4623054000)","11,277","5,338","          2.11","5,953","5,324","          1.12"
"전라남도 광양시 금호동(4623055000)","10,983","4,924","          2.23","6,057","4,926","          1.23"
"전라남도 광양시 태인동(4623057000)","1,648","942","          1.75","923","725","          1.27"
"전라남도 담양군 (4671000000)","45,749","24,746","          1.85","23,140","22,609","          1.02"
"전라남도 담양군 담양읍(4671025000)","15,257","7,612","          2.00","7,631","7,626","          1.00"
"전라남도 담양군 봉산면(4671031000)","2,681","1,529","          1.75","1,388","1,293","          1.07"
"전라남도 담양군 고서면(4671032000)","3,053","1,721","          1.77","1,546","1,507","          1.03"
"전라남도 담양군 가사문학면(4671033500)","1,212","763","          1.59","603","609","          0.99"
"전라남도 담양군 창평면(4671034000)","3,597","2,026","          1.78","1,807","1,790","          1.01"
"전라남도 담양군 대덕면(4671035000)","1,861","1,106","          1.68","952","909","          1.05"
"전라남도 담양군 무정면(4671036000)","2,505","1,574","          1.59","1,345","1,160","          1.16"
"전라남도 담양군 금성면(4671037000)","2,490","1,506","          1.65","1,264","1,226","          1.03"
"전라남도 담양군 용면(4671038000)","1,768","1,032","          1.71","886","882","          1.00"
"전라남도 담양군 월산면(4671039000)","2,363","1,305","          1.81","1,215","1,148","          1.06"
"전라남도 담양군 수북면(4671040000)","4,710","2,359","          2.00","2,403","2,307","          1.04"
