순위,시도명,관광지명,주소,중분류,소분류,검색건수
66,경기도,현대백화점킨텍스점,경기 고양시 일산서구 호수로 817-0,쇼핑,백화점,56570
67,서울특별시,국립중앙박물관,서울 용산구 서빙고로 137-0,문화관광,전시시설,56378
68,경기도,AK플라자AK타운점,경기 수원시 팔달구 덕영대로 924-0,쇼핑,백화점,55399
69,경상남도,이마트창원점,경남 창원시 성산구 원이대로 608-0,쇼핑,대형마트,55016
70,서울특별시,코스트코홀세일상봉점,서울 중랑구 망우로 336-0,쇼핑,대형마트,54946
71,강원도,강원랜드카지노,강원 정선군 하이원길 265-0,문화관광,기타문화관광지,53949
72,서울특별시,예술의전당,서울 서초구 남부순환로 2406-0,문화관광,공연시설,53817
73,경기도,롯데몰수원점,경기 수원시 권선구 세화로 134-0,쇼핑,쇼핑몰,53469
74,제주특별자치도,동문재래시장,제주 제주시 관덕로14길 20-0,쇼핑,시장,53013
75,경기도,롯데시네마센트럴락,경기 안산시 단원구 고잔로 108-0,문화관광,공연시설,53008
76,세종특별자치시,코스트코홀세일세종점,세종시 종합운동장1로 14-0,쇼핑,대형마트,52332
77,경기도,구리농수산물도매시장,경기 구리시 동구릉로136번길 90-0,쇼핑,시장,52002
78,서울특별시,이마트월계점,서울 노원구 마들로3길 15-0,쇼핑,대형마트,51351
79,서울특별시,이마트성수점,서울 성동구 뚝섬로 379-0,쇼핑,대형마트,51261
80,경기도,CGV용인,경기 용인시 처인구 금령로 86-0,문화관광,공연시설,50872
81,강원도,이마트강릉점,강원 강릉시 경강로 2398-10,쇼핑,대형마트,50730
82,경상북도,황리단길,경북 경주시,음식,음식점기타,50154
83,강원도,한화리조트설악쏘라노,강원 속초시 미시령로2983번길 111-0,숙박,콘도미니엄,49711
84,인천광역시,동막해수욕장,인천 강화군 해안남로 1481-0,자연관광,자연경관(하천/해양),49670
85,서울특별시,하나로마트양재점,서울 서초구 청계산로 10-0,쇼핑,대형마트,49420
86,경기도,해슬리나인브릿지,경기 여주시 명품1로 76-0,레저스포츠,육상레저스포츠,49128
87,경기도,홈플러스서수원점,경기 수원시 권선구 금곡로 236-0,쇼핑,대형마트,49092
88,경기도,현대백화점중동점,경기 부천시 길주로 180-0,쇼핑,백화점,48896
89,부산광역시,코스트코홀세일부산점,부산 수영구 구락로 137-0,쇼핑,대형마트,48705
90,전라남도,이순신광장,전남 여수시,문화관광,도시공원,48580
91,경기도,신세계백화점의정부점,경기 의정부시 평화로 525-0,쇼핑,백화점,48573
92,강원도,소노펠리체빌리지비발디파크,강원 홍천군 한치골길 541-123,숙박,콘도미니엄,48552
93,제주특별자치도,함덕해수욕장,제주 제주시 조함해안로 525-0,자연관광,자연경관(하천/해양),48237
94,경기도,이마트분당점,경기 성남시 분당구 불정로 134-0,쇼핑,대형마트,47924
95,경기도,이마트트레이더스킨텍스점,경기 고양시 일산서구 킨텍스로 171-0,쇼핑,대형마트,47595
96,제주특별자치도,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,쇼핑,시장,47512
97,경기도,이마트트레이더스스타필드하남점,경기 하남시 미사대로 750-0,쇼핑,대형마트,47494
98,제주특별자치도,협재해수욕장,제주 제주시,자연관광,자연경관(하천/해양),47443
99,강원도,파가니카CC,강원 춘천시 소주고개로 145-10,레저스포츠,육상레저스포츠,47415
100,경기도,이마트트레이더스김포점,경기 김포시 김포대로 715-0,쇼핑,대형마트,47260
